Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28006 Alcobendas;;;Renta neta media por persona ;2019;18653
28006 Alcobendas;;;Renta neta media por persona ;2018;20148
28006 Alcobendas;;;Renta neta media por hogar;2019;56931
28006 Alcobendas;;;Renta neta media por hogar;2018;61540
28007 Alcorcón;;;Renta neta media por persona ;2019;13355
28007 Alcorcón;;;Renta neta media por persona ;2018;12919
28007 Alcorcón;;;Renta neta media por hogar;2019;35675
28007 Alcorcón;;;Renta neta media por hogar;2018;34427
28049 Coslada;;;Renta neta media por persona ;2019;13112
28049 Coslada;;;Renta neta media por persona ;2018;12506
28049 Coslada;;;Renta neta media por hogar;2019;36967
28049 Coslada;;;Renta neta media por hogar;2018;35530
28058 Fuenlabrada;;;Renta neta media por persona ;2019;11099
28058 Fuenlabrada;;;Renta neta media por persona ;2018;10525
28058 Fuenlabrada;;;Renta neta media por hogar;2019;32911
28058 Fuenlabrada;;;Renta neta media por hogar;2018;31321
28065 Getafe;;;Renta neta media por persona ;2019;13326
28065 Getafe;;;Renta neta media por persona ;2018;12891
28065 Getafe;;;Renta neta media por hogar;2019;35402
28065 Getafe;;;Renta neta media por hogar;2018;34343
28074 Leganés;;;Renta neta media por persona ;2019;12462
28074 Leganés;;;Renta neta media por persona ;2018;11985
28074 Leganés;;;Renta neta media por hogar;2019;33297
28074 Leganés;;;Renta neta media por hogar;2018;31996
28092 Móstoles;;;Renta neta media por persona ;2019;11980
28092 Móstoles;;;Renta neta media por persona ;2018;11456
28092 Móstoles;;;Renta neta media por hogar;2019;33574
28092 Móstoles;;;Renta neta media por hogar;2018;32113
28130 San Fernando de Henares;;;Renta neta media por persona ;2019;12634
28130 San Fernando de Henares;;;Renta neta media por persona ;2018;12099
28130 San Fernando de Henares;;;Renta neta media por hogar;2019;35282
28130 San Fernando de Henares;;;Renta neta media por hogar;2018;33995
28134 San Sebastián de los Reyes;;;Renta neta media por persona ;2019;15636
28134 San Sebastián de los Reyes;;;Renta neta media por persona ;2018;15116
28134 San Sebastián de los Reyes;;;Renta neta media por hogar;2019;44667
28134 San Sebastián de los Reyes;;;Renta neta media por hogar;2018;42904
