Municipios;Sexo;Periodo;Total
28006 Alcobendas;Total;2022;117041
28006 Alcobendas;Total;2021;116589
28006 Alcobendas;Total;2020;118417
28007 Alcorcón;Total;2022;170296
28007 Alcorcón;Total;2021;170817
28007 Alcorcón;Total;2020;172384
28049 Coslada;Total;2022;80596
28049 Coslada;Total;2021;81273
28049 Coslada;Total;2020;81391
28058 Fuenlabrada;Total;2022;189891
28058 Fuenlabrada;Total;2021;192233
28058 Fuenlabrada;Total;2020;194514
28065 Getafe;Total;2022;183219
28065 Getafe;Total;2021;183095
28065 Getafe;Total;2020;185180
28074 Leganés;Total;2022;186660
28074 Leganés;Total;2021;187762
28074 Leganés;Total;2020;191114
28092 Móstoles;Total;2022;208761
28092 Móstoles;Total;2021;209639
28092 Móstoles;Total;2020;210309
28130 San Fernando de Henares;Total;2022;38904
28130 San Fernando de Henares;Total;2021;39313
28130 San Fernando de Henares;Total;2020;39566
28134 San Sebastián de los Reyes;Total;2022;91083
28134 San Sebastián de los Reyes;Total;2021;90962
28134 San Sebastián de los Reyes;Total;2020;91224
