CodigoEstacion,NombreEstacion,Utilizaciones2014,Utilizaciones2015,Utilizaciones2016,Utilizaciones2017,Utilizaciones2018,Utilizaciones2019,Utilizaciones2020,Utilizaciones2021,Utilizaciones2022,Utilizaciones2023
101,Plaza de Castilla,33030381,32948701,32711005,36577999,37361848,38173875,20578972,25135236,31752903,38633202
102,Valdeacederas,4696101,4835598,3836045,5117306,5038540,5540194,3089304,3877235,4697721,5392944
103,Tetuán,5845624,5935352,4824501,6276574,6895295,7148217,3877174,5039721,6276060,7120713
104,Estrecho,7308023,7205990,5953996,5530388,9203377,9974619,5545797,7040773,8686545,9914380
105,Alvarado,5093951,5193500,3971317,5233752,3463184,4017667,2306788,3173254,3790083,4232367
106,Cuatro Caminos,22185288,22211762,21768207,24894140,23402733,25403185,13523265,16091690,18912306,22908527
107,Ríos Rosas,3875966,4523981,3070476,4906595,5112119,5069037,2287542,2959853,3947548,4367552
108,Iglesia,6128950,6757512,4711602,7502914,7365867,7475722,3677954,4470158,5778480,6397181
109,Bilbao,13695041,13717346,11311984,14672424,14211880,14060573,5391665,8467553,12621776,13810616
110,Tribunal,13435102,13969944,11714691,13892373,18381200,21662243,10409636,13521895,17477597,19535906
111,Gran Vía,18028763,19242529,16176845,19743835,12932430,11000000,11000000,7180340,19677152,22048466
112,Sol,55673031,56427660,52037085,61598481,70953620,77135814,39149847,49567085,60908392,66218823
113,Tirso de Molina,5228763,5476959,3779907,6023903,7355345,8121297,3982360,5317945,6897655,6216529
114,Antón Martín,3875013,4730154,3234138,5500333,6012548,5995934,2716965,3642276,4909934,4351543
115,Estación del Arte,5524988,5681913,3846406,3037007,8041817,6303908,2189254,3000335,4493413,4861096
116,Atocha-Renfe,16405856,16760622,11551778,16453309,14368554,17509600,8871851,11088992,14774292,10135829
117,Menéndez Pelayo,3899368,3900984,2770243,4089269,4032576,4312025,2185348,2819370,3497306,2776383
118,Pacífico,18660187,19053055,16022017,20749011,21551142,25169769,14314753,18460266,21759565,23526758
119,Puente de Vallecas,6667203,6804530,4672276,6892641,7363578,8127798,4801228,6114428,7615133,6411579
120,Nueva Numancia,4956225,5164115,3690480,5265474,6494085,7930450,5021204,6293417,7729333,7210595
121,Portazgo,3948101,3551417,2587609,3696788,4403176,4736496,2831465,3704812,4645987,3821498
122,Buenos Aires,2584762,2504488,1839834,2692852,4632126,3354024,2025061,2559265,3165028,2587866
123,Alto del Arenal,3383009,3482436,2781187,3571019,3526000,3885222,2445082,3085187,3720225,3025789
124,Miguel Hernández,3518865,3651900,2803552,3690737,3959067,4454448,2710260,3376134,4124493,3376292
125,Sierra de Guadalupe,3345203,3543128,3433737,4004844,4253628,4902385,2995946,3784554,4777930,4063244
126,Villa de Vallecas,2602858,2640407,2039114,2687481,3104603,3532255,2152523,2809186,3443996,2859485
127,Congosto,2310024,2351816,2031614,10333789,2570718,2783385,1666376,2126737,2642136,2116823
128,La Gavia,1121144,1166206,1060165,1331925,2304395,2297380,1206996,1562859,2056210,1696291
129,Las Suertes,2838138,2803404,2268359,2498246,3183938,3793874,2310100,2973165,3652706,3072998
130,Valdecarros,840056,873432,790480,981897,1536049,1635113,998996,1227630,1573383,1359215
151,Chamartín,11257148,11348213,12259910,2223789,14738349,16065663,7513174,8797197,10709291,14864480
152,Bambú,1427962,1503051,1637600,1926195,2413194,2388065,1030596,1220848,1690486,1955700
153,Pinar de Chamartín,8792801,9116803,9313654,10702472,11709050,10598182,4665151,6222074,7981701,8669980
201,Ventas,10062482,10522845,10572780,10603936,9522416,11097051,5284036,6716718,8739928,10322578
