CodigoEstacion;NombreEstacion;Utilizaciones2014;Utilizaciones2015;Utilizaciones2016;Utilizaciones2017;Utilizaciones2018;Utilizaciones2019;Utilizaciones2020;Utilizaciones2021;Utilizaciones2022;Utilizaciones2023
101;Plaza de Castilla;33.030.381;32.948.701;32.711.005;36.577.999;37.361.848;38.173.875;20.578.972;25.135.236;31.752.903;38.633.202
102;Valdeacederas;4.696.101;4.835.598;3.836.045;5.117.306;5.038.540;5.540.194;3.089.304;3.877.235;4.697.721;5.392.944
103;Tetuán;5.845.624;5.935.352;4.824.501;6.276.574;6.895.295;7.148.217;3.877.174;5.039.721;6.276.060;7.120.713
104;Estrecho;7.308.023;7.205.990;5.953.996;5.530.388;9.203.377;9.974.619;5.545.797;7.040.773;8.686.545;9.914.380
105;Alvarado;5.093.951;5.193.500;3.971.317;5.233.752;3.463.184;4.017.667;2.306.788;3.173.254;3.790.083;4.232.367
106;Cuatro Caminos;22.185.288;22.211.762;21.768.207;24.894.140;23.402.733;25.403.185;13.523.265;16.091.690;18.912.306;22.908.527
107;Ríos Rosas;3.875.966;4.523.981;3.070.476;4.906.595;5.112.119;5.069.037;2.287.542;2.959.853;3.947.548;4.367.552
108;Iglesia;6.128.950;6.757.512;4.711.602;7.502.914;7.365.867;7.475.722;3.677.954;4.470.158;5.778.480;6.397.181
109;Bilbao;13.695.041;13.717.346;11.311.984;14.672.424;14.211.880;14.060.573;5.391.665;8.467.553;12.621.776;13.810.616
110;Tribunal;13.435.102;13.969.944;11.714.691;13.892.373;18.381.200;21.662.243;10.409.636;13.521.895;17.477.597;19.535.906
111;Gran Vía;18.028.763;19.242.529;16.176.845;19.743.835;12.932.430;0;0;7.180.340;19.677.152;22.048.466
112;Sol;55.673.031;56.427.660;52.037.085;61.598.481;70.953.620;77.135.814;39.149.847;49.567.085;60.908.392;66.218.823
113;Tirso de Molina;5.228.763;5.476.959;3.779.907;6.023.903;7.355.345;8.121.297;3.982.360;5.317.945;6.897.655;6.216.529
114;Antón Martín;3.875.013;4.730.154;3.234.138;5.500.333;6.012.548;5.995.934;2.716.965;3.642.276;4.909.934;4.351.543
115;Estación del Arte;5.524.988;5.681.913;3.846.406;3.037.007;8.041.817;6.303.908;2.189.254;3.000.335;4.493.413;4.861.096
116;Atocha-Renfe;16.405.856;16.760.622;11.551.778;16.453.309;14.368.554;17.509.600;8.871.851;11.088.992;14.774.292;10.135.829
117;Menéndez Pelayo;3.899.368;3.900.984;2.770.243;4.089.269;4.032.576;4.312.025;2.185.348;2.819.370;3.497.306;2.776.383
118;Pacífico;18.660.187;19.053.055;16.022.017;20.749.011;21.551.142;25.169.769;14.314.753;18.460.266;21.759.565;23.526.758
119;Puente de Vallecas;6.667.203;6.804.530;4.672.276;6.892.641;7.363.578;8.127.798;4.801.228;6.114.428;7.615.133;6.411.579
120;Nueva Numancia;4.956.225;5.164.115;3.690.480;5.265.474;6.494.085;7.930.450;5.021.204;6.293.417;7.729.333;7.210.595
121;Portazgo;3.948.101;3.551.417;2.587.609;3.696.788;4.403.176;4.736.496;2.831.465;3.704.812;4.645.987;3.821.498
122;Buenos Aires;2.584.762;2.504.488;1.839.834;2.692.852;4.632.126;3.354.024;2.025.061;2.559.265;3.165.028;2.587.866
123;Alto del Arenal;3.383.009;3.482.436;2.781.187;3.571.019;3.526.000;3.885.222;2.445.082;3.085.187;3.720.225;3.025.789
124;Miguel Hernández;3.518.865;3.651.900;2.803.552;3.690.737;3.959.067;4.454.448;2.710.260;3.376.134;4.124.493;3.376.292
