02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;
Densidad (hab./Ha.) ;;53,30;236,62;;234,78;;342,37;;348,70;;136,11;;260,49;;397,07;;15,84;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,7%;152.907;14,9%;22.719;24,0%;36.751;12,9%;19.799;12,6%;19.252;18,0%;27.473;16,8%;25.748;0,8%;1.165;
Hombres;46,6%;1.500.340;46,5%;71.039;46,4%;10.531;46,1%;16.926;45,0%;8.919;49,1%;9.446;46,4%;12.736;46,3%;11.919;48,2%;562;
Mujeres;53,4%;1.721.484;53,5%;81.868;53,6%;12.188;53,9%;19.825;55,0%;10.880;50,9%;9.806;53,6%;14.737;53,7%;13.829;51,8%;603;
Edad media de la población;;44,12;;44,44;;45,89;;46,21;;46,65;;37,90;;42,89;;45,80;;37,95;
De 0 a 14 años;13,5%;435.302;12,1%;18.544;11,5%;2.608;10,3%;3.784;10,2%;2.019;19,1%;3.672;13,9%;3.811;9,4%;2.415;20,2%;235;
De 15 a 29;15,3%;492.310;14,2%;21.718;13,5%;3.066;15,1%;5.558;13,5%;2.666;13,4%;2.578;14,1%;3.881;14,7%;3.785;15,8%;184;
De 30 a 44;23,1%;745.852;25,2%;38.498;23,1%;5.241;22,4%;8.241;25,7%;5.080;28,9%;5.561;26,3%;7.213;26,9%;6.928;20,1%;234;
De 45 a 64;27,7%;891.569;29,5%;45.053;31,0%;7.033;30,1%;11.056;27,5%;5.440;30,3%;5.838;28,9%;7.950;28,5%;7.338;34,2%;398;
De 65 a 79;13,0%;419.069;12,4%;19.017;13,5%;3.075;15,2%;5.601;14,1%;2.783;6,1%;1.174;11,1%;3.045;12,6%;3.255;7,2%;84;
De 80 y + ;7,4%;237.722;6,6%;10.077;7,5%;1.696;6,8%;2.511;9,1%;1.811;2,2%;429;5,7%;1.573;7,9%;2.027;2,6%;30;
De 65 y +;20,4%;656.791;19,0%;29.094;21,0%;4.771;22,1%;8.112;23,2%;4.594;8,3%;1.603;16,8%;4.618;20,5%;5.282;9,8%;114;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;10,2%;15.635;10,0%;2.264;8,8%;3.238;8,1%;1.608;16,1%;3.107;11,7%;3.207;7,8%;2.003;17,9%;208;
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;12,9%;;12,3%;;11,1%;;10,8%;;20,2%;;14,7%;;9,9%;;21,7%;;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;19,0%;;21,0%;;22,1%;;23,2%;;8,3%;;16,8%;;20,5%;;9,8%;;
