11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.404,83;;66,61;;110,73;;189,93;;158,92;;160,86;;561,32;;156,46;
Densidad (hab./Ha.) ;;53,30;176,69;;334,01;;293,44;;202,99;;283,21;;210,94;;82,33;;190,27;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;7,7%;248.220;9,0%;22.248;13,1%;32.492;15,5%;38.554;18,1%;45.008;13,7%;33.933;18,6%;46.216;12,0%;29.769
Hombres;46,6%;1.500.340;46,5%;115.525;45,7%;10.164;45,5%;14.796;46,6%;17.967;45,5%;20.480;47,0%;15.942;48,3%;22.332;46,5%;13.844
Mujeres;53,4%;1.721.484;53,5%;132.695;54,3%;12.084;54,5%;17.696;53,4%;20.587;54,5%;24.528;53,0%;17.991;51,7%;23.884;53,5%;15.925
Edad media de la población;;44,12;;43,55;;46,76;;45,06;;43,95;;45,68;;43,22;;39,32;;42,76
De 0 a 14 años;13,5%;435.302;14,1%;35.069;10,6%;2.368;11,5%;3.736;12,8%;4.938;11,9%;5.341;14,1%;4.790;19,9%;9.218;15,7%;4.678
De 15 a 29;15,3%;492.310;15,5%;38.573;14,5%;3.227;16,2%;5.250;16,4%;6.334;15,7%;7.071;16,8%;5.709;13,9%;6.418;15,3%;4.564
De 30 a 44;23,1%;745.852;23,3%;57.729;23,1%;5.147;23,1%;7.515;23,0%;8.882;22,0%;9.908;22,4%;7.608;26,0%;12.026;22,3%;6.643
De 45 a 64;27,7%;891.569;27,5%;68.208;27,4%;6.100;28,1%;9.138;28,2%;10.888;27,1%;12.180;27,5%;9.336;26,3%;12.173;28,2%;8.393
De 65 a 79;13,0%;419.069;12,2%;30.266;14,8%;3.300;12,7%;4.115;11,9%;4.605;15,0%;6.730;11,4%;3.885;9,2%;4.241;11,4%;3.390
De 80 y + ;7,4%;237.722;7,4%;18.375;9,5%;2.106;8,4%;2.738;7,5%;2.907;8,4%;3.778;7,7%;2.605;4,6%;2.140;7,1%;2.101
De 65 y +;20,4%;656.791;19,6%;48.641;24,3%;5.406;21,1%;6.853;19,5%;7.512;23,3%;10.508;19,1%;6.490;13,8%;6.381;18,4%;5.491
