01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;
Densidad (hab./Ha.) ;;53,30;253,15;;153,17;;431,74;;177,93;;224,20;;325,91;;161,71;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,1%;132.352;17,0%;22.515;33,7%;44.630;8,0%;10531;12,5%;16578;23,3%;30.897;5,4%;7201
Hombres;46,6%;1.500.340;50,1%;66.320;48,8%;10.978;51,6%;23.031;50,0%;5.265;50,3%;8.334;48,7%;15.040;51,0%;3.672
Mujeres;53,4%;1.721.484;49,9%;66.032;51,2%;11.537;48,4%;21.599;50,0%;5.266;49,7%;8.244;51,3%;15.857;49,0%;3.529
Edad media de la población;;44,12;;44,15;;45,77;;42,98;;45,23;;44,23;;44,13;;44,73
De 0 a 14 años;13,5%;435.302;8,0%;10.602;8,1%;1.821;8,6%;3.821;6,8%;716;8,2%;1.362;7,8%;2.401;6,7%;481
De 15 a 29;15,3%;492.310;15,6%;20.684;14,3%;3.212;15,8%;7.066;14,8%;1.560;15,8%;2.615;16,2%;5.000;17,1%;1.231
De 30 a 44;23,1%;745.852;32,0%;42.376;28,7%;6.452;34,4%;15.344;31,1%;3.277;30,8%;5.104;32,4%;9.997;30,6%;2.202
De 45 a 64;27,7%;891.569;28,1%;37.177;30,1%;6.771;26,8%;11.980;30,4%;3.201;28,8%;4.779;27,2%;8.395;28,5%;2.051
De 65 a 79;13,0%;419.069;10,5%;13.872;12,5%;2.809;9,0%;4.039;11,1%;1.171;10,5%;1.744;10,6%;3.267;11,7%;842
De 80 y + ;7,4%;237.722;5,8%;7.641;6,4%;1.450;5,3%;2.380;5,8%;606;5,9%;974;5,9%;1.837;5,5%;394
De 65 y +;20,4%;656.791;16,3%;21.513;18,9%;4.259;14,4%;6.419;16,9%;1.777;16,4%;2.718;16,5%;5.104;17,2%;1.236
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;6,5%;8.667;6,8%;1.541;7,0%;3.126;5,4%;568;6,6%;1091;6,3%;1.945;5,5%;396
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;8,5%;;8,6%;;9,1%;;7,3%;;8,7%;;8,2%;;7,0%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;16,3%;;18,9%;;14,4%;;16,9%;;16,4%;;16,5%;;17,2%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;35,5%;;34,0%;;37,1%;;34,1%;;35,8%;;36,0%;;31,9%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;32,9%;;38,0%;;30,6%;;31,8%;;33,4%;;32,9%;;31,9%;
Personas con nacionalidad española;86,9%;2.799.105;78,0%;103.218;82,9%;18.660;74,7%;33.354;78,0%;8218;79,4%;13168;79,0%;24.422;74,9%;5396
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;48,9%;50.447;48,2%;9.003;48,8%;16.283;50,1%;4.114;49,5%;6.519;48,2%;11.765;51,2%;2.763
Personas con nacionalidad española MUJERES;53,4%;1.494.652;51,1%;52.771;51,8%;9.657;51,2%;17.071;49,9%;4.104;50,5%;6.649;51,8%;12.657;48,8%;2.633
