07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;467,92;;50,65;;57,82;;61,19;;93,79;;97,54;;106,92;
Densidad (hab./Ha.) ;;53,30;295,82;;447,52;;420,85;;400,78;;211,09;;277,31;;187,48;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,3%;138.418;16,4%;22.666;17,6%;24.335;17,7%;24.523;14,3%;19.799;19,5%;27.049;14,5%;20.046
Hombres;46,6%;1.500.340;43,9%;60.825;43,8%;9.929;44,3%;10.792;44,5%;10.922;44,1%;8.737;43,7%;11.820;43,0%;8.625
Mujeres;53,4%;1.721.484;56,1%;77.593;56,2%;12.737;55,7%;13.543;55,5%;13.601;55,9%;11.062;56,3%;15.229;57,0%;11.421
Edad media de la población;;44,12;;46,53;;47,48;;46,31;;45,47;;46,25;;45,99;;48,06
De 0 a 14 años;13,5%;435.302;10,3%;14.293;9,0%;2.051;10,2%;2.475;10,0%;2.453;11,1%;2.198;10,9%;2.960;10,8%;2.156
De 15 a 29;15,3%;492.310;15,8%;21.884;17,2%;3.902;16,3%;3.957;15,0%;3.685;15,8%;3.127;15,4%;4.177;15,1%;3.036
De 30 a 44;23,1%;745.852;23,5%;32.485;22,0%;4.990;24,1%;5.872;27,2%;6.666;22,2%;4.396;24,3%;6.573;19,9%;3.988
De 45 a 64;27,7%;891.569;26,2%;36.204;26,0%;5.892;25,4%;6.182;26,6%;6.526;26,9%;5.334;25,9%;7.016;26,2%;5.254
De 65 a 79;13,0%;419.069;15,1%;20.874;15,7%;3.569;15,1%;3.673;13,3%;3.268;15,1%;2.980;14,5%;3.917;17,3%;3.467
De 80 y + ;7,4%;237.722;9,2%;12.678;10,0%;2.262;8,9%;2.176;7,8%;1.925;8,9%;1.764;8,9%;2.406;10,7%;2.145
De 65 y +;20,4%;656.791;24,2%;33.552;25,7%;5.831;24,0%;5.849;21,2%;5.193;24,0%;4.744;23,4%;6.323;28,0%;5.612
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;8,7%;11.982;7,7%;1.756;8,5%;2.070;8,2%;2.016;9,3%;1.840;8,9%;2.398;9,5%;1.902
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;11,0%;;9,8%;;10,8%;;10,6%;;11,8%;;11,6%;;11,5%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;24,2%;;25,7%;;24,0%;;21,2%;;24,0%;;23,4%;;28,0%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;37,8%;;38,8%;;37,2%;;37,1%;;37,2%;;38,1%;;38,2%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;54,5%;;55,1%;;53,5%;;46,7%;;55,7%;;53,8%;;65,4%;
Personas con nacionalidad española;86,9%;2.799.105;89,3%;123.605;89,5%;20.278;89,3%;21.739;87,6%;21.472;87,2%;17.263;89,4%;24.174;93,2%;18.679
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;44,1%;54.457;44,0%;8.922;44,3%;9.625;44,4%;9.543;44,5%;7.678;43,8%;10.595;43,3%;8.094
Personas con nacionalidad española MUJERES;53,4%;1.494.652;55,9%;69.148;56,0%;11.356;55,7%;12.114;55,6%;11.929;55,5%;9.585;56,2%;13.579;56,7%;10.585
Personas con nacionalidad extranjera;13,1%;422.700;10,7%;14.813;10,5%;2.388;10,7%;2.596;12,4%;3.051;12,8%;2.536;10,6%;2.875;6,8%;1.367
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;43,0%;6.368;42,2%;1.007;45,0%;1.167;45,2%;1.379;41,8%;1.059;42,6%;1.225;38,8%;531
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;57,0%;8.445;57,8%;1.381;55,0%;1.429;54,8%;1.672;58,2%;1.477;57,4%;1.650;61,2%;836
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;5,8%;;6,1%;;5,8%;;6,3%;;6,9%;;5,9%;;3,6%;
1ª Nacionalidad Extranjera en el Distrito: ITALIA (proporción respecto total extranjeros);4,5%;18.840;10,6%;1.576;8,2%;196;10,2%;266;11,2%;343;9,4%;238;14,0%;403;9,5%;130
2ª Nacionalidad Extranjera en el Distrito: CHINA (proporción respecto total extranjeros);8,8%;37.031;6,0%;887;9,2%;220;6,3%;164;6,2%;188;2,9%;74;5,4%;154;6,4%;87
1.2.2. Estructura de los hogares (01-01-2018);;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.278.258;4,8%;61.491;16,8%;10.359;18,1%;11.137;18,9%;11.622;13,1%;8.033;19,5%;12.014;13,5%;8.326
Tamaño medio del hogar;;2,52;;2,25;;2,19;;2,19;;2,11;;2,46;;2,25;;2,41
Hogares con una mujer sola >65 años;9,8%;124.815;11,9%;7.287;12,9%;1.335;12,3%;1.374;10,8%;1.252;10,6%;853;11,6%;1.396;12,9%;1.077
