15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;
Densidad (hab./Ha.) ;;53,30;187,70;;149,29;;263,71;;337,05;;234,82;;171,63;;123,00;;112,35;;63,28;;154,28;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;6,7%;214.463;22,3%;47.744;28,5%;61.160;11,4%;24.373;9,7%;20.803;8,4%;18.068;5,8%;12.433;2,9%;6.288;0,7%;1.575;10,3%;22.019
Hombres;46,6%;1.500.340;45,4%;97.301;44,8%;21.405;46,3%;28.300;44,1%;10.743;44,1%;9.181;44,8%;8.100;46,5%;5.782;45,1%;2.835;0,3%;656;46,8%;10.299
Mujeres;53,4%;1.721.484;54,6%;117.162;55,2%;26.339;53,7%;32.860;55,9%;13.630;55,9%;11.622;55,2%;9.968;53,5%;6.651;54,9%;3.453;0,4%;919;53,2%;11.720
Edad media de la población;;44,12;;45,87;;46,85;;45,46;;46,26;;47,02;;47,29;;44,00;;44,81;;43,61;;43,76
De 0 a 14 años;13,5%;435.302;12,1%;25.991;11,0%;5.228;11,9%;7.260;11,0%;2.674;11,7%;2.429;11,7%;2.120;14,6%;1.812;14,6%;918;16,4%;258;15,0%;3.292
De 15 a 29;15,3%;492.310;15,2%;32.540;14,9%;7.123;15,4%;9.400;15,2%;3.711;13,7%;2.848;14,1%;2.542;16,1%;2.001;13,4%;843;16,3%;256;17,3%;3.816
De 30 a 44;23,1%;745.852;21,3%;45.638;22,0%;10.487;22,3%;13.623;23,0%;5.594;21,8%;4.542;19,6%;3.547;19,5%;2.426;21,7%;1.366;17,1%;269;17,2%;3.784
De 45 a 64;27,7%;891.569;28,4%;60.849;28,0%;13.345;28,4%;17.368;28,3%;6.887;28,6%;5.945;28,6%;5.167;28,6%;3.553;27,5%;1.730;27,7%;437;29,1%;6.417
De 65 a 79;13,0%;419.069;14,1%;30.207;13,6%;6.491;13,7%;8.374;12,3%;2.988;13,5%;2.813;17,3%;3.133;14,1%;1.753;15,9%;997;16,0%;252;15,5%;3.406
De 80 y + ;7,4%;237.722;9,0%;19.238;10,6%;5.070;8,4%;5.135;10,3%;2.519;10,7%;2.226;8,6%;1.559;7,1%;888;6,9%;434;6,5%;103;5,9%;1.304
De 65 y +;20,4%;656.791;23,1%;49.445;24,2%;11.561;22,1%;13.509;22,6%;5.507;24,2%;5.039;26,0%;4.692;21,2%;2.641;22,8%;1.431;22,5%;355;21,4%;4.710
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;10,6%;22.785;9,4%;4.511;10,4%;6.381;9,3%;2.278;10,0%;2.089;10,3%;1.866;13,1%;1.629;12,4%;778;14,0%;221;13,8%;3.032
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;13,0%;;11,7%;;12,7%;;11,6%;;12,4%;;12,5%;;15,7%;;15,4%;;18,0%;;16,2%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;23,1%;;24,2%;;22,1%;;22,6%;;24,2%;;26,0%;;21,2%;;22,8%;;22,5%;;21,4%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;38,9%;;43,9%;;38,0%;;45,7%;;44,2%;;33,2%;;33,6%;;30,3%;;29,0%;;27,7%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;56,3%;;56,1%;;53,3%;;52,1%;;57,9%;;62,6%;;58,6%;;61,7%;;68,3%;;60,3%;
Personas con nacionalidad española;86,9%;2.799.105;86,8%;186.176;84,6%;40.383;84,4%;51.597;82,6%;20.128;86,7%;18.033;92,2%;16.665;91,3%;11.348;90,4%;5.686;89,9%;1.416;95,0%;20.920
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;45,4%;84.510;44,7%;18.057;46,2%;23.847;44,0%;8.862;44,3%;7.994;44,9%;7.475;46,3%;5.256;45,0%;2.558;37,9%;597;47,2%;9.864
Personas con nacionalidad española MUJERES;53,4%;1.494.652;54,6%;101.666;55,3%;22.326;53,8%;27.750;56,0%;11.266;55,7%;10.039;55,1%;9.190;53,7%;6.092;55,0%;3.128;52,0%;819;52,8%;11.056
Personas con nacionalidad extranjera;13,1%;422.700;13,2%;28.283;15,4%;7.358;15,6%;9.563;17,4%;4.245;13,3%;2.770;7,8%;1.403;8,7%;1.084;9,6%;602;10,1%;159;5,0%;1.099
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;45,2%;12.788;45,5%;3.346;46,6%;4.453;44,3%;1.881;42,9%;1.187;44,5%;625;48,4%;525;46,0%;277;3,7%;59;39,6%;435
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;54,8%;15.495;54,5%;4.012;53,4%;5.110;55,7%;2.364;57,1%;1.583;55,5%;778;51,6%;559;54,0%;325;6,3%;100;60,4%;664
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;9,4%;;11,5%;;11,9%;;13,4%;;8,7%;;4,8%;;4,8%;;4,9%;;4,8%;;2,5%;
1ª Nacionalidad Extranjera en el Distrito: RUMANIA (proporción respecto total extranjeros);10,8%;45.718;10,6%;2.990;12,7%;934;10,3%;987;8,4%;357;14,2%;392;14,0%;196;4,0%;43;5,1%;31;2,5%;4;4,2%;46
2ª Nacionalidad Extranjera en el Distrito: ECUADOR (proporción respecto total extranjeros);5,8%;24.477;8,8%;2.489;10,3%;756;11,6%;1.109;9,3%;395;5,3%;146;3,1%;44;1,5%;16;1,7%;10;1,3%;2;1,0%;11
1.2.2. Estructura de los hogares (01-01-2018);;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.278.258;6,7%;86.156;22,9%;19.750;27,6%;23.750;11,9%;10.271;10,5%;9.035;8,7%;7.508;5,6%;4.821;2,9%;2.529;0,6%;560;9,2%;7.932
Tamaño medio del hogar;;2,52;;2,49;;2,42;;2,58;;2,37;;2,30;;2,41;;2,58;;2,49;;2,81;;2,78
Hogares con una mujer sola >65 años;9,8%;124.815;11,9%;10.237;13,1%;2.590;10,9%;2.600;13,6%;1.399;14,3%;1.290;12,3%;927;9,7%;467;9,1%;230;8,9%;50;8,6%;684
