08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;23.783,84;;18.758,3;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;
Densidad (hab./Ha.) ;;53,30;10,21;;0,18;;23,39;;153,82;;338,13;;156,78;;68,97;;45,84;;6,78;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;7,5%;242.928;1,4%;3.456;1,3%;3.234;18,3%;44.412;19,0%;46.094;13,9%;33.783;25,5%;61.941;13,2%;32.058;7,4%;17.950
Hombres;46,6%;1.500.340;47,1%;114.433;48,9%;1.689;44,4%;1.437;46,7%;20.719;45,8%;21.107;46,8%;15.826;47,6%;29.476;47,8%;15.329;49,3%;8.850
Mujeres;53,4%;1.721.484;52,9%;128.495;51,1%;1.767;55,6%;1.797;53,3%;23.693;54,2%;24.987;53,2%;17.957;52,4%;32.465;52,2%;16.729;50,7%;9.100
Edad media de la población;;44,12;;42,83;;47,74;;45,32;;46,25;;48,44;;48,69;;37,39;;39,06;;33,06
De 0 a 14 años;13,5%;435.302;17,0%;41.349;11,1%;384;15,6%;505;12,3%;5.475;10,3%;4.731;10,3%;3.467;23,4%;14.506;20,3%;6.503;32,2%;5.778
De 15 a 29;15,3%;492.310;13,5%;32.799;14,1%;489;16,1%;520;14,9%;6.625;12,6%;5.805;13,3%;4.478;12,4%;7.653;17,5%;5.608;9,0%;1.621
De 30 a 44;23,1%;745.852;23,5%;57.086;22,3%;769;16,1%;520;20,0%;8.861;23,1%;10.668;20,1%;6.801;28,4%;17.615;19,4%;6.230;31,3%;5.622
De 45 a 64;27,7%;891.569;25,3%;61.464;26,2%;907;26,3%;849;27,8%;12.330;24,5%;11.296;25,6%;8.652;24,0%;14.878;28,4%;9.093;19,3%;3.459
De 65 a 79;13,0%;419.069;14,5%;35.332;14,0%;485;17,6%;569;18,3%;8.106;20,0%;9.225;24,5%;8.267;7,0%;4.358;11,2%;3.596;4,0%;726
De 80 y + ;7,4%;237.722;6,1%;14.898;12,2%;422;8,4%;271;6,8%;3.015;9,5%;4.369;6,3%;2.118;4,7%;2.931;3,2%;1.028;4,1%;744
De 65 y +;20,4%;656.791;20,7%;50.230;26,2%;907;26,0%;840;25,0%;11.121;29,5%;13.594;30,7%;10.385;11,8%;7.289;14,4%;4.624;8,2%;1.470
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;14,4%;34.999;9,3%;320;14,5%;470;10,8%;4.777;8,5%;3.936;8,6%;2.909;19,6%;12.117;17,6%;5.645;26,9%;4.825
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;17,9%;;11,8%;;16,8%;;13,1%;;10,9%;;10,9%;;24,4%;;21,6%;;33,3%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;20,7%;;26,2%;;26,0%;;25,0%;;29,5%;;30,7%;;11,8%;;14,4%;;8,2%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;29,7%;;46,5%;;32,3%;;27,1%;;32,1%;;20,4%;;40,2%;;22,2%;;50,6%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;62,8%;;61,3%;;74,8%;;61,8%;;67,6%;;71,3%;;56,6%;;56,2%;;70,8%;
Personas con nacionalidad española;86,9%;2.799.105;92,1%;223.680;96,6%;3.337;92,3%;2.986;92,6%;41.144;89,5%;41.233;95,2%;32.161;89,2%;55.260;95,2%;30.511;95,0%;17.048
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;47,4%;106.097;49,0%;1.636;45,9%;1.372;47,0%;19.324;45,9%;18.938;47,0%;15.125;47,9%;26.488;48,3%;14.742;47,2%;8.472
Personas con nacionalidad española MUJERES;53,4%;1.494.652;52,6%;117.583;51,0%;1.701;54,1%;1.614;53,0%;21.820;54,1%;22.295;53,0%;17.036;52,1%;28.772;51,7%;15.769;47,8%;8.576
Personas con nacionalidad extranjera;13,1%;422.700;7,9%;19.247;3,4%;119;7,7%;248;7,4%;3.268;10,5%;4.861;4,8%;1.622;10,8%;6.681;4,8%;1.547;5,0%;901
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;43,3%;8.336;44,5%;53;26,2%;65;42,7%;1.395;44,6%;2.169;43,2%;701;44,7%;2.988;37,9%;587;2,1%;378
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;56,7%;10.911;55,5%;66;73,8%;183;57,3%;1.873;55,4%;2.692;56,8%;921;55,3%;3.693;62,1%;960;2,9%;523
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;5,1%;;2,1%;;4,5%;;4,9%;;7,7%;;2,8%;;7,3%;;2,0%;;2,1%;
1ª Nacionalidad Extranjera en el Distrito: RUMANIA (proporción respecto total extranjeros);10,8%;45.718;9,6%;1.853;10,1%;12;8,5%;21;12,3%;402;12,9%;625;11,0%;178;7,5%;504;4,1%;64;5,2%;47
2ª Nacionalidad Extranjera en el Distrito: CHINA (proporción respecto total extranjeros);8,8%;37.031;9,1%;1.761;5,9%;7;0,0%;0;11,0%;360;8,8%;426;9,2%;149;11,2%;751;2,3%;36;3,6%;32
