16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1.675,80;
Densidad (hab./Ha.) ;;53,30;67,08;;59,64;;46,89;;161,06;;196,17;;126,72;;32,40;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;5,7%;183.930;3,7%;6.738;8,0%;14.723;22,1%;40.627;28,4%;52.274;8,3%;15.271;29,5%;54.297
Hombres;46,6%;1.500.340;47,5%;87.338;48,9%;3.292;47,8%;7.042;46,6%;18.933;46,1%;24.119;47,5%;7.250;49,2%;26.702
Mujeres;53,4%;1.721.484;52,5%;96.592;51,1%;3.446;52,2%;7.681;53,4%;21.694;53,9%;28.155;52,5%;8.021;50,8%;27.595
Edad media de la población;;44,12;;42,35;;39,69;;40,35;;47,19;;47,07;;45,48;;34,18
De 0 a 14 años;13,5%;435.302;16,7%;30.708;19,7%;1.327;17,1%;2.519;11,5%;4.682;11,7%;6.140;11,8%;1.805;26,2%;14.235
De 15 a 29;15,3%;492.310;14,2%;26.082;17,3%;1.168;18,9%;2.779;14,0%;5.698;14,1%;7.361;16,6%;2.533;12,1%;6.543
De 30 a 44;23,1%;745.852;23,1%;42.576;17,4%;1.175;17,5%;2.571;20,3%;8.254;20,6%;10.781;18,6%;2.848;31,2%;16.947
De 45 a 64;27,7%;891.569;27,3%;50.148;31,0%;2.087;33,2%;4.893;28,0%;11.371;27,2%;14.201;32,0%;4.885;23,4%;12.711
De 65 a 79;13,0%;419.069;13,0%;23.867;11,8%;794;10,1%;1.480;18,3%;7.415;17,6%;9.200;13,1%;2.005;5,5%;2.973
De 80 y + ;7,4%;237.722;5,7%;10.549;2,8%;187;3,3%;481;7,9%;3.207;8,8%;4.591;7,8%;1.195;1,6%;888
De 65 y +;20,4%;656.791;18,7%;34.416;14,6%;981;13,3%;1.961;26,1%;10.622;26,4%;13.791;21,0%;3.200;7,1%;3.861
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;14,4%;26.522;18,5%;1.247;15,8%;2.322;10,1%;4.119;10,3%;5.399;10,7%;1.635;21,7%;11.800
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;17,7%;;21,3%;;18,5%;;12,4%;;12,5%;;12,9%;;27,4%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;18,7%;;14,6%;;13,3%;;26,1%;;26,4%;;21,0%;;7,1%;
