10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.542,72;;129,2;;137,53;;167,9;;284,98;;919,14;;543,01;;360,96;
Densidad (hab./Ha.) ;;53,30;92,73;;133,07;;301,00;;211,36;;231,46;;20,65;;10,43;;141,57;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;7,3%;235.785;7,3%;17.192;17,6%;41.397;15,1%;35.488;28,0%;65.961;8,1%;18.983;2,4%;5.662;21,7%;51.102
Hombres;46,6%;1.500.340;46,4%;109.392;47,1%;8.102;46,0%;19.061;46,5%;16.491;45,9%;30.254;46,5%;8.828;50,7%;2.870;46,5%;23.786
Mujeres;53,4%;1.721.484;53,6%;126.393;52,9%;9.090;54,0%;22.336;53,5%;18.997;54,1%;35.707;53,5%;10.155;49,3%;2.792;53,5%;27.316
Edad media de la población;;44,12;;46,55;;43,41;;45,30;;45,82;;48,52;;46,01;;35,29;;48,07
De 0 a 14 años;13,5%;435.302;11,8%;27.741;13,6%;2.331;11,3%;4.665;12,0%;4.241;10,7%;7.083;12,3%;2.329;22,4%;1.271;11,4%;5.821
De 15 a 29;15,3%;492.310;14,6%;34.434;17,4%;2.998;15,9%;6.572;16,3%;5.769;13,5%;8.894;14,5%;2.745;12,8%;724;13,2%;6.732
De 30 a 44;23,1%;745.852;21,3%;50.276;19,8%;3.412;24,0%;9.933;20,4%;7.249;20,5%;13.531;22,3%;4.232;33,2%;1.877;19,7%;10.042
De 45 a 64;27,7%;891.569;27,3%;64.288;31,8%;5.466;27,9%;11.554;28,4%;10.071;25,1%;16.563;27,0%;5.120;25,4%;1.437;27,5%;14.077
De 65 a 79;13,0%;419.069;16,2%;38.132;10,2%;1.762;11,8%;4.899;13,3%;4.722;20,9%;13.772;15,3%;2.906;5,0%;285;19,1%;9.786
De 80 y + ;7,4%;237.722;8,9%;20.914;7,1%;1.223;9,1%;3.774;9,7%;3.436;9,3%;6.118;8,7%;1.651;1,2%;68;9,1%;4.644
De 65 y +;20,4%;656.791;25,0%;59.046;17,4%;2.985;21,0%;8.673;23,0%;8.158;30,2%;19.890;24,0%;4.557;6,2%;353;28,2%;14.430
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;10,3%;24.191;12,3%;2.118;9,6%;3.974;10,6%;3.747;9,4%;6.181;10,4%;1.979;18,7%;1.056;10,1%;5.136
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;12,5%;;14,6%;;12,0%;;12,8%;;11,5%;;13,0%;;23,4%;;12,1%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;25,0%;;17,4%;;21,0%;;23,0%;;30,2%;;24,0%;;6,2%;;28,2%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;35,4%;;41,0%;;43,5%;;42,1%;;30,8%;;36,2%;;19,3%;;32,2%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;60,2%;;47,1%;;49,1%;;55,8%;;71,3%;;58,6%;;42,2%;;67,7%;
Personas con nacionalidad española;86,9%;2.799.105;85,5%;201.653;86,6%;14.884;81,9%;33.900;84,5%;29.971;85,0%;56.064;83,0%;15.747;94,0%;5.324;89,6%;45.763
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;46,5%;93.747;47,1%;7.013;45,9%;15.568;46,5%;13.939;45,9%;25.754;47,0%;7.400;50,9%;2.709;46,7%;21.364
Personas con nacionalidad española MUJERES;53,4%;1.494.652;53,5%;107.906;52,9%;7.871;54,1%;18.332;53,5%;16.032;54,1%;30.310;53,0%;8.347;49,1%;2.615;53,3%;24.399
Personas con nacionalidad extranjera;13,1%;422.700;14,5%;34.131;13,4%;2.308;18,1%;7.497;15,5%;5.517;15,0%;9.897;17,0%;3.235;6,0%;338;10,4%;5.339
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;45,8%;15.644;47,2%;1.089;46,6%;3.493;46,3%;2.552;45,5%;4.500;44,1%;1.427;47,6%;161;45,4%;2.422
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;54,2%;18.487;52,8%;1.219;53,4%;4.004;53,7%;2.965;54,5%;5.397;55,9%;1.808;52,4%;177;54,6%;2.917
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;10,5%;;10,0%;;13,9%;;12,0%;;10,4%;;12,0%;;3,8%;;7,0%;
1ª Nacionalidad Extranjera en el Distrito: RUMANIA (% respecto total extranjeros);10,8%;45.718;14,6%;4.991;12,1%;279;8,4%;630;11,9%;656;18,8%;1.858;17,6%;570;20,4%;69;17,4%;929
