09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.653,11;;1.746,06;;75,75;;1.425,09;;139,75;;330,25;;352,82;;583,4;
Densidad (hab./Ha.) ;;53,30;25,32;;7,39;;316,71;;11,30;;210,51;;19,86;;7,71;;44,82;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;3,7%;117.835;10,9%;12.900;20,4%;23.992;13,7%;16.097;25,0%;29.418;5,6%;6.560;2,3%;2.720;22,2%;26.148
Hombres;46,6%;1.500.340;46,0%;54.243;46,0%;5.935;45,4%;10.890;45,4%;7.314;45,7%;13.458;46,0%;3.018;47,3%;1.287;47,2%;12.341
Mujeres;53,4%;1.721.484;54,0%;63.592;54,0%;6.965;54,6%;13.102;54,6%;8.783;54,3%;15.960;54,0%;3.542;52,7%;1.433;52,8%;13.807
Edad media de la población;;44,12;;44,57;;48,23;;47,38;;46,22;;46,43;;36,07;;42,00;;39,49
De 0 a 14 años;13,5%;435.302;13,7%;16.162;9,5%;1.231;9,4%;2.267;11,8%;1.903;11,8%;3.486;26,6%;1.744;18,8%;510;19,2%;5.021
De 15 a 29;15,3%;492.310;16,2%;19.039;14,3%;1.844;15,9%;3.804;17,3%;2.779;14,8%;4.354;15,3%;1.003;16,1%;438;18,4%;4.817
De 30 a 44;23,1%;745.852;20,3%;23.879;20,5%;2.645;22,3%;5.352;19,2%;3.087;21,4%;6.299;19,5%;1.278;17,1%;465;18,2%;4.753
De 45 a 64;27,7%;891.569;28,0%;33.036;30,7%;3.966;27,2%;6.523;26,3%;4.226;26,9%;7.926;28,0%;1.838;28,4%;772;29,8%;7.785
De 65 a 79;13,0%;419.069;14,1%;16.660;13,7%;1.762;15,5%;3.713;17,0%;2.739;16,3%;4.800;7,0%;462;14,6%;398;10,7%;2.786
De 80 y + ;7,4%;237.722;7,7%;9.059;11,3%;1.452;9,7%;2.333;8,5%;1.363;8,7%;2.553;3,6%;235;5,0%;137;3,8%;986
De 65 y +;20,4%;656.791;21,8%;25.719;24,9%;3.214;25,2%;6.046;25,5%;4.102;25,0%;7.353;10,6%;697;19,7%;535;14,4%;3.772
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;12,2%;14.324;8,1%;1.042;7,8%;1.878;10,6%;1.703;10,1%;2.983;24,9%;1.632;16,8%;458;17,7%;4.628
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;14,7%;;10,3%;;10,1%;;12,8%;;12,6%;;28,5%;;19,9%;;20,8%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;21,8%;;24,9%;;25,2%;;25,5%;;25,0%;;10,6%;;19,7%;;14,4%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;35,2%;;45,2%;;38,6%;;33,2%;;34,7%;;33,7%;;25,6%;;26,1%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;57,6%;;54,3%;;54,4%;;61,9%;;60,3%;;64,2%;;65,6%;;54,4%;
Personas con nacionalidad española;86,9%;2.799.105;90,1%;106.125;92,0%;11.864;88,2%;21.157;90,7%;14.596;89,6%;26.356;90,5%;5.939;91,9%;2.500;90,7%;23.713
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;46,5%;49.355;45,9%;5.450;45,7%;9.677;46,0%;6.721;45,9%;12.099;47,7%;2.831;47,9%;1.197;48,0%;11.380
Personas con nacionalidad española MUJERES;53,4%;1.494.652;53,5%;56.770;54,1%;6.414;54,3%;11.480;54,0%;7.875;54,1%;14.257;52,3%;3.108;52,1%;1.303;52,0%;12.333
Personas con nacionalidad extranjera;13,1%;422.700;9,9%;11.710;8,0%;1.036;11,8%;2.835;9,3%;1.501;10,4%;3.062;9,5%;621;8,1%;220;9,3%;2.435
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;41,7%;4.888;46,8%;485;42,8%;1.213;39,5%;593;44,4%;1.359;30,1%;187;40,9%;90;39,5%;961
