14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;
Densidad (hab./Ha.) ;;53,30;154,45;;89,94;;84,81;;152,95;;177,75;;175,23;;283,13;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;2,9%;94.261;9,6%;9.081;6,7%;6.326;29,0%;27.378;18,8%;17.757;17,9%;16.902;17,8%;16.817
Hombres;46,6%;1.500.340;45,8%;43.203;46,0%;4.174;47,9%;3.031;46,5%;12.742;45,6%;8.090;45,7%;7.730;44,2%;7.436
Mujeres;53,4%;1.721.484;54,2%;51.058;54,0%;4.907;52,1%;3.295;53,5%;14.636;54,4%;9.667;54,3%;9.172;55,8%;9.381
Edad media de la población;;44,12;;47,46;;46,28;;38,71;;48,21;;47,99;;47,54;;49,54
De 0 a 14 años;13,5%;435.302;11,3%;10.619;11,8%;1.072;17,5%;1.109;9,8%;2.691;10,7%;1.895;12,1%;2.042;10,8%;1.810
De 15 a 29;15,3%;492.310;15,4%;14.535;16,5%;1.501;20,8%;1.317;16,8%;4.599;15,1%;2.686;13,8%;2.328;12,5%;2.104
De 30 a 44;23,1%;745.852;17,8%;16.766;17,6%;1.602;14,2%;896;15,4%;4.208;18,3%;3.246;20,7%;3.498;19,7%;3.316
De 45 a 64;27,7%;891.569;29,5%;27.832;30,0%;2.725;39,4%;2.495;31,4%;8.590;28,5%;5.060;26,8%;4.522;26,4%;4.440
De 65 a 79;13,0%;419.069;15,9%;15.021;15,5%;1.404;5,7%;360;17,3%;4.743;17,6%;3.128;14,6%;2.463;17,4%;2.923
De 80 y + ;7,4%;237.722;10,1%;9.488;8,6%;777;2,4%;149;9,3%;2.547;9,8%;1.742;12,1%;2.049;13,2%;2.224
De 65 y +;20,4%;656.791;26,0%;24.509;24,0%;2.181;8,0%;509;26,6%;7.290;27,4%;4.870;26,7%;4.512;30,6%;5.147
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;10,2%;9.572;11,1%;1.009;17,5%;1.106;9,1%;2.489;9,2%;1.637;10,5%;1.778;9,2%;1.553
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;12,1%;;12,8%;;19,3%;;10,8%;;11,4%;;12,7%;;11,4%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;26,0%;;24,0%;;8,0%;;26,6%;;27,4%;;26,7%;;30,6%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;38,7%;;35,6%;;29,3%;;34,9%;;35,8%;;45,4%;;43,2%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;61,6%;;58,3%;;37,6%;;59,7%;;63,6%;;65,1%;;72,5%;
Personas con nacionalidad española;86,9%;2.799.105;91,6%;86.322;90,7%;8.232;96,6%;6.112;94,3%;25.807;91,7%;16.289;87,5%;14.797;89,7%;15.085
