13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;
Densidad (hab./Ha.) ;;53,30;153,98;;56,91;;376,37;;230,12;;135,50;;224,11;;251,68;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;7,2%;230.488;14,7%;33.986;17,5%;40.267;17,2%;39.669;18,3%;42.120;12,1%;27.908;20,2%;46.538
Hombres;46,6%;1.500.340;47,3%;109.044;48,0%;16.314;47,3%;19.037;46,9%;18.614;47,8%;20.115;46,7%;13.033;47,1%;21.931
Mujeres;53,4%;1.721.484;52,7%;121.444;52,0%;17.672;52,7%;21.230;53,1%;21.055;52,2%;22.005;53,3%;14.875;52,9%;24.607
Edad media de la población;;44,12;;43,38;;43,99;;41,25;;43,20;;43,68;;45,07;;43,68
De 0 a 14 años;13,5%;435.302;13,2%;30.368;13,7%;4.654;14,2%;5.725;12,6%;4.981;13,2%;5.568;12,9%;3.592;12,6%;5.848
De 15 a 29;15,3%;492.310;17,2%;39.749;16,8%;5.725;17,8%;7.157;19,0%;7.542;17,1%;7.192;15,6%;4.355;16,7%;7.778
De 30 a 44;23,1%;745.852;22,1%;51.052;20,7%;7.043;25,8%;10.394;18,8%;7.469;21,3%;8.967;22,1%;6.165;23,7%;11.014
De 45 a 64;27,7%;891.569;29,2%;67.352;28,8%;9.775;27,2%;10.972;33,2%;13.176;30,0%;12.617;27,4%;7.647;28,3%;13.165
De 65 a 79;13,0%;419.069;11,0%;25.337;11,6%;3.950;8,8%;3.533;9,9%;3.946;11,4%;4.805;13,3%;3.700;11,6%;5.403
De 80 y + ;7,4%;237.722;7,2%;16.630;8,4%;2.839;6,2%;2.486;6,4%;2.555;7,1%;2.971;8,8%;2.449;7,2%;3.330
De 65 y +;20,4%;656.791;18,2%;41.967;20,0%;6.789;14,9%;6.019;16,4%;6.501;18,5%;7.776;22,0%;6.149;18,8%;8.733
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;11,5%;26.426;11,9%;4.059;11,9%;4.790;11,6%;4.584;11,6%;4.866;11,2%;3.116;10,8%;5.011
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;14,1%;;14,6%;;15,0%;;13,7%;;14,1%;;13,7%;;13,4%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;18,2%;;20,0%;;14,9%;;16,4%;;18,5%;;22,0%;;18,8%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;39,6%;;41,8%;;41,3%;;39,3%;;38,2%;;39,8%;;38,1%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;47,7%;;52,8%;;42,8%;;43,0%;;48,3%;;55,7%;;47,4%;
Personas con nacionalidad española;86,9%;2.799.105;83,8%;193.074;86,1%;29.265;73,7%;29.666;87,4%;34.658;89,5%;37.686;87,0%;24.273;80,6%;37.526
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;47,2%;91.131;47,9%;14.006;46,9%;13.926;46,8%;16.215;47,8%;18.010;46,8%;11.348;47,0%;17.626
Personas con nacionalidad española MUJERES;53,4%;1.494.652;52,8%;101.943;52,1%;15.259;53,1%;15.740;53,2%;18.443;52,2%;19.676;53,2%;12.925;53,0%;19.900
Personas con nacionalidad extranjera;13,1%;422.700;16,2%;37.413;13,9%;4.721;26,3%;10.600;12,6%;5.011;10,5%;4.434;13,0%;3.635;19,4%;9.012
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;47,9%;17.912;48,9%;2.308;48,2%;5.110;47,9%;2.399;47,5%;2.105;46,4%;1.685;47,8%;4.305
