03. RETIRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;RETIRO;;Pacífico;;Adelfas;;La Estrella;;Ibiza;;Los Jerónimos;;Niño Jesús;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;546,62;;75,83;;64,08;;102,55;;49,2;;190,64;;64,33;
Densidad (hab./Ha.) ;;53,30;217,72;;443,14;;286,29;;226,60;;436,45;;37,11;;237,53;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;3,7%;119.011;28,2%;33.601;15,4%;18.345;19,5%;23.238;18,0%;21.472;5,9%;7.075;12,8%;15.280
Hombres;46,6%;1.500.340;45,3%;53.863;44,6%;15.000;45,9%;8.427;46,5%;10.796;43,7%;9.384;46,9%;3.315;45,4%;6.941
Mujeres;53,4%;1.721.484;54,7%;65.148;55,4%;18.601;54,1%;9.918;53,5%;12.442;56,3%;12.088;53,1%;3.760;54,6%;8.339
Edad media de la población;;44,12;;47,01;;47,34;;44,86;;48,42;;47,08;;47,97;;46,23
De 0 a 14 años;13,5%;435.302;11,9%;14.151;10,2%;3.435;12,9%;2.362;12,3%;2.868;11,8%;2.526;11,6%;818;14,0%;2.142
De 15 a 29;15,3%;492.310;13,6%;16.144;14,4%;4.855;13,4%;2.463;12,6%;2.928;13,4%;2.886;12,0%;852;14,1%;2.160
De 30 a 44;23,1%;745.852;21,3%;25.356;21,6%;7.257;24,2%;4.440;19,4%;4.504;22,4%;4.812;21,0%;1.489;18,7%;2.854
De 45 a 64;27,7%;891.569;27,7%;32.983;29,2%;9.814;28,8%;5.283;25,2%;5.858;27,5%;5.902;28,8%;2.037;26,8%;4.089
De 65 a 79;13,0%;419.069;16,8%;19.977;15,7%;5.290;14,2%;2.612;21,3%;4.945;15,2%;3.256;16,2%;1.145;17,9%;2.729
De 80 y + ;7,4%;237.722;8,7%;10.400;8,8%;2.950;6,5%;1.185;9,2%;2.135;9,7%;2.090;10,4%;734;8,5%;1.306
De 65 y +;20,4%;656.791;25,5%;30.377;24,5%;8.240;20,7%;3.797;30,5%;7.080;24,9%;5.346;26,6%;1.879;26,4%;4.035
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;10,1%;12.049;8,7%;2.928;10,9%;2.002;10,9%;2.523;9,7%;2.091;9,0%;638;12,2%;1.867
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;12,6%;;10,9%;;13,7%;;13,1%;;12,4%;;12,0%;;14,8%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;25,5%;;24,5%;;20,7%;;30,5%;;24,9%;;26,6%;;26,4%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;34,2%;;35,8%;;31,2%;;30,2%;;39,1%;;39,1%;;32,4%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;61,6%;;54,9%;;52,4%;;77,2%;;59,5%;;62,8%;;70,2%;
Personas con nacionalidad española;86,9%;2.799.105;92,9%;110.602;91,7%;30.803;93,5%;17.161;96,3%;22.379;90,1%;19.346;90,6%;6.409;94,9%;14.504
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;45,5%;50.335;44,8%;13.803;46,0%;7.894;46,7%;10.443;44,0%;8.504;47,5%;3.045;45,8%;6.646
Personas con nacionalidad española MUJERES;53,4%;1.494.652;54,5%;60.267;55,2%;17.000;54,0%;9.267;53,3%;11.936;56,0%;10.842;52,5%;3.364;54,2%;7.858
Personas con nacionalidad extranjera;13,1%;422.700;7,1%;8.409;8,3%;2.798;6,5%;1.184;3,7%;859;9,9%;2.126;9,4%;666;5,1%;776
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;42,0%;3.528;42,8%;1.197;45,0%;533;41,1%;353;41,4%;880;40,5%;270;38,0%;295
