04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;539,24;;87,31;;77,03;;85,26;;160,28;;52,02;;77,34;
Densidad (hab./Ha.) ;;53,30;269,39;;180,45;;384,32;;243,34;;257,42;;402,83;;219,11;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,5%;145.268;10,8%;15.756;20,4%;29.604;14,3%;20.747;28,4%;41.259;14,4%;20.956;11,7%;16.946
Hombres;46,6%;1.500.340;44,0%;63.940;45,0%;7.091;43,3%;12.812;43,6%;9.043;45,0%;18.570;43,1%;9.023;43,7%;7.401
Mujeres;53,4%;1.721.484;56,0%;81.328;55,0%;8.665;56,7%;16.792;56,4%;11.704;55,0%;22.689;56,9%;11.933;56,3%;9.545
Edad media de la población;;44,12;;46,35;;45,80;;46,31;;46,95;;46,86;;46,04;;45,37
De 0 a 14 años;13,5%;435.302;10,7%;15.604;11,3%;1.779;10,3%;3.061;10,5%;2.175;10,8%;4.458;10,8%;2.256;11,1%;1.875
De 15 a 29;15,3%;492.310;15,8%;22.995;16,2%;2.553;16,1%;4.763;14,1%;2.927;14,9%;6.145;16,8%;3.512;18,3%;3.095
De 30 a 44;23,1%;745.852;22,7%;33.020;21,6%;3.396;22,9%;6.773;24,1%;4.993;22,7%;9.372;23,1%;4.843;21,5%;3.643
De 45 a 64;27,7%;891.569;26,8%;38.894;28,2%;4.449;27,2%;8.044;26,7%;5.543;26,9%;11.105;25,4%;5.323;26,1%;4.430
