20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;
Densidad (hab./Ha.) ;;53,30;70,05;;119,67;;162,40;;225,42;;183,41;;33,95;;32,53;;178,50;;60,03;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,8%;156.149;17,4%;27.242;5,7%;8.941;5,3%;8.346;15,3%;23.939;20,2%;31.560;10,4%;16.315;18,3%;28.519;7,2%;11.287
Hombres;46,6%;1.500.340;47,3%;73.922;47,2%;12.851;45,8%;4.093;46,1%;3.851;46,8%;11.203;48,2%;15.197;49,1%;8.008;46,9%;13.371;3,4%;5.348
Mujeres;53,4%;1.721.484;52,7%;82.227;52,8%;14.391;54,2%;4.848;53,9%;4.495;53,2%;12.736;51,8%;16.363;50,9%;8.307;53,1%;15.148;3,8%;5.939
Edad media de la población;;44,12;;43,10;;42,65;;48,10;;44,34;;43,39;;40,81;;38,28;;45,68;;45,53
De 0 a 14 años;13,5%;435.302;14,8%;23.149;14,9%;4.068;11,0%;980;14,3%;1.192;14,9%;3.568;17,1%;5.411;20,0%;3.266;12,0%;3.422;11,0%;1.242
De 15 a 29;15,3%;492.310;15,8%;24.623;15,1%;4.122;15,3%;1.372;16,3%;1.364;15,8%;3.789;16,9%;5.322;13,3%;2.174;15,2%;4.331;19,0%;2.149
De 30 a 44;23,1%;745.852;20,9%;32.586;23,8%;6.473;19,4%;1.731;20,6%;1.718;20,2%;4.834;16,0%;5.034;30,3%;4.951;21,6%;6.154;15,0%;1.691
De 45 a 64;27,7%;891.569;30,8%;48.149;29,8%;8.108;29,1%;2.606;28,4%;2.373;30,9%;7.388;36,9%;11.656;25,1%;4.092;28,1%;8.008;34,7%;3.918
De 65 a 79;13,0%;419.069;10,5%;16.347;8,7%;2.383;9,8%;878;9,5%;791;10,0%;2.386;9,5%;3.000;6,3%;1.033;15,3%;4.356;13,5%;1.520
De 80 y + ;7,4%;237.722;7,2%;11.295;7,7%;2.088;15,4%;1.374;10,9%;908;8,2%;1.974;3,6%;1.137;4,9%;799;7,9%;2.248;6,8%;767
De 65 y +;20,4%;656.791;17,7%;27.642;16,4%;4.471;25,2%;2.252;20,4%;1.699;18,2%;4.360;13,1%;4.137;11,2%;1.832;23,2%;6.604;20,3%;2.287
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;13,5%;21.052;13,3%;3.620;9,5%;851;12,1%;1.009;13,9%;3.336;16,9%;5.336;16,7%;2.729;10,6%;3.017;10,2%;1.154
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;16,0%;;15,9%;;11,8%;;14,9%;;16,2%;;19,0%;;20,8%;;12,8%;;12,2%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;17,7%;;16,4%;;25,2%;;20,4%;;18,2%;;13,1%;;11,2%;;23,2%;;20,3%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;40,9%;;46,7%;;61,0%;;53,4%;;45,3%;;27,5%;;43,6%;;34,0%;;33,5%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;50,8%;;47,7%;;58,6%;;54,6%;;52,6%;;47,3%;;47,1%;;56,2%;;48,0%;
Personas con nacionalidad española;86,9%;2.799.105;88,9%;138.834;84,7%;23.085;89,6%;8.013;85,8%;7.164;91,3%;21.856;95,2%;30.039;84,3%;13.761;85,7%;24.440;92,8%;10.476
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;47,5%;65.887;46,7%;10.789;45,8%;3.668;46,4%;3.326;46,9%;10.247;48,4%;14.532;49,5%;6.806;47,2%;11.532;44,2%;4.987
Personas con nacionalidad española MUJERES;53,4%;1.494.652;52,5%;72.947;53,3%;12.296;54,2%;4.345;53,6%;3.838;53,1%;11.609;51,6%;15.507;50,5%;6.955;52,8%;12.908;48,6%;5.489
Personas con nacionalidad extranjera;13,1%;422.700;11,1%;17.315;15,3%;4.157;10,4%;928;14,2%;1.182;8,7%;2.083;4,8%;1.521;15,7%;2.554;14,3%;4.079;7,2%;811
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;46,4%;8.035;49,6%;2.062;45,8%;425;44,4%;525;45,9%;956;43,7%;665;47,1%;1.202;45,1%;1.839;3,2%;361
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;53,6%;9.280;50,4%;2.095;54,2%;503;55,6%;657;54,1%;1.127;56,3%;856;52,9%;1.352;54,9%;2.240;4,0%;450
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;7,0%;;10,2%;;7,4%;;10,7%;;6,0%;;2,4%;;0,0%;;8,8%;;3,7%;
1ª Nacionalidad Extranjera en el Distrito: RUMANIA (proporción respecto total extranjeros);10,8%;45.718;17,1%;2.957;13,3%;553;16,1%;149;15,5%;183;18,5%;385;24,8%;377;10,8%;275;23,5%;957;9,6%;78
2ª Nacionalidad Extranjera en el Distrito: VENEZUELA (proporción respecto total extranjeros);4,6%;19.502;7,0%;1.209;5,9%;245;5,2%;48;5,4%;64;5,8%;120;6,6%;100;14,3%;364;5,6%;229;4,8%;39
1.2.2. Estructura de los hogares (01-01-2018);;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.278.258;4,7%;59.462;18,0%;10.716;6,2%;3.683;5,6%;3.332;15,1%;8.965;18,5%;11.012;11,1%;6.590;18,3%;10.906;7,2%;4.258
Tamaño medio del hogar;;2,52;;2,63;;2,54;;2,43;;2,50;;2,67;;2,87;;2,48;;2,61;;2,65
Hogares con una mujer sola >65 años;9,8%;124.815;8,8%;5.239;10,1%;1.087;15,7%;578;12,6%;421;10,2%;912;4,2%;468;5,6%;371;9,6%;1.048;8,3%;354
Hogares con un hombre solo >65 años;2,8%;35.963;2,5%;1.493;2,6%;282;3,4%;124;3,5%;118;2,4%;217;1,6%;174;1,9%;127;3,1%;340;2,6%;111
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;2,6%;1.520;2,8%;299;1,8%;65;2,9%;97;2,3%;204;2,8%;310;3,6%;238;2,0%;218;2,1%;89
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,5%;274;0,5%;49;0,3%;11;0,2%;7;0,4%;33;0,6%;65;0,9%;58;0,3%;28;0,5%;23
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;7,94;;8,71;;6,53;;10,15;;7,38;;5,74;;13,90;;7,34;;5,91
Tasa de crecimiento demográfico 2017 (‰);;1,24;;1,15;;2,80;;1,25;;1,70;;0,80;;0,16;;3,37;;0,34;;-0,79
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,0;;87,3;;86,6;;81,2;;85,6;;85,6;;87,4;;85,6;;86,6
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;79,3;;78,3;;76,3;;75,0;;76,9;;81,7;;82,7;;80,1;;81,6
Esperanza de vida al nacer MUJERES (2017);;87,1;;86,6;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;81,1;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;23,8;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;19,5;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;90%;34.494,5 €;91%;31.368,1 €;68%;23.534,7 €;63%;21.842,0 €;81%;28.111,4 €;126%;43.369,5 €;111%;38.202,7 €;91%;31.306,0 €;158%;54.441,1 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;19.086,2 €;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-2,2%;-429,1 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.309,2 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;757,5 €;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;5,2%;8.770;19,1%;1.676;7,7%;678;8,1%;714;17,9%;1.571;14,5%;1.275;7,1%;621;18,1%;1.587;5,3%;468
Tasa absoluta de paro registrado (agosto 2018);7,9%;;8,3%;;9,1%;;12,0%;;13,1%;;10,1%;;6,0%;;5,6%;;8,8%;;6,2%;
Tasa absoluta de paro registrado MUJERES;8,6%;;9,3%;;9,5%;;12,5%;;13,8%;;10,4%;;7,5%;;6,9%;;10,0%;;7,3%;
De 16 a 24 años;4,6%;;4,4%;;5,3%;;6,2%;;9,2%;;6,6%;;2,7%;;2,6%;;4,4%;;1,3%;
De 25 a 44 años;8,3%;;9,0%;;9,2%;;11,9%;;14,3%;;10,5%;;7,1%;;5,8%;;9,4%;;8,2%;
De 45 a 64 años;10,1%;;10,9%;;11,0%;;14,8%;;14,9%;;11,5%;;9,1%;;9,7%;;12,0%;;8,6%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;7,4%;;8,6%;;11,4%;;12,3%;;9,7%;;4,3%;;4,2%;;7,6%;;5,1%;
De 16 a 24 años;4,5%;;4,5%;;5,0%;;9,9%;;7,8%;;6,7%;;2,6%;;3,0%;;3,9%;;2,0%;
De 25 a 44 años;6,1%;;6,2%;;6,8%;;9,2%;;10,7%;;8,7%;;4,4%;;2,9%;;6,1%;;4,4%;
De 45 a 64 años;9,1%;;9,2%;;11,6%;;14,0%;;15,3%;;11,5%;;4,8%;;6,3%;;10,3%;;6,7%;
