06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;537,47;;71,52;;118,5;;70,47;;99,94;;116,34;;60,71;
Densidad (hab./Ha.) ;;53,30;290,19;;402,00;;289,05;;288,97;;224,35;;219,79;;405,36;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,8%;155.967;18,4%;28.750;22,0%;34.254;13,1%;20.363;14,4%;22.421;16,4%;25.571;15,8%;24.608
Hombres;46,6%;1.500.340;45,3%;70.725;45,4%;13.056;45,1%;15.458;45,2%;9.209;45,5%;10.209;46,3%;11.835;44,5%;10.958
Mujeres;53,4%;1.721.484;54,7%;85.242;54,6%;15.694;54,9%;18.796;54,8%;11.154;54,5%;12.212;53,7%;13.736;55,5%;13.650
Edad media de la población;;44,12;;44,26;;43,55;;45,88;;46,75;;44,86;;41,86;;42,74
De 0 a 14 años;13,5%;435.302;11,3%;17.556;11,5%;3.306;10,3%;3.531;9,4%;1.909;11,5%;2.574;12,7%;3.242;12,2%;2.994
De 15 a 29;15,3%;492.310;16,3%;25.390;17,1%;4.911;15,7%;5.391;14,7%;2.992;16,6%;3.717;16,6%;4.233;16,8%;4.146
De 30 a 44;23,1%;745.852;26,1%;40.756;26,4%;7.595;25,0%;8.569;25,8%;5.253;24,1%;5.402;28,5%;7.288;27,0%;6.649
De 45 a 64;27,7%;891.569;26,8%;41.737;26,5%;7.605;26,0%;8.898;26,2%;5.330;27,6%;6.188;27,5%;7.030;27,2%;6.686
De 65 a 79;13,0%;419.069;11,9%;18.520;11,8%;3.383;14,3%;4.914;14,9%;3.033;10,8%;2.411;8,9%;2.279;10,2%;2.500
De 80 y + ;7,4%;237.722;7,7%;12.008;6,8%;1.950;8,6%;2.951;9,1%;1.846;9,5%;2.129;5,9%;1.499;6,6%;1.633
De 65 y +;20,4%;656.791;19,6%;30.528;18,5%;5.333;23,0%;7.865;24,0%;4.879;20,2%;4.540;14,8%;3.778;16,8%;4.133
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;9,3%;14.553;9,6%;2.760;8,5%;2.903;7,4%;1.511;9,7%;2.175;10,5%;2.674;10,3%;2.530
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;12,0%;;12,3%;;11,0%;;9,9%;;12,3%;;13,5%;;13,0%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;19,6%;;18,5%;;23,0%;;24,0%;;20,2%;;14,8%;;16,8%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;39,3%;;36,6%;;37,5%;;37,8%;;46,9%;;39,7%;;39,5%;
