12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;
Densidad (hab./Ha.) ;;53,30;176,12;;166,29;;97,83;;157,31;;269,00;;283,08;;176,96;;157,29;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,3%;136.978;16,5%;22.555;9,9%;13.572;16,9%;23.209;15,3%;20.986;18,8%;25.726;10,0%;13.697;12,6%;17.233
Hombres;46,6%;1.500.340;47,1%;64.582;47,1%;10.634;48,5%;6.576;47,9%;11.111;46,8%;9.824;46,5%;11.971;46,5%;6.371;47,0%;8.095
Mujeres;53,4%;1.721.484;52,9%;72.396;52,9%;11.921;51,5%;6.996;52,1%;12.098;53,2%;11.162;53,5%;13.755;53,5%;7.326;53,0%;9.138
Edad media de la población;;44,12;;42,40;;43,40;;40,82;;40,05;;42,24;;44,16;;43,36;;42,36
De 0 a 14 años;13,5%;435.302;14,8%;20.328;16,8%;3.785;16,0%;2.169;17,7%;4.115;14,1%;2.968;12,2%;3.145;13,0%;1.776;13,8%;2.370
De 15 a 29;15,3%;492.310;16,5%;22.619;14,0%;3.150;17,6%;2.392;16,9%;3.920;17,0%;3.575;16,1%;4.136;17,6%;2.411;17,6%;3.035
De 30 a 44;23,1%;745.852;23,4%;32.012;21,2%;4.778;23,0%;3.116;23,0%;5.345;24,8%;5.198;24,5%;6.294;22,2%;3.042;24,6%;4.239
De 45 a 64;27,7%;891.569;27,9%;38.177;28,4%;6.408;28,8%;3.909;27,8%;6.457;27,2%;5.713;27,8%;7.149;29,0%;3.970;26,5%;4.571
De 65 a 79;13,0%;419.069;10,2%;13.991;10,9%;2.458;9,0%;1.221;9,7%;2.240;9,2%;1.937;11,2%;2.891;10,7%;1.472;10,3%;1.772
De 80 y + ;7,4%;237.722;7,2%;9.851;8,8%;1.976;5,6%;765;4,9%;1.132;7,6%;1.595;8,2%;2.111;7,5%;1.026;7,2%;1.246
De 65 y +;20,4%;656.791;17,4%;23.842;19,7%;4.434;14,6%;1.986;14,5%;3.372;16,8%;3.532;19,4%;5.002;18,2%;2.498;17,5%;3.018
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;13,1%;17.950;15,2%;3.432;13,9%;1.887;16,3%;3.789;12,2%;2.561;10,5%;2.693;11,6%;1.583;11,6%;2.005
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;15,9%;;17,9%;;17,1%;;19,0%;;15,0%;;13,0%;;14,0%;;14,6%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;17,4%;;19,7%;;14,6%;;14,5%;;16,8%;;19,4%;;18,2%;;17,5%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;41,3%;;44,6%;;38,5%;;33,6%;;45,2%;;42,2%;;41,1%;;41,3%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;49,8%;;60,2%;;46,6%;;50,4%;;46,8%;;48,1%;;47,5%;;47,4%;
Personas con nacionalidad española;86,9%;2.799.105;79,4%;108.793;92,7%;20.919;86,6%;11.755;82,5%;19.148;73,8%;15.490;74,3%;19.103;77,7%;10.647;68,1%;11.731
