19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60445,52;3.526,67;;2.149,42;;255,51;;64,32;;1.057,43;;;;;
Densidad (hab./Ha.) ;;53,30;20,12;;15,91;;69,03;;282,66;;0,89;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;2,2%;70.962;48,2%;34.200;24,9%;17.637;25,6%;18.180;1,3%;945;;;;
Hombres;46,6%;1.500.340;48,6%;34.461;48,5%;16.585;47,8%;8.434;49,2%;8.952;51,9%;490;;;;
Mujeres;53,4%;1.721.484;51,4%;36.501;51,5%;17.615;52,2%;9.203;50,8%;9.228;48,1%;455;;;;
Edad media de la población;;44,12;;40,53;;44,17;;40,55;;34,00;;33,42;;;;
De 0 a 14 años;13,5%;435.302;18,0%;12.799;14,2%;4.842;13,9%;2.454;29,2%;5.313;20,1%;190;;;;
De 15 a 29;15,3%;492.310;15,6%;11.071;15,3%;5.245;22,4%;3.951;9,5%;1.725;15,9%;150;;;;
De 30 a 44;23,1%;745.852;21,9%;15.550;22,6%;7.718;13,5%;2.373;27,9%;5.070;41,2%;389;;;;
De 45 a 64;27,7%;891.569;29,9%;21.214;25,9%;8.859;40,1%;7.066;28,1%;5.109;19,0%;180;;;;
De 65 a 79;13,0%;419.069;9,8%;6.946;14,2%;4.854;7,4%;1.310;4,1%;751;3,3%;31;;;;
De 80 y + ;7,4%;237.722;4,8%;3.382;7,8%;2.682;2,7%;483;1,2%;212;0,5%;5;;;;
De 65 y +;20,4%;656.791;14,6%;10.328;22,0%;7.536;10,2%;1.793;5,3%;963;3,8%;36;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;16,5%;11.716;12,4%;4.241;13,9%;2.443;26,9%;4.891;14,9%;141;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;19,2%;;15,0%;;15,6%;;30,3%;;20,7%;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;14,6%;;22,0%;;10,2%;;5,3%;;3,8%;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;32,7%;;35,6%;;26,9%;;22,0%;;13,9%;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;50,8%;;58,9%;;34,7%;;55,2%;;32,5%;;;;;
Personas con nacionalidad española;86,9%;2.799.105;88,6%;62.837;81,1%;27.752;94,3%;16.630;96,7%;17.588;91,7%;867;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;48,5%;30.485;48,2%;13.382;47,9%;7.959;49,4%;8.688;52,6%;456;;;;
Personas con nacionalidad española MUJERES;53,4%;1.494.652;51,5%;32.352;51,8%;14.370;52,1%;8.671;50,6%;8.900;47,4%;411;;;;
Personas con nacionalidad extranjera;13,1%;422.700;11,4%;8.125;18,9%;6.448;5,7%;1.007;3,3%;592;8,3%;78;;;;
