18. VILLA DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLA DE VALLECAS;;Casco Histórico de Vallecas;;Santa Eugenia;;Ensanche de Vallecas;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;5.146,72;;4.304,59;;208,02;;634,11;;;;;;;
Densidad (hab./Ha.) ;;53,30;20,92;;9,23;;116,79;;68,78;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;3,3%;107.649;36,9%;39.740;22,6%;24.295;40,5%;43.614;;;;;;
Hombres;46,6%;1.500.340;48,6%;52.352;48,1%;19.128;48,0%;11.672;49,4%;21.552;;;;;;
Mujeres;53,4%;1.721.484;51,4%;55.297;51,9%;20.612;52,0%;12.623;50,6%;22.062;;;;;;
Edad media de la población;;44,12;;38,64;;41,04;;45,20;;32,82;;;;;;
De 0 a 14 años;13,5%;435.302;18,6%;19.983;16,7%;6.642;10,9%;2.656;24,5%;10.685;;;;;;
De 15 a 29;15,3%;492.310;14,8%;15.916;16,8%;6.667;17,6%;4.278;11,4%;4.971;;;;;;
De 30 a 44;23,1%;745.852;29,8%;32.081;23,4%;9.301;19,1%;4.646;41,6%;18.134;;;;;;
De 45 a 64;27,7%;891.569;24,5%;26.360;26,5%;10.546;31,9%;7.755;18,5%;8.059;;;;;;
De 65 a 79;13,0%;419.069;8,7%;9.373;11,0%;4.366;15,4%;3.739;2,9%;1.268;;;;;;
De 80 y + ;7,4%;237.722;3,7%;3.936;5,6%;2.218;5,0%;1.221;1,1%;497;;;;;;
De 65 y +;20,4%;656.791;12,4%;13.309;16,6%;6.584;20,4%;4.960;4,0%;1.765;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;15,1%;16.274;14,6%;5.816;9,7%;2.368;18,5%;8.090;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;19,4%;;17,8%;;11,8%;;25,2%;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;12,4%;;16,6%;;20,4%;;4,0%;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;29,6%;;33,7%;;24,6%;;28,2%;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;46,6%;;52,3%;;47,6%;;41,3%;;;;;;;
Personas con nacionalidad española;86,9%;2.799.105;88,7%;95.524;84,9%;33.759;90,2%;21.903;91,4%;39.862;;;;;;
