17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.018,76;;925,36;;108,25;;637,55;;154,07;;193,53;;;;
Densidad (hab./Ha.) ;;53,30;72,09;;47,87;;143,17;;28,65;;239,98;;157,51;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2018);;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.221.824;4,5%;145.523;30,4%;44.299;10,6%;15.498;12,6%;18.268;25,4%;36.975;20,9%;30.483;;;
Hombres;46,6%;1.500.340;47,8%;69.552;47,7%;21.139;48,6%;7.527;48,5%;8.859;48,3%;17.874;46,4%;14.153;;;
Mujeres;53,4%;1.721.484;52,2%;75.971;52,3%;23.160;51,4%;7.971;51,5%;9.409;51,7%;19.101;53,6%;16.330;;;
Edad media de la población;;44,12;;42,18;;42,28;;39,13;;35,54;;42,17;;47,60;;;
De 0 a 14 años;13,5%;435.302;15,8%;22.968;15,3%;6.778;18,2%;2.828;24,1%;4.397;14,8%;5.458;11,5%;3.507;;;
De 15 a 29;15,3%;492.310;16,3%;23.772;17,0%;7.530;19,1%;2.961;13,4%;2.439;17,2%;6.342;14,8%;4.500;;;
De 30 a 44;23,1%;745.852;22,4%;32.527;21,6%;9.576;23,6%;3.663;30,6%;5.594;20,9%;7.745;19,5%;5.949;;;
De 45 a 64;27,7%;891.569;27,7%;40.366;28,7%;12.704;25,3%;3.916;23,4%;4.270;30,4%;11.238;27,0%;8.238;;;
De 65 a 79;13,0%;419.069;11,0%;16.046;10,6%;4.690;6,5%;1.013;6,5%;1.180;11,4%;4.208;16,3%;4.955;;;
De 80 y + ;7,4%;237.722;6,8%;9.844;6,8%;3.021;7,2%;1.117;2,1%;388;5,4%;1.984;10,9%;3.334;;;
De 65 y +;20,4%;656.791;17,8%;25.890;17,4%;7.711;13,7%;2.130;8,6%;1.568;16,7%;6.192;27,2%;8.289;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;13,9%;20.170;13,3%;5.902;15,3%;2.369;21,3%;3.893;13,3%;4.930;10,1%;3.076;;;
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;16,8%;;16,3%;;19,3%;;25,2%;;15,9%;;12,4%;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;17,8%;;17,4%;;13,7%;;8,6%;;16,7%;;27,2%;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;38,0%;;39,2%;;52,4%;;24,7%;;32,0%;;40,2%;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;52,9%;;50,9%;;49,2%;;50,9%;;48,4%;;65,5%;;;;
Personas con nacionalidad española;86,9%;2.799.105;82,0%;119.276;81,7%;36.204;69,8%;10.815;86,7%;15.833;82,1%;30.356;85,5%;26.068;;;
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;47,5%;56.683;47,3%;17.132;47,2%;5.108;49,0%;7.761;48,0%;14.580;46,4%;12.102;;;
Personas con nacionalidad española MUJERES;53,4%;1.494.652;52,5%;62.593;52,7%;19.072;52,8%;5.707;51,0%;8.072;52,0%;15.776;53,6%;13.966;;;
Personas con nacionalidad extranjera;13,1%;422.700;18,0%;26.244;18,3%;8.094;30,2%;4.682;13,3%;2.435;17,9%;6.618;14,5%;4.415;;;
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;49,0%;12.868;49,5%;4.007;51,6%;2.418;45,1%;1.098;49,8%;3.294;46,5%;2.051;;;
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;51,0%;13.376;50,5%;4.087;48,4%;2.264;54,9%;1.337;50,2%;3.324;53,5%;2.364;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;14,1%;;13,8%;;26,9%;;9,2%;;13,7%;;11,2%;;;;
1ª Nacionalidad Extranjera en el Distrito: RUMANIA (proporción respecto total extranjeros);10,8%;45.718;13,9%;3.638;16,9%;1.367;6,1%;286;16,3%;398;14,4%;950;14,4%;637;;;
2ª Nacionalidad Extranjera en el Distrito: MARRUECOS (proporción respecto total extranjeros);5,2%;21.781;12,5%;3.284;12,2%;989;21,9%;1.024;9,0%;220;11,0%;730;7,3%;321;;;
1.2.2. Estructura de los hogares (01-01-2018);;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.278.258;4,1%;52.596;30,8%;16.209;9,6%;5.063;12,1%;6.389;24,9%;13.100;22,5%;11.835;;;
Tamaño medio del hogar;;2,52;;2,77;;2,73;;3,06;;2,86;;2,82;;2,58;;;
Hogares con una mujer sola >65 años;9,8%;124.815;8,9%;4.697;8,9%;1.441;10,4%;526;3,4%;220;7,4%;968;13,0%;1.542;;;
Hogares con un hombre solo >65 años;2,8%;35.963;2,4%;1.278;2,3%;374;2,8%;143;1,1%;72;2,4%;310;3,2%;379;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;2,6%;1.360;2,7%;435;2,4%;124;4,7%;298;2,2%;286;1,8%;217;;;
