02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;;;
Densidad (hab./Ha.) ;;54,03;238,05;;235,26;;342,68;;352,12;;138,94;;262,24;;397,89;;15,97;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,7%;153.830;14,8%;22.766;23,9%;36.785;13,0%;19.993;12,8%;19.652;18,0%;27.658;16,8%;25.801;0,8%;1.175;;;
Hombres;46,6%;1.521.178;46,6%;71.631;46,3%;10.543;46,1%;16.943;45,3%;9.064;49,0%;9.629;46,6%;12.880;46,5%;11.999;48,8%;573;;;
Mujeres;53,4%;1.744.948;53,4%;82.199;53,7%;12.223;53,9%;19.842;54,7%;10.929;51,0%;10.023;53,4%;14.778;53,5%;13.802;51,2%;602;;;
Edad media de la población;;44,14;;44,63;;46,21;;46,49;;46,49;;38,27;;43,12;;45,86;;38,65;;;
De 0 a 14 años;13,3%;435.675;11,8%;18.187;11,1%;2.517;10,0%;3.672;10,2%;2.038;18,6%;3.650;13,4%;3.706;9,2%;2.382;18,9%;222;;;
De 15 a 29;15,7%;512.070;14,5%;22.294;13,7%;3.108;15,2%;5.585;13,6%;2.712;14,0%;2.754;14,7%;4.064;15,0%;3.875;16,7%;196;;;
De 30 a 44;22,8%;744.312;24,8%;38.224;22,8%;5.194;22,4%;8.236;26,2%;5.239;27,7%;5.452;25,4%;7.012;26,6%;6.870;18,8%;221;;;
De 45 a 64;27,9%;912.424;29,6%;45.479;30,9%;7.039;29,8%;10.948;27,2%;5.440;31,0%;6.094;29,6%;8.190;28,5%;7.345;36,0%;423;;;
De 65 a 79;13,0%;423.670;12,8%;19.685;14,1%;3.205;15,9%;5.847;13,9%;2.772;6,5%;1.281;11,4%;3.148;13,0%;3.352;6,8%;80;;;
De 80 y + ;7,3%;237.975;6,5%;9.961;7,5%;1.703;6,8%;2.497;9,0%;1.792;2,1%;421;5,6%;1.538;7,7%;1.977;2,8%;33;;;
De 65 y +;20,3%;661.645;19,3%;29.646;21,6%;4.908;22,7%;8.344;22,8%;4.564;8,7%;1.702;16,9%;4.686;20,7%;5.329;9,6%;113;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;10,1%;15.467;9,6%;2.181;8,6%;3.177;8,1%;1.623;15,7%;3.083;11,5%;3.190;7,8%;2.011;17,2%;202;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;12,6%;;11,9%;;10,8%;;10,8%;;19,7%;;14,3%;;9,8%;;20,6%;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;19,3%;;21,6%;;22,7%;;22,8%;;8,7%;;16,9%;;20,7%;;9,6%;;;;
