21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.192,28;;197,03;;2.962,61;;54,94;;509,45;;468,25;;;;;;;
Densidad (hab./Ha.) ;;54,03;11,68;;99,10;;0,62;;137,70;;24,32;;16,32;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;1,5%;48.972;39,9%;19.526;3,8%;1.851;15,4%;7.565;25,3%;12.388;15,6%;7.642;;;;;;
Hombres;46,6%;1.521.178;48,3%;23.653;48,1%;9.391;51,4%;952;48,2%;3.648;47,8%;5.916;49,0%;3.746;;;;;;
Mujeres;53,4%;1.744.948;51,7%;25.319;51,9%;10.135;48,6%;899;51,8%;3.917;52,2%;6.472;51,0%;3.896;;;;;;
Edad media de la población;;44,14;;41,79;;45,02;;41,68;;44,21;;37,84;;37,54;;;;;;
De 0 a 14 años;13,3%;435.675;17,2%;8.430;15,6%;3.048;14,8%;274;11,3%;857;20,0%;2.472;23,3%;1.779;;;;;;
De 15 a 29;15,7%;512.070;13,8%;6.743;12,5%;2.447;16,2%;300;15,1%;1.146;14,3%;1.771;14,1%;1.079;;;;;;
De 30 a 44;22,8%;744.312;23,3%;11.407;20,1%;3.931;24,7%;457;26,6%;2.015;27,9%;3.460;20,2%;1.544;;;;;;
De 45 a 64;27,9%;912.424;28,0%;13.692;26,1%;5.095;29,2%;541;28,6%;2.162;27,6%;3.422;32,3%;2.472;;;;;;
De 65 a 79;13,0%;423.670;13,4%;6.541;20,8%;4.067;8,5%;158;12,1%;914;7,1%;875;6,9%;527;;;;;;
De 80 y + ;7,3%;237.975;4,4%;2.159;4,8%;938;6,5%;121;6,2%;471;3,1%;388;3,2%;241;;;;;;
De 65 y +;20,3%;661.645;17,8%;8.700;25,6%;5.005;15,1%;279;18,3%;1.385;10,2%;1.263;10,0%;768;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;15,3%;7.480;14,3%;2.790;12,6%;234;9,5%;720;16,6%;2.052;22,0%;1.684;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;18,3%;;16,7%;;15,8%;;12,0%;;21,0%;;25,1%;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;17,8%;;25,6%;;15,1%;;18,3%;;10,2%;;10,1%;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;24,8%;;18,7%;;43,4%;;34,0%;;30,7%;;31,4%;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;56,48;;73,33;;44,61;;43,55;;45,3;;54,23;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;90,6%;44.365;94,3%;18.422;79,6%;1.474;81,7%;6.177;90,1%;11.158;93,4%;7.134;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;48,7%;21.615;48,4%;8.911;51,7%;762;48,9%;3.019;48,3%;5.393;49,5%;3.530;;;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;51,3%;22.750;51,6%;9.511;48,3%;712;51,1%;3.158;51,7%;5.765;50,5%;3.604;;;;;;
Personas con nacionalidad extranjera;14,1%;460.623;9,4%;4.607;5,7%;1.104;20,4%;377;18,3%;1.388;9,9%;1.230;6,6%;508;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;44,2%;2.038;43,5%;480;50,4%;190;45,3%;629;42,5%;523;42,5%;216;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;55,8%;2.569;56,5%;624;49,6%;187;54,7%;759;57,5%;707;57,5%;292;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;5,2%;;2,6%;;15,1%;;11,5%;;5,8%;;2,5%;;;;;;;
1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito);9,7%;44.738;13,9%;642;10,4%;115;19,4%;73;17,7%;246;14,9%;183;4,9%;25;;;;;;
2ª nacionalidad extranjera en el Distrito: Venezuela (% respecto total extranjeros del distrito);6,1%;28.129;8,4%;388;7,0%;77;8,2%;31;8,2%;114;10,2%;126;7,9%;40;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;1,4%;18.269;39,7%;7.249;3,8%;687;17,1%;3.119;25,4%;4.634;14,1%;2.580;;;;;;
Tamaño medio del hogar;;2,53  ;;2,68;;2,69;;2,69;;2,43;;2,67;;2,96;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;6,4%;1.172;8,3%;600;8,2%;56;8,0%;249;4,0%;185;3,2%;82;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;2,4%;430;3,2%;233;3,2%;22;2,4%;74;1,5%;70;1,2%;31;;;;;;
