11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.404,83;;66,61;;110,73;;189,93;;158,92;;160,86;;561,32;;156,46;;;;;
Densidad (hab./Ha.) ;;54,03;180,12;;336,33;;298,49;;205,11;;289,29;;216,71;;83,83;;196,47;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;7,7%;253.040;8,9%;22.403;13,1%;33.051;15,4%;38.957;18,2%;45.975;13,8%;34.860;18,6%;47.055;12,1%;30.739;;;;
Hombres;46,6%;1.521.178;46,6%;117.802;45,7%;10.230;45,8%;15.125;46,7%;18.196;45,5%;20.896;46,8%;16.318;48,3%;22.737;46,5%;14.300;;;;
Mujeres;53,4%;1.744.948;53,4%;135.238;54,3%;12.173;54,2%;17.926;53,3%;20.761;54,5%;25.079;53,2%;18.542;51,7%;24.318;53,5%;16.439;;;;
Edad media de la población;;44,14;;43,53;;46,76;;44,97;;43,98;;45,48;;43,02;;39,66;;42,62;;;;
De 0 a 14 años;13,3%;435.675;13,9%;35.073;10,5%;2.346;11,4%;3.764;12,5%;4.860;11,8%;5.430;13,9%;4.832;19,3%;9.092;15,4%;4.749;;;;
De 15 a 29;15,7%;512.070;16,1%;40.745;14,8%;3.322;16,6%;5.477;16,9%;6.585;16,1%;7.404;17,6%;6.129;14,6%;6.879;16,1%;4.949;;;;
De 30 a 44;22,8%;744.312;22,9%;57.866;23,3%;5.214;22,9%;7.575;23,0%;8.944;22,2%;10.218;22,3%;7.766;24,4%;11.459;21,8%;6.690;;;;
De 45 a 64;27,9%;912.424;27,9%;70.661;27,5%;6.153;28,3%;9.341;28,4%;11.055;27,1%;12.456;27,8%;9.691;27,9%;13.133;28,7%;8.832;;;;
De 65 a 79;13,0%;423.670;12,0%;30.247;14,7%;3.292;12,6%;4.148;11,9%;4.654;14,4%;6.631;11,0%;3.841;9,1%;4.267;11,1%;3.414;;;;
De 80 y + ;7,3%;237.975;7,3%;18.448;9,3%;2.076;8,3%;2.746;7,3%;2.859;8,3%;3.836;7,5%;2.601;4,7%;2.225;6,8%;2.105;;;;
De 65 y +;20,3%;661.645;19,2%;48.695;24,0%;5.368;20,9%;6.894;19,3%;7.513;22,8%;10.467;18,5%;6.442;13,8%;6.492;18,0%;5.519;;;;
