01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;257,99;;155,95;;437,82;;177,13;;231,98;;334,64;;164,77;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4%;134.881;17,0%;22.923;34%;45.259;8%;10.484;13%;17.153;24%;31.725;5%;7.337;;;;;;;;;
Hombres;46,6%;1.521.178;50,3%;67.829;48,9%;11.213;51,7%;23.390;49,9%;5.235;50,6%;8.675;49,1%;15.567;51,1%;3.749;;;;;;;;;
Mujeres;53,4%;1.744.948;49,7%;67.052;51,1%;11.710;48,3%;21.869;50,1%;5.249;49,4%;8.478;50,9%;16.158;48,9%;3.588;;;;;;;;;
Edad media de la población;;44,14;;44,09;;45,80;;42,88;;45,02;;44,30;;44,04;;44,70;;;;;;;;;
De 0 a 14 años;13,3%;435.675;7,8%;10.554;7,8%;1.781;8,4%;3.784;6,9%;721;8,0%;1.372;7,6%;2.408;6,7%;488;;;;;;;;;
De 15 a 29;15,7%;512.070;16,2%;21.800;14,6%;3.357;16,5%;7.477;15,5%;1.629;16,3%;2.790;16,5%;5.245;17,7%;1.302;;;;;;;;;
De 30 a 44;22,8%;744.312;31,8%;42.857;28,5%;6.537;34,0%;15.408;31,0%;3.253;29,9%;5.122;32,6%;10.328;30,1%;2.209;;;;;;;;;
De 45 a 64;27,9%;912.424;28,2%;38.025;30,2%;6.927;27,0%;12.221;29,6%;3.103;29,8%;5.111;27,0%;8.576;28,4%;2.087;;;;;;;;;
De 65 a 79;13,0%;423.670;10,5%;14.196;12,7%;2.901;9,0%;4.087;11,4%;1.197;10,5%;1.800;10,6%;3.355;11,7%;856;;;;;;;;;
De 80 y + ;7,3%;237.975;5,5%;7.449;6,2%;1.420;5,0%;2.282;5,5%;581;5,6%;958;5,7%;1.813;5,4%;395;;;;;;;;;
De 65 y +;20,3%;661.645;16,0%;21.645;18,9%;4.321;14,1%;6.369;17,0%;1.778;16,1%;2.758;16,3%;5.168;17,1%;1.251;;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;6,4%;8.659;6,6%;1.505;6,8%;3.097;5,3%;557;6,6%;1.135;6,2%;1.958;5,5%;407;;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;8,3%;;8,3%;;8,8%;;7,3%;;8,5%;;8,0%;;7,0%;;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;16,5%;;18,9%;;14,7%;;16,9%;;16,1%;;16,3%;;17,1%;;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;34,4%;;33,9%;;35,8%;;32,9%;;34,7%;;35,1%;;31,6%;;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;32,2%;;37,3%;;29,7%;;32,0%;;32,5%;;32,1%;;31,6%;;;;;;;;;;
