05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;917,55;;170,92;;104,01;;76,23;;171,25;;179,01;;216,13;;;;
Densidad (hab./Ha.) ;;54,03;158,97;;101,23;;352,39;;244,55;;185,30;;137,74;;78,10;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,5%;145.865;11,9%;17.302;25,1%;36.651;12,8%;18.642;21,8%;31.733;16,9%;24.657;11,6%;16.880;;;
Hombres;46,6%;1.521.178;44,9%;65.565;45,0%;7.783;44,7%;16.374;44,2%;8.233;44,8%;14.218;45,3%;11.166;46,2%;7.791;;;
Mujeres;53,4%;1.744.948;55,1%;80.300;55,0%;9.519;55,3%;20.277;55,8%;10.409;55,2%;17.515;54,7%;13.491;53,8%;9.089;;;
Edad media de la población;;44,14;;45,48;;44,45;;46,78;;46,00;;45,99;;43,38;;45,21;;;
De 0 a 14 años;13,3%;435.675;13,0%;18.986;13,3%;2.308;10,6%;3.893;11,7%;2.178;14,1%;4.474;16,2%;3.996;12,7%;2.137;;;
De 15 a 29;15,7%;512.070;14,8%;21.628;17,1%;2.953;14,4%;5.265;14,1%;2.631;13,6%;4.327;14,7%;3.618;16,8%;2.834;;;
De 30 a 44;22,8%;744.312;21,9%;31.956;20,5%;3.539;23,3%;8.557;23,8%;4.442;20,7%;6.560;21,8%;5.369;20,7%;3.489;;;
De 45 a 64;27,9%;912.424;27,0%;39.339;27,5%;4.757;26,7%;9.795;27,3%;5.082;27,0%;8.575;26,5%;6.524;27,3%;4.606;;;
