07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;467,92;;50,65;;57,82;;61,19;;93,79;;97,54;;106,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;298,02;;451,96;;422,93;;403,61;;211,18;;280,72;;189,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,3%;139.448;16,4%;22.891;17,5%;24.455;17,7%;24.696;14,2%;19.807;19,6%;27.382;14,5%;20.217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,6%;1.521.178;44,0%;61.308;44,0%;10.062;44,5%;10.888;44,4%;10.958;44,1%;8.726;43,8%;11.982;43,0%;8.692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,4%;1.744.948;56,0%;78.140;56,0%;12.829;55,5%;13.567;55,6%;13.738;55,9%;11.081;56,2%;15.400;57,0%;11.525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,14;;46,43;;47,22;;46,18;;45,46;;46,28;;45,91;;47,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;13,3%;435.675;10,2%;14.262;9,0%;2.056;10,1%;2.466;9,8%;2.409;11,0%;2.179;10,9%;2.985;10,7%;2.167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;15,7%;512.070;16,3%;22.708;17,8%;4.079;16,8%;4.118;15,6%;3.851;16,2%;3.208;15,8%;4.315;15,5%;3.137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;22,8%;744.312;23,3%;32.510;22,0%;5.025;24,1%;5.896;27,0%;6.667;21,8%;4.319;24,2%;6.616;19,7%;3.987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;27,9%;912.424;26,0%;36.244;25,7%;5.872;24,9%;6.083;26,4%;6.527;27,1%;5.369;25,9%;7.080;26,3%;5.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,0%;423.670;15,3%;21.375;16,1%;3.684;15,4%;3.769;13,7%;3.394;15,1%;2.998;14,7%;4.017;17,4%;3.513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,3%;237.975;8,9%;12.349;9,5%;2.175;8,7%;2.123;7,5%;1.848;8,8%;1.734;8,7%;2.369;10,4%;2.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;661.645;24,2%;33.724;25,6%;5.859;24,1%;5.892;21,2%;5.242;23,9%;4.732;23,3%;6.386;27,8%;5.613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;8,6%;11.958;7,5%;1.718;8,4%;2.057;8,2%;2.017;9,3%;1.838;8,9%;2.427;9,4%;1.901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;10,9%;;9,5%;;10,7%;;10,4%;;11,7%;;11,5%;;11,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;24,2%;;25,6%;;24,1%;;21,2%;;23,9%;;23,3%;;27,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;36,6%;;37,1%;;36,0%;;35,3%;;36,6%;;37,1%;;37,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;32,2%;;37,3%;;29,7%;;32,0%;;32,5%;;32,1%;;31,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;88,7%;123.626;88,7%;20.308;88,8%;21.709;86,7%;21.412;86,5%;17.129;88,9%;24.346;92,6%;18.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;44,1%;54.532;44,2%;8.974;44,5%;9.650;44,4%;9.505;44,4%;7.603;43,8%;10.662;43,5%;8.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
