15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;189,28;;150,40;;267,81;;340,50;;235,42;;172,22;;123,53;;114,11;;63,00;;154,21;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;6,6%;216.270;22,2%;48.099;28,7%;62.111;11,4%;24.622;9,6%;20.856;8,4%;18.130;5,8%;12.487;3,0%;6.387;0,7%;1.568;10,2%;22.010;;;;;;;;;;;;
Hombres;46,6%;1.521.178;45,5%;98.370;44,9%;21.619;46,4%;28.830;44,2%;10.882;44,3%;9.245;45,0%;8.154;46,5%;5.810;44,8%;2.864;41,7%;654;46,9%;10.312;;;;;;;;;;;;
Mujeres;53,4%;1.744.948;54,5%;117.900;55,1%;26.480;53,6%;33.281;55,8%;13.740;55,7%;11.611;55,0%;9.976;53,5%;6.677;55,2%;3.523;58,3%;914;53,1%;11.698;;;;;;;;;;;;
Edad media de la población;;44,14;;45,87;;46,71;;45,37;;46,16;;46,93;;47,42;;44,29;;44,73;;44,20;;44,15;;;;;;;;;;;;
De 0 a 14 años;13,3%;435.675;11,9%;25.685;10,7%;5.155;11,6%;7.217;10,7%;2.639;11,5%;2.408;11,8%;2.143;14,3%;1.785;14,4%;922;15,9%;249;14,4%;3.167;;;;;;;;;;;;
De 15 a 29;15,7%;512.070;15,7%;33.930;15,5%;7.457;16,0%;9.942;15,9%;3.915;14,3%;2.989;13,9%;2.528;16,2%;2.020;14,3%;913;15,9%;250;17,8%;3.916;;;;;;;;;;;;
De 30 a 44;22,8%;744.312;21,1%;45.580;21,7%;10.435;22,1%;13.722;23,1%;5.686;21,6%;4.510;19,4%;3.521;19,1%;2.380;21,2%;1.357;16,7%;262;16,8%;3.707;;;;;;;;;;;;
De 45 a 64;27,9%;912.424;28,5%;61.694;28,4%;13.664;28,5%;17.704;28,1%;6.919;28,7%;5.984;28,7%;5.196;28,9%;3.613;27,5%;1.756;28,6%;448;29,1%;6.410;;;;;;;;;;;;
De 65 a 79;13,0%;423.670;14,0%;30.281;13,3%;6.404;13,5%;8.408;12,2%;3.002;13,4%;2.791;17,4%;3.157;14,3%;1.789;15,6%;999;16,3%;256;15,8%;3.475;;;;;;;;;;;;
De 80 y + ;7,3%;237.975;8,8%;19.100;10,4%;4.984;8,2%;5.118;10,0%;2.461;10,4%;2.174;8,7%;1.585;7,2%;900;6,9%;440;6,6%;103;6,1%;1.335;;;;;;;;;;;;
De 65 y +;20,3%;661.645;22,8%;49.381;23,7%;11.388;21,8%;13.526;22,2%;5.463;23,8%;4.965;26,2%;4.742;21,5%;2.689;22,5%;1.439;22,9%;359;21,9%;4.810;;;;;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;10,5%;22.762;9,3%;4.493;10,3%;6.402;9,3%;2.297;10,0%;2.081;10,4%;1.893;13,0%;1.619;12,8%;820;13,2%;207;13,4%;2.950;;;;;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;12,8%;;11,5%;;12,5%;;11,5%;;12,3%;;12,6%;;15,6%;;15,6%;;16,7%;;15,7%;;;;;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;22,8%;;23,7%;;21,8%;;22,2%;;23,8%;;26,2%;;21,5%;;22,5%;;22,9%;;21,9%;;;;;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;38,7%;;43,8%;;37,8%;;45,1%;;43,8%;;33,4%;;33,5%;;30,6%;;28,7%;;27,8%;;;;;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;55,26;;54,24;;52,11;;50,71;;56,46;;63,26;;59,01;;61,53;;65,58;;60,04;;;;;;;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;85,8%;185.595;83,5%;40.175;82,7%;51.383;81,6%;20.087;86,2%;17.977;91,9%;16.663;90,4%;11.294;89,9%;5.741;89,8%;1.408;94,8%;20.867;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;45,5%;84.437;44,8%;18.009;46,3%;23.803;44,1%;8.858;44,4%;7.977;45,0%;7.501;46,5%;5.256;44,7%;2.569;42,3%;596;47,3%;9.868;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;54,5%;101.158;55,2%;22.166;53,7%;27.580;55,9%;11.229;55,6%;10.000;55,0%;9.162;53,5%;6.038;55,3%;3.172;57,7%;812;52,7%;10.999;;;;;;;;;;;;
Personas con nacionalidad extranjera;14,1%;460.623;14,2%;30.671;16,5%;7.924;17,3%;10.726;18,4%;4.535;13,8%;2.878;8,1%;1.467;9,5%;1.192;10,1%;646;10,2%;160;5,2%;1.143;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;45,4%;13.931;45,6%;3.610;46,9%;5.026;44,6%;2.024;44,1%;1.268;44,5%;653;46,4%;553;45,7%;295;36,3%;58;38,8%;444;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;54,6%;16.740;54,4%;4.314;53,1%;5.700;55,4%;2.511;55,9%;1.610;55,5%;814;53,6%;639;54,3%;351;63,8%;102;61,2%;699;;;;;;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;10,3%;;12,4%;;13,4%;;14,1%;;9,2%;;5,1%;;5,2%;;5,3%;;5,4%;;2,8%;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito);9,7%;44.738;9,3%;2845;11,2%;890;9,2%;982;6,9%;312;12,2%;352;12,0%;176;3,6%;43;5,9%;38;1,9%;3;4,3%;49;;;;;;;;;;;;
