08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;23.783,84;;18.758,3;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;10,34;;0,18;;23,61;;154,15;;340,51;;156,70;;70,37;;47,05;;6,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;7,5%;246.021;1,4%;3.454;1,3%;3.265;18,1%;44.508;18,9%;46.419;13,7%;33.765;25,7%;63.201;13,4%;32.898;7,2%;18.511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,6%;1.521.178;47,1%;115.797;49,3%;1.704;45,4%;1.481;46,6%;20.743;45,7%;21.206;46,8%;15.800;47,5%;30.031;47,7%;15.704;49,3%;9.128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,4%;1.744.948;52,9%;130.224;50,7%;1.750;54,6%;1.784;53,4%;23.765;54,3%;25.213;53,2%;17.965;52,5%;33.170;52,3%;17.194;50,7%;9.383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,14;;42,94;;47,64;;45,30;;46,50;;48,44;;48,99;;37,65;;39,12;;33,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;13,3%;435.675;17,1%;41.951;11,0%;380;15,8%;515;12,4%;5.512;10,2%;4.757;10,6%;3.563;23,0%;14.552;20,4%;6.725;32,1%;5.947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;15,7%;512.070;13,6%;33.442;14,1%;486;16,2%;529;14,6%;6.511;12,9%;5.976;12,8%;4.320;12,8%;8.100;17,5%;5.765;9,5%;1.755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;22,8%;744.312;22,8%;56.190;22,0%;760;15,8%;515;19,8%;8.791;22,9%;10.623;19,9%;6.722;27,1%;17.108;19,1%;6.274;29,2%;5.397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;27,9%;912.424;25,7%;63.266;27,2%;940;25,8%;844;27,6%;12.275;24,7%;11.477;24,9%;8.406;25,3%;16.008;28,5%;9.368;21,3%;3.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,0%;423.670;14,6%;35.876;13,6%;469;17,9%;583;18,6%;8.298;19,5%;9.053;25,3%;8.537;7,2%;4.523;11,2%;3.681;4,0%;732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,3%;237.975;6,2%;15.296;12,1%;419;8,5%;279;7,0%;3.121;9,8%;4.533;6,6%;2.217;4,6%;2.910;3,3%;1.085;4,0%;732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;661.645;20,8%;51.172;25,7%;888;26,4%;862;25,7%;11.419;29,3%;13.586;31,8%;10.754;11,8%;7.433;14,5%;4.766;7,9%;1.464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;14,7%;36.121;9,4%;324;14,6%;476;10,9%;4.850;8,7%;4.023;8,9%;2.992;19,8%;12.544;17,7%;5.834;27,4%;5.078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;18,0%;;11,8%;;17,0%;;13,2%;;10,9%;;11,1%;;24,1%;;21,8%;;33,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;20,8%;;25,7%;;26,4%;;25,7%;;29,3%;;31,9%;;11,8%;;14,5%;;7,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;29,9%;;47,2%;;32,4%;;27,3%;;33,4%;;20,6%;;39,2%;;22,8%;;50,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;63,31;;59,98;;76,68;;63,54;;67,14;;75,43;;55,88;;56,84;;70,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
