16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1675,8;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;68,66;;60,10;;47,49;;160,86;;197,73;;127,94;;34,54;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;5,8%;188.267;3,6%;6.790;7,9%;14.911;21,6%;40.578;28,0%;52.691;8,2%;15.418;30,7%;57.879;;;;;;;;
Hombres;46,6%;1.521.178;47,4%;89.307;48,9%;3.318;48,0%;7.155;46,6%;18.919;46,1%;24.277;47,3%;7.290;49,0%;28.348;;;;;;;;
Mujeres;53,4%;1.744.948;52,6%;98.960;51,1%;3.472;52,0%;7.756;53,4%;21.659;53,9%;28.414;52,7%;8.128;51,0%;29.531;;;;;;;;
Edad media de la población;;44,14;;42,35;;39,96;;40,60;;47,41;;47,09;;45,44;;34,39;;;;;;;;
De 0 a 14 años;13,3%;435.675;16,7%;31.503;19,2%;1.305;16,9%;2.516;11,3%;4.600;11,7%;6.171;11,6%;1.794;26,1%;15.117;;;;;;;;
De 15 a 29;15,7%;512.070;14,4%;27.029;18,0%;1.219;19,1%;2.850;14,1%;5.717;14,2%;7.501;17,1%;2.630;12,3%;7.112;;;;;;;;
De 30 a 44;22,8%;744.312;22,7%;42.818;16,6%;1.125;16,9%;2.520;20,1%;8.141;20,5%;10.781;18,6%;2.868;30,0%;17.383;;;;;;;;
De 45 a 64;27,9%;912.424;27,6%;51.881;31,5%;2.141;33,3%;4.959;28,2%;11.459;27,3%;14.363;31,9%;4.923;24,3%;14.036;;;;;;;;
De 65 a 79;13,0%;423.670;12,9%;24.223;11,9%;808;10,5%;1.564;18,3%;7.408;17,3%;9.135;13,2%;2.031;5,7%;3.277;;;;;;;;
De 80 y + ;7,3%;237.975;5,7%;10.813;2,8%;192;3,4%;502;8,0%;3.253;9,0%;4.740;7,6%;1.172;1,6%;954;;;;;;;;
De 65 y +;20,3%;661.645;18,6%;35.036;14,7%;1.000;13,9%;2.066;26,3%;10.661;26,3%;13.875;20,8%;3.203;7,3%;4.231;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;14,6%;27.406;18,2%;1.233;15,7%;2.340;10,1%;4.113;10,3%;5.445;10,7%;1.650;21,8%;12.625;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;17,8%;;20,8%;;18,4%;;12,2%;;12,5%;;12,7%;;27,3%;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;18,6%;;14,7%;;13,9%;;26,3%;;26,3%;;20,8%;;7,3%;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;30,9%;;19,2%;;24,3%;;30,5%;;34,2%;;36,6%;;22,6%;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;57,22;;55,2;;47,6;;62,63;;63,51;;50,3;;52,96;;;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;89,9%;169.173;90,1%;6.117;85,3%;12.724;91,0%;36.912;89,3%;47.047;90,9%;14.015;90,5%;52.358;;;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;47,8%;80.864;49,3%;3.016;48,2%;6.129;46,9%;17.315;46,3%;21.797;47,7%;6.682;49,5%;25.925;;;;;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;52,2%;88.309;50,7%;3.101;51,8%;6.595;53,1%;19.597;53,7%;25.250;52,3%;7.333;50,5%;26.433;;;;;;;;
Personas con nacionalidad extranjera;14,1%;460.623;10,1%;19.093;9,9%;673;14,7%;2.187;9,0%;3.666;10,7%;5.643;9,1%;1.403;9,5%;5.521;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;44,2%;8.442;44,9%;302;46,9%;1.026;43,8%;1.604;43,9%;2.479;43,3%;608;43,9%;2.423;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;55,8%;10.651;55,1%;371;53,1%;1.161;56,2%;2.062;56,1%;3.164;56,7%;795;56,1%;3.098;;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;5,8%;;3,5%;;4,5%;;5,2%;;7,3%;;6,1%;;5,3%;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Francia (% respecto total extranjeros del distrito);2,2%;10.108;10,0%;1.903;30,6%;206;41,3%;904;11,4%;417;1,8%;102;2,7%;38;4,3%;236;;;;;;;;
2ª nacionalidad extranjera en el Distrito: Venezuela (% respecto total extranjeros del distrito);6,1%;28.129;9,0%;1.714;3,3%;22;3,4%;74;7,1%;259;8,8%;496;7,1%;99;13,8%;764;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;5,4%;70.099;3,1%;2.193;7,0%;4.879;22,8%;16.012;30,3%;21.273;8,3%;5.797;28,5%;19.945;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,69;;3,10;;3,06;;2,53;;2,48;;2,66;;2,90;;;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;7,7%;5.399;3,9%;86;4,2%;204;10,2%;1.634;11,5%;2.448;10,5%;607;2,1%;420;;;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;2,3%;1.615;2,1%;45;1,8%;87;2,7%;436;3,2%;673;2,9%;169;1,0%;205;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,9%;2.009;3,2%;71;3,0%;147;1,8%;295;2,2%;467;1,9%;111;4,6%;918;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,7%;505;0,9%;20;0,5%;25;0,3%;55;0,4%;75;0,4%;23;1,5%;307;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;10,1;;6,1;;8,4;;6,9;;7,2;;6,4;;17,1;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;2,3;;0,8;;1,3;;-0,1;;0,8;;1,0;;6,4;;;;;;;;
