10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.542,72;;129,2;;137,53;;167,9;;284,98;;919,14;;543,01;;360,96;;;;;
Densidad (hab./Ha.) ;;54,03;93,66;;134,65;;303,43;;214,95;;232,83;;20,98;;10,59;;142,83;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;7,3%;238.154;7,3%;17.397;17,5%;41.730;15,2%;36.090;27,9%;66.351;8,1%;19.281;2,4%;5.748;21,6%;51.557;;;;
Hombres;46,6%;1.521.178;46,4%;110.401;47,0%;8.183;46,0%;19.189;46,5%;16.771;45,9%;30.451;46,6%;8.981;50,6%;2.909;46,4%;23.917;;;;
Mujeres;53,4%;1.744.948;53,6%;127.753;53,0%;9.214;54,0%;22.541;53,5%;19.319;54,1%;35.900;53,4%;10.300;49,4%;2.839;53,6%;27.640;;;;
Edad media de la población;;44,14;;46,55;;43,39;;45,29;;45,74;;48,56;;45,88;;35,60;;48,11;;;;
De 0 a 14 años;13,3%;435.675;11,6%;27.693;13,4%;2.333;11,0%;4.580;11,7%;4.234;10,6%;7.032;12,4%;2.384;22,6%;1.297;11,3%;5.833;;;;
De 15 a 29;15,7%;512.070;15,0%;35.815;17,7%;3.072;16,3%;6.815;16,7%;6.023;13,9%;9.214;14,8%;2.849;12,9%;743;13,8%;7.099;;;;
De 30 a 44;22,8%;744.312;20,9%;49.876;19,9%;3.460;23,7%;9.906;20,4%;7.349;20,2%;13.379;22,0%;4.249;30,8%;1.768;18,9%;9.765;;;;
De 45 a 64;27,9%;912.424;27,6%;65.741;31,9%;5.545;28,2%;11.769;28,7%;10.347;25,4%;16.878;26,9%;5.182;27,6%;1.586;28,0%;14.434;;;;
De 65 a 79;13,0%;423.670;15,8%;37.628;10,2%;1.780;11,9%;4.960;13,0%;4.701;20,3%;13.465;15,0%;2.897;5,0%;289;18,5%;9.536;;;;
De 80 y + ;7,3%;237.975;9,0%;21.401;6,9%;1.207;8,9%;3.700;9,5%;3.436;9,6%;6.383;8,9%;1.720;1,1%;65;9,5%;4.890;;;;
De 65 y +;20,3%;661.645;24,8%;59.029;17,2%;2.987;20,8%;8.660;22,5%;8.137;29,9%;19.848;23,9%;4.617;6,2%;354;28,0%;14.426;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;10,2%;24.359;12,0%;2.095;9,5%;3.965;10,4%;3.758;9,4%;6.209;10,6%;2.037;19,2%;1.101;10,1%;5.194;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;12,4%;;14,4%;;11,7%;;12,6%;;11,4%;;13,1%;;23,5%;;12,1%;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;24,8%;;17,2%;;20,8%;;22,6%;;29,9%;;24,0%;;6,2%;;28,0%;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;36,3%;;40,4%;;42,7%;;42,2%;;32,2%;;37,3%;;18,4%;;33,9%;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;59,3;;46,17;;48,05;;54,13;;70,39;;58,87;;42,17;;66,98;;;;;
Personas con nacionalidad española;85,9%;2.805.478;84,4%;200.981;85,8%;14.922;80,7%;33.691;83,0%;29.961;84,0%;55.711;81,4%;15.687;93,8%;5.393;88,5%;45.616;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;46,5%;93.405;47,0%;7.010;45,9%;15.474;46,7%;13.991;45,9%;25.578;46,9%;7.359;50,7%;2.734;46,6%;21.259;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;53,5%;107.576;53,0%;7.912;54,1%;18.217;53,3%;15.970;54,1%;30.133;53,1%;8.328;49,3%;2.659;53,4%;24.357;;;;
Personas con nacionalidad extranjera;14,1%;460.623;15,6%;37.169;14,2%;2.475;19,3%;8.039;17,0%;6.129;16,0%;10.637;18,6%;3.593;6,2%;355;11,5%;5.941;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;45,7%;16.992;47,4%;1.173;46,2%;3.715;45,4%;2.780;45,8%;4.870;45,1%;1.621;49,3%;175;44,7%;2.658;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;54,3%;20.177;52,6%;1.302;53,8%;4.324;54,6%;3.349;54,2%;5.767;54,9%;1.972;50,7%;180;55,3%;3.283;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;11,5%;;10,8%;;14,9%;;13,3%;;11,4%;;13,5%;;4,1%;;8,0%;;;;;
