09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.653,11;;1.746,06;;75,75;;1.425,09;;139,75;;330,25;;352,82;;583,4;;;
Densidad (hab./Ha.) ;;54,03;25,67;;7,44;;318,05;;11,41;;212,69;;20,37;;7,96;;45,98;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;3,7%;119.423;10,9%;12.991;20,2%;24.093;13,6%;16.260;24,9%;29.722;5,6%;6.726;2,4%;2.808;22,5%;26.823;;
Hombres;46,6%;1.521.178;46,0%;54.934;45,9%;5.963;45,3%;10.907;45,5%;7.398;45,9%;13.637;46,2%;3.109;46,3%;1.301;47,0%;12.619;;
Mujeres;53,4%;1.744.948;54,0%;64.489;54,1%;7.028;54,7%;13.186;54,5%;8.862;54,1%;16.085;53,8%;3.617;53,7%;1.507;53,0%;14.204;;
Edad media de la población;;44,14;;44,63;;48,30;;47,36;;46,19;;46,42;;36,34;;42,17;;39,83;;
De 0 a 14 años;13,3%;435.675;13,5%;16.148;9,4%;1.216;9,4%;2.257;11,8%;1.913;11,7%;3.480;25,8%;1.738;18,2%;510;18,8%;5.034;;
De 15 a 29;15,7%;512.070;16,6%;19.871;14,5%;1.882;16,5%;3.982;17,9%;2.909;15,2%;4.523;15,9%;1.069;16,7%;468;18,8%;5.038;;
De 30 a 44;22,8%;744.312;19,9%;23.762;20,5%;2.661;21,7%;5.230;18,8%;3.053;21,3%;6.334;18,9%;1.274;16,5%;464;17,7%;4.746;;
De 45 a 64;27,9%;912.424;28,0%;33.485;30,7%;3.983;27,4%;6.593;25,9%;4.217;26,8%;7.978;28,2%;1.899;29,3%;824;29,8%;7.991;;
De 65 a 79;13,0%;423.670;14,3%;17.033;14,0%;1.820;15,5%;3.733;17,2%;2.795;16,3%;4.831;7,5%;505;14,4%;405;11,0%;2.944;;
De 80 y + ;7,3%;237.975;7,6%;9.124;11,0%;1.429;9,5%;2.298;8,4%;1.373;8,7%;2.576;3,6%;241;4,9%;137;4,0%;1.070;;
De 65 y +;20,3%;661.645;21,9%;26.157;25,0%;3.249;25,0%;6.031;25,6%;4.168;24,9%;7.407;11,1%;746;19,3%;542;15,0%;4.014;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;12,0%;14.384;8,0%;1.042;7,9%;1.898;10,6%;1.719;10,1%;3.000;24,0%;1.614;16,5%;463;17,3%;4.648;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;14,5%;;10,1%;;9,9%;;12,7%;;12,5%;;27,6%;;19,8%;;20,2%;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;21,9%;;25,0%;;25,0%;;25,6%;;24,9%;;11,1%;;19,3%;;15,0%;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;34,9%;;44,0%;;38,1%;;32,9%;;34,8%;;32,3%;;25,3%;;26,7%;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;57,28;;54,18;;53,79;;62,15;;59,86;;63,09;;64,21;;54,32;;;
Personas con nacionalidad española;85,9%;2.805.478;89,5%;106.886;91,4%;11.878;87,6%;21.100;90,3%;14.684;88,8%;26.393;90,7%;6.099;90,7%;2.547;90,2%;24.185;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;46,5%;49.700;45,8%;5.444;45,5%;9.592;46,2%;6.789;46,0%;12.151;47,9%;2.924;47,2%;1.201;48,0%;11.599;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;53,5%;57.186;54,2%;6.434;54,5%;11.508;53,8%;7.895;54,0%;14.242;52,1%;3.175;52,8%;1.346;52,0%;12.586;;
Personas con nacionalidad extranjera;14,1%;460.623;10,5%;12.535;8,6%;1.113;12,4%;2.993;9,7%;1.575;11,2%;3.329;9,3%;627;9,3%;261;9,8%;2.637;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;41,8%;5.234;46,6%;519;43,9%;1.315;38,7%;609;44,6%;1.486;29,5%;185;38,3%;100;38,7%;1.020;;
