14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;155,02;;90,50;;84,91;;152,29;;178,89;;177,68;;283,98;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;2,9%;94.609;9,7%;9.137;6,7%;6.334;28,8%;27.260;18,9%;17.871;18,1%;17.139;17,8%;16.868;;;;;;;;
Hombres;46,6%;1.521.178;45,7%;43.209;45,8%;4.185;47,8%;3.030;46,4%;12.646;45,7%;8.166;45,4%;7.779;43,9%;7.403;;;;;;;;
Mujeres;53,4%;1.744.948;54,3%;51.400;54,2%;4.952;52,2%;3.304;53,6%;14.614;54,3%;9.705;54,6%;9.360;56,1%;9.465;;;;;;;;
Edad media de la población;;44,14;;47,61;;46,62;;39,35;;48,66;;48,09;;47,30;;49,36;;;;;;;;
De 0 a 14 años;13,3%;435.675;11,0%;10.382;11,3%;1.034;16,2%;1.023;9,4%;2.559;10,7%;1.917;11,8%;2.021;10,8%;1.828;;;;;;;;
De 15 a 29;15,7%;512.070;15,8%;14.954;17,0%;1.553;21,6%;1.371;17,0%;4.638;15,1%;2.707;14,8%;2.533;12,8%;2.152;;;;;;;;
De 30 a 44;22,8%;744.312;17,5%;16.561;17,2%;1.571;13,6%;861;15,0%;4.099;18,3%;3.274;20,1%;3.453;19,6%;3.303;;;;;;;;
De 45 a 64;27,9%;912.424;29,7%;28.065;29,6%;2.707;40,1%;2.541;31,3%;8.527;28,3%;5.056;27,4%;4.698;26,9%;4.536;;;;;;;;
De 65 a 79;13,0%;423.670;15,8%;14.910;16,1%;1.467;6,0%;383;17,5%;4.763;17,7%;3.162;13,9%;2.376;16,4%;2.759;;;;;;;;
De 80 y + ;7,3%;237.975;10,3%;9.737;8,8%;805;2,4%;155;9,8%;2.674;9,8%;1.755;12,0%;2.058;13,6%;2.290;;;;;;;;
De 65 y +;20,3%;661.645;26,1%;24.647;24,9%;2.272;8,5%;538;27,3%;7.437;27,5%;4.917;25,9%;4.434;29,9%;5.049;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;10,0%;9.457;10,5%;958;16,1%;1.020;8,8%;2.391;9,2%;1.643;10,7%;1.838;9,5%;1.607;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;11,9%;;12,3%;;18,1%;;10,3%;;11,4%;;12,8%;;11,4%;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;26,1%;;24,9%;;8,5%;;27,3%;;27,5%;;25,9%;;29,9%;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;39,5%;;35,4%;;28,8%;;36,0%;;35,7%;;46,4%;;45,4%;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;
