13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;156,84;;58,10;;389,43;;233,00;;137,02;;227,66;;255,79;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;7,2%;234.770;14,8%;34.698;17,7%;41.664;17,1%;40.166;18,1%;42.594;12,1%;28.350;20,1%;47.298;;;;;;;;
Hombres;46,6%;1.521.178;47,4%;111.183;48,1%;16.677;47,6%;19.833;47,0%;18.886;47,5%;20.253;46,7%;13.234;47,1%;22.300;;;;;;;;
Mujeres;53,4%;1.744.948;52,6%;123.587;51,9%;18.021;52,4%;21.831;53,0%;21.280;52,5%;22.341;53,3%;15.116;52,9%;24.998;;;;;;;;
Edad media de la población;;44,14;;43,30;;43,79;;40,94;;43,35;;43,71;;44,94;;43,62;;;;;;;;
De 0 a 14 años;13,3%;435.675;13,0%;30.541;;4.726;14,0%;5.821;12,2%;4.892;13,1%;5.589;12,9%;3.660;12,4%;5.853;;;;;;;;
De 15 a 29;15,7%;512.070;17,7%;41.456;;6.041;18,8%;7.827;19,1%;7.683;17,1%;7.284;15,8%;4.482;17,2%;8.139;;;;;;;;
De 30 a 44;22,8%;744.312;22,1%;51.881;20,6%;7.165;25,6%;10.671;18,9%;7.581;21,3%;9.075;22,2%;6.294;23,5%;11.095;;;;;;;;
De 45 a 64;27,9%;912.424;29,4%;68.953;28,9%;10.032;27,4%;11.420;33,5%;13.456;30,2%;12.853;27,4%;7.772;28,4%;13.420;;;;;;;;
De 65 a 79;13,0%;423.670;10,8%;25.450;11,3%;3.907;8,4%;3.518;10,0%;4.031;11,3%;4.812;13,1%;3.702;11,6%;5.480;;;;;;;;
De 80 y + ;7,3%;237.975;7,0%;16.489;8,1%;2.827;5,8%;2.407;6,3%;2.523;7,0%;2.981;8,6%;2.440;7,0%;3.311;;;;;;;;
De 65 y +;20,3%;661.645;17,9%;41.939;19,4%;6.734;14,2%;5.925;16,3%;6.554;18,3%;7.793;21,7%;6.142;18,6%;8.791;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;11,4%;26.659;12,0%;4.158;11,8%;4.906;11,1%;4.460;11,5%;4.885;11,3%;3.193;10,7%;5.057;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;13,9%;;14,6%;;14,9%;;13,2%;;14,0%;;13,8%;;13,3%;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;17,9%;;19,4%;;14,2%;;16,3%;;18,3%;;21,7%;;18,6%;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;39,3%;;42,0%;;40,6%;;38,5%;;38,3%;;39,7%;;37,7%;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;46,63;;51,58;;41,05;;41,87;;47,75;;54,84;;46,72;;   ;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;82,1%;192.764;84,5%;29.327;71,1%;29.629;86,0%;34.543;88,2%;37.570;85,6%;24.268;79,1%;37.427;;;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;47,2%;90.949;47,9%;14.054;47,1%;13.943;46,9%;16.215;47,6%;17.886;46,5%;11.295;46,9%;17.556;;;;;;;;
