04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;539,24;;87,31;;77,03;;85,26;;160,28;;52,02;;77,34;;;;
Densidad (hab./Ha.) ;;54,03;271,03;;180,20;;384,91;;247,15;;259,60;;402,93;;221,42;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,5%;146.148;10,8%;15.734;20,3%;29.649;14,4%;21.071;28,5%;41.609;14,3%;20.961;11,7%;17.124;;;
Hombres;46,6%;1.521.178;44,1%;64.395;45,0%;7.074;43,3%;12.836;43,6%;9.197;45,2%;18.809;43,1%;9.040;43,4%;7.439;;;
Mujeres;53,4%;1.744.948;55,9%;81.753;55,0%;8.660;56,7%;16.813;56,4%;11.874;54,8%;22.800;56,9%;11.921;56,6%;9.685;;;
Edad media de la población;;44,14;;46,34;;45,96;;46,39;;46,84;;46,76;;46,07;;45,34;;;
De 0 a 14 años;13,3%;435.675;10,7%;15.569;11,1%;1.750;10,2%;3.016;10,5%;2.203;10,8%;4.493;10,6%;2.228;11,0%;1.879;;;
De 15 a 29;15,7%;512.070;16,3%;23.762;16,3%;2.564;16,6%;4.918;14,3%;3.020;15,5%;6.434;17,2%;3.602;18,8%;3.224;;;
De 30 a 44;22,8%;744.312;22,4%;32.789;21,3%;3.345;22,5%;6.669;24,2%;5.093;22,4%;9.302;22,7%;4.766;21,1%;3.614;;;
De 45 a 64;27,9%;912.424;26,8%;39.115;28,3%;4.460;27,0%;7.992;26,7%;5.623;27,0%;11.245;25,5%;5.353;25,9%;4.442;;;
