20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;70,95;;122,64;;166,32;;231,60;;185,50;;34,07;;33,28;;178,91;;60,37;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,8%;158.166;17,7%;27.918;5,8%;9.157;5,4%;8.575;15,3%;24.211;20,0%;31.677;10,6%;16.693;18,1%;28.584;7,2%;11.351;;;;;;;;
Hombres;46,6%;1.521.178;47,3%;74.743;47,1%;13.142;45,7%;4.181;46,3%;3.968;46,8%;11.327;48,0%;15.213;48,8%;8.142;46,9%;13.404;47,3%;5.366;;;;;;;;
Mujeres;53,4%;1.744.948;52,7%;83.423;52,9%;14.776;54,3%;4.976;53,7%;4.607;53,2%;12.884;52,0%;16.464;51,2%;8.551;53,1%;15.180;52,7%;5.985;;;;;;;;
Edad media de la población;;44,14;;43,22;;42,60;;47,32;;43,94;;43,46;;41,36;;38,65;;45,84;;45,74;;;;;;;;
De 0 a 14 años;13,3%;435.675;14,4%;22.724;14,6%;4.088;11,5%;1.051;14,3%;1.230;14,2%;3.448;15,8%;5.001;19,4%;3.235;12,1%;3.456;10,7%;1.215;;;;;;;;
De 15 a 29;15,7%;512.070;16,3%;25.859;15,7%;4.392;15,8%;1.443;16,8%;1.439;16,6%;4.028;18,1%;5.720;14,0%;2.332;15,1%;4.306;19,4%;2.199;;;;;;;;
De 30 a 44;22,8%;744.312;20,5%;32.396;23,6%;6.601;20,0%;1.835;20,8%;1.782;19,7%;4.773;15,2%;4.808;28,9%;4.821;21,3%;6.076;15,0%;1.700;;;;;;;;
De 45 a 64;27,9%;912.424;31,2%;49.400;30,1%;8.392;29,0%;2.660;28,7%;2.463;31,4%;7.593;37,5%;11.873;26,5%;4.430;28,4%;8.104;34,2%;3.885;;;;;;;;
De 65 a 79;13,0%;423.670;10,5%;16.581;8,6%;2.409;9,3%;849;9,1%;778;9,9%;2.396;9,7%;3.084;6,6%;1.102;15,4%;4.403;13,7%;1.560;;;;;;;;
De 80 y + ;7,3%;237.975;7,1%;11.206;7,3%;2.036;14,4%;1.319;10,3%;883;8,1%;1.973;3,8%;1.191;4,6%;773;7,8%;2.239;7,0%;792;;;;;;;;
De 65 y +;20,3%;661.645;17,6%;27.787;15,9%;4.445;23,7%;2.168;19,4%;1.661;18,0%;4.369;13,5%;4.275;11,2%;1.875;23,2%;6.642;20,7%;2.352;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;13,2%;20.802;13,1%;3.660;10,1%;921;12,3%;1.058;13,3%;3.218;15,8%;4.996;16,7%;2.788;10,6%;3.030;10,0%;1.131;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;15,5%;;15,6%;;12,3%;;15,2%;;15,6%;;17,7%;;20,3%;;12,9%;;11,8%;;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;17,6%;;15,9%;;23,7%;;19,4%;;18,1%;;13,5%;;11,2%;;23,2%;;20,7%;;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;40,3%;;45,8%;;60,8%;;53,2%;;45,2%;;27,9%;;41,2%;;33,7%;;33,7%;;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;49,48;;46,08;;56,26;;52,77;;50,69;;45,25;;46,05;;56,54;;48,19;;;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;87,7%;138.733;83,1%;23.213;87,5%;8.010;83,9%;7.197;90,3%;21.855;94,5%;29.947;82,7%;13.797;84,9%;24.262;92,1%;10.452;;;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;47,4%;65.788;46,8%;10.853;45,9%;3.680;46,5%;3.348;46,8%;10.237;48,3%;14.478;49,3%;6.798;47,1%;11.425;47,5%;4.969;;;;;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;52,6%;72.945;53,2%;12.360;54,1%;4.330;53,5%;3.849;53,2%;11.618;51,7%;15.469;50,7%;6.999;52,9%;12.837;52,5%;5.483;;;;;;;;
Personas con nacionalidad extranjera;14,1%;460.623;12,3%;19.432;16,9%;4.705;12,5%;1.147;16,1%;1.378;9,7%;2.356;5,5%;1.729;17,3%;2.896;15,1%;4.322;7,9%;899;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;46,1%;8.954;48,7%;2.289;43,7%;501;45,0%;620;46,3%;1.090;42,5%;734;46,4%;1.344;45,8%;1.979;44,2%;397;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;53,9%;10.478;51,3%;2.416;56,3%;646;55,0%;758;53,7%;1.266;57,5%;995;53,6%;1.552;54,2%;2.343;55,8%;502;;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;8,1%;;11,7%;;9,4%;;12,5%;;6,8%;;3,0%;;10,6%;;9,5%;;4,2%;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito);9,7%;44.738;15,1%;2927;11,5%;543;13,3%;152;12,2%;168;16,6%;392;21,8%;377;9,9%;287;21,5%;930;8,7%;78;;;;;;;;
2ª nacionalidad extranjera en el Distrito: Venezuela (% respecto total extranjeros del distrito);6,1%;28.129;9,2%;1.797;7,8%;369;8,0%;92;9,9%;137;6,7%;159;9,2%;159;17,6%;511;7,0%;303;7,5%;67;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;4,6%;59.896;18,2%;10.877;6,2%;3.694;5,6%;3.361;15,0%;8.976;18,5%;11.061;11,2%;6.689;18,3%;10.944;7,2%;4.294;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,64;;2,57;;2,48;;2,55;;2,70;;2,86;;2,50;;2,61;;2,64;;;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;8,8%;5.266;10,0%;1.090;15,0%;553;11,8%;398;9,8%;878;4,7%;522;5,4%;361;10,1%;1.108;8,3%;356;;;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;2,6%;1.537;2,6%;287;3,4%;124;3,3%;112;2,5%;224;1,6%;179;2,1%;142;3,2%;348;2,8%;121;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,5%;1.470;2,9%;315;1,7%;64;2,7%;90;2,2%;197;2,7%;294;3,3%;220;1,9%;205;2,0%;85;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,4%;267;0,5%;52;0,2%;6;0,2%;6;0,3%;30;0,5%;58;0,9%;57;0,3%;35;0,5%;23;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;7,6;;8,6;;9,1;;10,6;;7,0;;5,8;;10,4;;7,3;;5,1;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,3;;2,5;;2,4;;2,7;;1,1;;0,4;;2,3;;0,2;;0,6;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,2;;86,2;;87,1;;84,8;;87,0;;87,9;;89,4;;87,2;;87,1;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;81,2;;79,4;;78,7;;78,9;;78,9;;83,2;;88,0;;81,4;;84,1;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;86,9;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;82,0;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,2;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;19,8;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;89%;35.077;22.504;24.039;21.962;28.801;44.106;38.875;31.834;54.991;91%;31.866,0 €;90%;31.684,0 €;89%;31.306,0 €;155%;54.441,1 €;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;19.587,5 €;;;;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;2,0%;378,7 €;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);;1.456,2 €;;1382,39;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);;954,0 €;;846,95;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;2,0%;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;5,2%;8.747;18,8%;1.644;7,9%;691;8,7%;759;17,7%;1.547;14,4%;1.261;7,6%;668;17,2%;1.504;5,1%;444;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;8,0%;;8,4%;;11,7%;;13,1%;;9,5%;;5,8%;;5,7%;;8,2%;;5,9%;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;8,6%;;8,7%;;12,2%;;12,8%;;9,9%;;7,0%;;6,6%;;9,0%;;6,7%;;;;;;;;;
