06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;537,47;;71,52;;118,5;;70,47;;99,94;;116,34;;60,71;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;293,85;;407,54;;292,04;;291,10;;226,56;;223,66;;411,93;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,8%;157.937;18,5%;29.146;21,9%;34.608;13,0%;20.513;14,3%;22.642;16,5%;26.021;15,8%;25.007;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,6%;1.521.178;45,4%;71.632;45,6%;13.292;45,0%;15.580;44,9%;9.201;45,6%;10.314;46,4%;12.082;44,6%;11.163;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,4%;1.744.948;54,6%;86.305;54,4%;15.854;55,0%;19.028;55,1%;11.312;54,4%;12.328;53,6%;13.939;55,4%;13.844;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,14;;44,23;;43,51;;45,79;;46,80;;44,80;;41,86;;42,75;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;13,3%;435.675;11,0%;17.399;11,3%;3.288;10,1%;3.485;9,3%;1.902;11,3%;2.555;12,3%;3.213;11,8%;2.956;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;15,7%;512.070;16,8%;26.587;17,6%;5.133;16,5%;5.698;14,9%;3.066;16,9%;3.823;17,2%;4.485;17,5%;4.382;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;22,8%;744.312;25,9%;40.965;26,3%;7.656;24,8%;8.594;25,6%;5.250;24,2%;5.485;27,9%;7.271;26,8%;6.709;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;27,9%;912.424;26,9%;42.460;26,5%;7.712;26,0%;8.991;26,4%;5.414;27,7%;6.279;27,9%;7.266;27,2%;6.798;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,0%;423.670;11,9%;18.801;11,9%;3.472;14,3%;4.961;15,0%;3.074;10,8%;2.454;8,9%;2.316;10,1%;2.524;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,3%;237.975;7,4%;11.725;6,5%;1.885;8,3%;2.879;8,8%;1.807;9,0%;2.046;5,6%;1.470;6,6%;1.638;;;;;;;;;;;;;;;;;;;;;;;;
