12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;;;;;
Densidad (hab./Ha.) ;;54,03;179,36;;168,37;;99,53;;160,40;;274,81;;289,98;;180,46;;159,08;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,3%;139.501;16,4%;22.837;9,9%;13.808;17,0%;23.666;15,4%;21.439;18,9%;26.353;10,0%;13.968;12,5%;17.430;;;;
Hombres;46,6%;1.521.178;47,2%;65.781;47,1%;10.765;48,5%;6.697;47,8%;11.310;46,8%;10.043;46,7%;12.300;46,6%;6.509;46,8%;8.157;;;;
Mujeres;53,4%;1.744.948;52,8%;73.720;52,9%;12.072;51,5%;7.111;52,2%;12.356;53,2%;11.396;53,3%;14.053;53,4%;7.459;53,2%;9.273;;;;
Edad media de la población;;44,14;;42,34;;43,51;;40,90;;40,22;;41,93;;43,87;;43,29;;42,26;;;;
De 0 a 14 años;13,3%;435.675;14,6%;20.391;16,4%;3.738;15,5%;2.144;17,2%;4.062;14,4%;3.088;12,2%;3.224;12,7%;1.778;13,5%;2.357;;;;
De 15 a 29;15,7%;512.070;17,2%;24.038;14,5%;3.316;18,5%;2.557;17,7%;4.196;17,8%;3.812;16,8%;4.423;18,3%;2.560;18,2%;3.174;;;;
De 30 a 44;22,8%;744.312;22,8%;31.807;20,2%;4.607;22,2%;3.067;21,9%;5.192;24,1%;5.170;24,3%;6.410;22,0%;3.077;24,6%;4.284;;;;
De 45 a 64;27,9%;912.424;28,3%;39.438;29,5%;6.737;29,1%;4.023;28,9%;6.843;27,4%;5.876;27,7%;7.308;28,9%;4.034;26,5%;4.617;;;;
De 65 a 79;13,0%;423.670;10,2%;14.160;10,9%;2.495;9,1%;1.262;9,5%;2.253;9,1%;1.952;11,1%;2.916;10,8%;1.514;10,1%;1.768;;;;
De 80 y + ;7,3%;237.975;6,9%;9.667;8,5%;1.944;5,5%;755;4,7%;1.120;7,2%;1.541;7,9%;2.072;7,2%;1.005;7,1%;1.230;;;;
De 65 y +;20,3%;661.645;17,1%;23.827;19,4%;4.439;14,6%;2.017;14,3%;3.373;16,3%;3.493;18,9%;4.988;18,0%;2.519;17,2%;2.998;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;13,0%;18.132;15,0%;3.432;13,7%;1.893;15,9%;3.773;12,6%;2.691;10,4%;2.732;11,3%;1.578;11,7%;2.033;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;15,6%;;17,4%;;16,6%;;18,4%;;15,3%;;13,1%;;13,8%;;14,4%;;0,121910162;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;17,1%;;19,4%;;14,6%;;14,3%;;16,3%;;18,9%;;18,0%;;17,2%;;0,202622486;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;40,6%;;43,8%;;37,4%;;33,2%;;44,1%;;41,5%;;39,9%;;41,0%;;0,335373852;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;48,61;;58,39;;45,47;;48,49;;46,15;;47,1;;46,61;;46,3;;0,480456453;;;
