19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;3.526,67;;2.149,42;;255,51;;64,32;;1.057,43;;;;;;;;;
Densidad (hab./Ha.) ;;54,03;20,45;;16,20;;69,03;;282,07;;1,45;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;2,2%;72.126;48,3%;34.816;24,5%;17.638;25,2%;18.142;2,1%;1.530;;;;;;;;
Hombres;46,6%;1.521.178;48,3%;34.848;48,2%;16.781;47,6%;8.388;49,0%;8.894;51,3%;785;;;;;;;;
Mujeres;53,4%;1.744.948;51,7%;37.278;51,8%;18.035;52,4%;9.250;51,0%;9.248;48,7%;745;;;;;;;;
Edad media de la población;;44,14;;40,83;;44,09;;41,26;;34,83;;32,54;;;;;;;;
De 0 a 14 años;13,3%;435.675;17,4%;12.584;14,1%;4.902;12,7%;2.247;27,9%;5.069;23,9%;366;;;;;;;;
De 15 a 29;15,7%;512.070;16,1%;11.621;15,6%;5.439;23,1%;4.078;10,6%;1.916;12,3%;188;;;;;;;;
De 30 a 44;22,8%;744.312;20,9%;15.070;22,5%;7.839;12,8%;2.259;24,0%;4.358;40,1%;614;;;;;;;;
De 45 a 64;27,9%;912.424;31,1%;22.427;26,4%;9.203;40,4%;7.125;31,9%;5.786;20,5%;313;;;;;;;;
De 65 a 79;13,0%;423.670;9,6%;6.909;13,4%;4.677;8,1%;1.430;4,2%;758;2,9%;44;;;;;;;;
De 80 y + ;7,3%;237.975;4,9%;3.515;7,9%;2.756;2,8%;499;1,4%;255;0,3%;5;;;;;;;;
De 65 y +;20,3%;661.645;14,5%;10.424;21,3%;7.433;10,9%;1.929;5,6%;1.013;3,2%;49;;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;16,3%;11.729;12,6%;4.373;12,8%;2.252;26,6%;4.821;18,5%;283;;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;18,7%;;15,0%;;14,4%;;29,3%;;24,7%;;0,08034673;;0,070268018;;0,128300431;;0,121910162;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;14,5%;;21,4%;;10,9%;;5,6%;;3,2%;;0,1629;;0,1705;;0,231564922;;0,202622486;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;33,7%;;37,1%;;25,9%;;25,2%;;10,2%;;0,3508;;0,3157;;0,340399758;;0,335373852;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;49,56;;57,23;;34,01;;53,52;;38,71;;0,3214;;0,3163;;0,562171341;;0,480456453;
Personas con nacionalidad española;85,9%;2.805.478;87,9%;63.385;80,2%;27.933;93,9%;16.558;96,4%;17.493;91,6%;1.401;0,39252189;24880;0,084073519;5329;0,385580185;24440;0;
