17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.018,76;;925,36;;108,25;;637,55;;154,07;;193,53;;;;;;;;
Densidad (hab./Ha.) ;;54,03;73,75;;48,85;;148,29;;29,60;;243,95;;161,06;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2019);;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.266.126;4,6%;148.883;30,4%;45.204;10,8%;16.052;12,7%;18.870;25,2%;37.587;20,9%;31.170;;;;;;;
Hombres;46,6%;1.521.178;47,7%;71.017;47,5%;21.488;48,8%;7.834;48,3%;9.110;48,1%;18.071;46,6%;14.514;;;;;;;
Mujeres;53,4%;1.744.948;52,3%;77.866;52,5%;23.716;51,2%;8.218;51,7%;9.760;51,9%;19.516;53,4%;16.656;;;;;;;
Edad media de la población;;44,14;;42,15;;42,25;;38,75;;35,92;;42,29;;47,35;;;;;;;
De 0 a 14 años;13,3%;435.675;15,6%;23.204;15,1%;6.823;18,1%;2.907;23,8%;4.482;14,4%;5.416;11,5%;3.576;;;;;;;
De 15 a 29;15,7%;512.070;16,8%;25.014;17,2%;7.786;20,1%;3.233;13,7%;2.587;17,8%;6.679;15,2%;4.729;;;;;;;
De 30 a 44;22,8%;744.312;21,9%;32.666;21,6%;9.748;23,3%;3.744;28,6%;5.395;20,4%;7.670;19,6%;6.109;;;;;;;
De 45 a 64;27,9%;912.424;28,3%;42.089;29,2%;13.177;25,6%;4.111;25,2%;4.753;30,8%;11.565;27,2%;8.483;;;;;;;
De 65 a 79;13,0%;423.670;10,8%;16.024;10,3%;4.638;6,3%;1.006;6,6%;1.244;11,3%;4.253;15,7%;4.883;;;;;;;
De 80 y + ;7,3%;237.975;6,6%;9.886;6,7%;3.032;6,5%;1.051;2,2%;409;5,3%;2.004;10,9%;3.390;;;;;;;
De 65 y +;20,3%;661.645;17,4%;25.910;17,0%;7.670;12,8%;2.057;8,8%;1.653;16,6%;6.257;26,5%;8.273;;;;;;;
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,6%;379.646;13,8%;20.475;13,2%;5.951;15,5%;2.488;21,3%;4.025;13,1%;4.911;9,9%;3.100;;;;;;;
Proporción de juventud (Población de 0-15 años/Población total);14,2%;;16,6%;;16,1%;;19,2%;;24,9%;;15,5%;;12,2%;;;;;;;;
Proporción de envejecimiento (Población > 65 años/Población total);20,3%;;17,4%;;17,0%;;12,8%;;8,8%;;16,7%;;26,5%;;;;;;;;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,0%;;38,2%;;39,5%;;51,1%;;24,7%;;32,0%;;41,0%;;;;;;;;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;52,6%;;51,5;;37,3%;49,43;29,7%;47,05;32,0%;50,63;32,5%;47,46;32,1%;63,28;;;;;;;
Personas con nacionalidad española;85,9%;2.805.478;80,5%;119.917;80,1%;36.229;67,8%;10.885;86,1%;16.242;80,8%;30.373;84,0%;26.188;;;;;;;
Personas con nacionalidad española HOMBRES;46,6%;1.308.240;47,5%;56.924;47,3%;17.129;47,6%;5.176;48,7%;7.911;47,9%;14.541;46,5%;12.167;;;;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;52,5%;62.993;52,7%;19.100;52,4%;5.709;51,3%;8.331;52,1%;15.832;53,5%;14.021;;;;;;;
Personas con nacionalidad extranjera;14,1%;460.623;19,5%;28.961;19,9%;8.974;32,2%;5.165;13,9%;2.628;19,2%;7.212;16,0%;4.982;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;48,7%;14.091;48,6%;4.359;51,4%;2.656;45,6%;1.199;48,9%;3.530;47,1%;2.347;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;51,3%;14.870;51,4%;4.615;48,6%;2.509;54,4%;1.429;51,1%;3.682;52,9%;2.635;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;15,4%;;15,2%;;29,1%;;9,7%;;15,1%;;12,6%;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Rumanía  (% respecto total extranjeros del distrito);9,7%;44.738;12,9%;3736;15,9%;1.430;5,3%;273;17,3%;454;12,6%;912;13,4%;667;;;;;;;
2ª nacionalidad extranjera en el Distrito: Marruecos  (% respecto total extranjeros del distrito);4,9%;22.470;12,1%;3.507;11,9%;1.066;21,4%;1.107;8,9%;234;10,5%;756;6,9%;344;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;4,1%;53.333;30,7%;16.378;9,6%;5.116;12,4%;6.609;24,8%;13.206;22,5%;12.024;0,303545647;16189;0,183411254;10906;0,071608759;4258;
Tamaño medio del hogar;;2,53  ;;2,79;;2,76;;3,14;;2,86;;2,85;;2,59;;1,97;;2,614982578;;2,650775012;
