02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de la Frontera;;Atocha;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;236,20;;232,06;;335,74;;347,55;;137,64;;267,78;;386,77;;22,02;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,6%;152.638;14,7%;22.456;23,6%;36.038;12,9%;19.734;12,8%;19.469;18,5%;28.243;16,4%;25.078;1,1%;1.620;;;;;;;;;;;;
Hombres;46,7%;1.534.824;46,8%;71.466;46,5%;10.436;46,2%;16.635;45,6%;8.994;49,0%;9.543;47,1%;13.296;46,9%;11.766;49,1%;796;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;53,2%;81.172;53,5%;12.020;53,8%;19.403;54,4%;10.740;51,0%;9.926;52,9%;14.947;53,1%;13.312;50,9%;824;;;;;;;;;;;;
Edad media de la población;;44,44;;45,28;;46,88;;47,52;;46,53;;39,95;;43,42;;46,29;;39,05;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;11,1%;16.877;10,3%;2.313;9,3%;3.348;10,1%;1.984;16,3%;3.169;12,7%;3.583;8,8%;2.211;16,6%;269;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;14,8%;22.606;14,3%;3.207;14,7%;5.312;13,6%;2.680;15,7%;3.054;15,2%;4.301;15,0%;3.766;17,7%;286;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;23,8%;36.269;21,3%;4.785;21,9%;7.877;26,0%;5.136;23,8%;4.639;24,5%;6.931;26,0%;6.532;22,8%;369;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;29,9%;45.674;31,2%;7.001;29,1%;10.470;27,4%;5.399;33,7%;6.562;30,2%;8.518;28,7%;7.192;32,8%;532;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;14,1%;21.581;15,5%;3.488;18,2%;6.555;14,4%;2.842;8,2%;1.605;12,1%;3.416;14,2%;3.551;7,7%;124;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;6,3%;9.631;7,4%;1.662;6,9%;2.476;8,6%;1.693;2,3%;440;5,3%;1.494;7,3%;1.826;2,5%;40;;;;;;;;;;;;
De 65 y +;20,3%;666.599;20,4%;31.212;22,9%;5.150;25,1%;9.031;23,0%;4.535;10,5%;2.045;17,4%;4.910;21,4%;5.377;10,1%;164;;;;;;;;;;;;
