21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;4.171,65;;203,13;;2.966,49;;54,94;;479,84;;467,25;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;55,39;;12,05;;97,83;;0,64;;140,79;;26,97;;16,71;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;1,5%;48.404;40,6%;19.662;3,9%;1.895;15,2%;7.351;24,6%;11.895;15,7%;7.601;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;48,1%;23.275;47,9%;9.412;51,0%;967;48,0%;3.531;47,3%;5.622;49,2%;3.743;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;51,9%;25.129;52,1%;10.250;49,0%;928;52,0%;3.820;52,7%;6.273;50,8%;3.858;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;43,00;;45,91;;42,03;;45,11;;39,72;;38,79;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;15,6%;7.537;14,7%;2.891;15,3%;289;10,6%;777;17,7%;2.111;19,3%;1.469;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;15,1%;7.313;13,8%;2.722;15,7%;297;14,4%;1.059;15,6%;1.859;18,1%;1.376;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;19,8%;9.607;17,0%;3.341;23,2%;440;25,5%;1.874;23,4%;2.778;15,4%;1.174;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;30,7%;14.860;28,2%;5.544;31,1%;590;29,6%;2.178;31,5%;3.744;36,9%;2.804;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;13,7%;6.649;20,1%;3.955;8,5%;162;13,5%;996;8,2%;971;7,4%;565;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;5,0%;2.438;6,1%;1.209;6,2%;117;6,4%;467;3,6%;432;2,8%;213;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;18,8%;9.087;26,3%;5.164;14,7%;279;19,9%;1.463;11,8%;1.403;10,2%;778;;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,6%;455.915;17,6%;8.845;16,1%;3.203;15,5%;297;11,1%;857;21,3%;2.753;22,2%;1.735;;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;17,66%;;16,29%;;15,48%;;11,42%;;20,65%;;22,64%;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;17,89%;;25,91%;;14,70%;;18,95%;;10,53%;;9,85%;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;26,26%;;21,95%;;43,62%;;33,12%;;30,56%;;27,95%;;;;;;;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;55,2%;;73,0%;;43,2%;;43,6%;;45,3%;;48,1%;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;89,4%;44.939;92,6%;18.394;77,5%;1.481;78,0%;6.030;91,7%;11.874;91,7%;7.160;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;48,7%;21.882;48,3%;8.882;51,9%;769;48,9%;2.947;48,2%;5.725;49,7%;3.559;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;51,3%;23.057;51,7%;9.512;48,1%;712;51,1%;3.083;51,8%;6.149;50,3%;3.601;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;10,2%;5.136;6,4%;1.263;22,9%;437;19,1%;1.474;11,3%;1.458;6,5%;504;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;44,5%;2.288;43,4%;548;50,1%;219;43,8%;646;44,8%;653;44,0%;222;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;55,5%;2.848;56,6%;715;49,9%;218;56,2%;828;55,2%;805;56,0%;282;;;;;;;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;6,0%;;3,2%;;18,0%;;12,6%;;6,5%;;2,5%;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;11,5%;593;7,8%;98;15,1%;66;15,6%;230;12,2%;178;4,2%;21;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: VENEZUELA (% respecto total de población extranjera del distrito);8,0%;41.761;10,4%;532;9,7%;122;13,7%;60;9,8%;144;11,8%;172;6,7%;34;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;1,4%;18.756;39,2%;7.359;3,8%;704;16,8%;3.160;26,3%;4.933;13,9%;2.600;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,67;;2,67;;2,72;;2,37;;2,70;;2,95;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;6,6%;1.234;8,8%;650;8,2%;58;7,7%;242;4,0%;198;3,3%;86;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,5%;478;3,4%;250;3,4%;24;2,9%;92;1,5%;74;1,5%;38;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,8%;534;2,3%;171;2,1%;15;1,6%;49;3,9%;194;4,0%;105;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,8%;141;0,6%;46;1,0%;7;0,3%;10;0,8%;41;1,4%;37;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;8,7;;6,6;;14,1;;7,5;;13,3;;6,2;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;0,1;;-0,8;;0,9;;-2,4;;3,7;;-1,2;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,0;;86,7;;87,7;;88,6;;87,6;;85,4;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,5;;82,4;;83,1;;81,6;;83,2;;85,4;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;81,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;117%;49.615,0 €;112%;55.681,4 €;55%;27.316,0 €;64%;31.625,6 €;86%;42.831,0 €;143%;70.874,2 €;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;24.393,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;117%;1.781,2 €;111%;1.973,3 €;68%;1.204,4 €;86%;1.538,9 €;87%;1.552,5 €;98%;1.745,7 €;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;113%;1.292,9 €;112%;1.453,4 €;69%;898,1 €;83%;1.067,6 €;89%;1.154,1 €;93%;1.204,3 €;;;;;;;;;;;;;;;;;;;;;;
