11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.404,83;;66,61;;110,73;;189,93;;158,92;;160,86;;561,32;;156,46;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;181,88;;333,49;;300,73;;207,40;;292,44;;220,04;;85,18;;197,65;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;7,8%;255.514;8,7%;22.214;13,0%;33.300;15,4%;39.391;18,2%;46.474;13,9%;35.395;18,7%;47.815;12,1%;30.925;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;46,7%;119.381;46,1%;10.230;45,9%;15.283;47,0%;18.500;45,6%;21.208;47,0%;16.647;48,4%;23.152;46,4%;14.361;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;53,3%;136.133;53,9%;11.984;54,1%;18.017;53,0%;20.891;54,4%;25.266;53,0%;18.748;51,6%;24.663;53,6%;16.564;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;43,78;;46,73;;45,00;;44,16;;45,48;;43,02;;40,70;;42,94;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;12,9%;32.985;10,3%;2.277;10,7%;3.573;12,0%;4.726;11,3%;5.255;12,9%;4.578;17,3%;8.257;14,0%;4.319;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;16,9%;43.098;14,8%;3.278;16,8%;5.607;17,0%;6.677;16,6%;7.724;18,6%;6.577;16,2%;7.763;17,7%;5.472;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;21,6%;55.261;23,4%;5.207;23,3%;7.773;22,5%;8.844;21,6%;10.041;21,7%;7.664;19,9%;9.515;20,1%;6.217;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;29,9%;76.301;27,9%;6.203;28,9%;9.612;29,7%;11.706;28,2%;13.127;29,3%;10.365;33,0%;15.793;30,7%;9.495;;;;;;;;;;;;;;;;;;
