01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;267,17;;159,31;;449,30;;182,94;;243,64;;346,64;;182,28;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4%;139.682;16,8%;23.417;33%;46.444;8%;10.828;13%;18.015;24%;32.861;6%;8.117;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;50,8%;70.986;49,4%;11.568;52,3%;24.271;49,4%;5.345;51,2%;9.221;49,8%;16.349;52,1%;4.232;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;49,2%;68.696;50,6%;11.849;47,7%;22.173;50,6%;5.483;48,8%;8.794;50,2%;16.512;47,9%;3.885;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;43,99;;45,96;;42,87;;44,78;;44,17;;43,91;;43,63;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;6,9%;9.646;6,8%;1.585;7,6%;3.545;6,0%;650;6,7%;1.215;6,7%;2.193;5,6%;458;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,9%;24.967;16,3%;3.824;17,5%;8.142;18,7%;2.026;18,1%;3.260;18,0%;5.911;22,2%;1.804;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;30,6%;42.788;27,0%;6.327;33,0%;15.309;28,8%;3.120;29,5%;5.306;31,7%;10.424;28,4%;2.302;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;28,9%;40.367;30,8%;7.205;28,3%;13.151;29,4%;3.183;30,2%;5.444;27,7%;9.117;27,9%;2.267;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;10,8%;15.028;13,2%;3.089;9,3%;4.297;12,0%;1.301;10,4%;1.875;10,8%;3.533;11,5%;933;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;4,9%;6.886;5,9%;1.387;4,3%;2.000;5,1%;548;5,1%;915;5,1%;1.683;4,3%;353;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;15,7%;21.914;19,1%;4.476;13,6%;6.297;17,1%;1.849;15,5%;2.790;15,9%;5.216;15,8%;1.286;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;7,6%;10.608;7,5%;1.767;8,2%;3.809;6,8%;736;7,8%;1.399;7,3%;2.395;6,2%;502;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,76%;;7,51%;;7,49%;;8,06%;;6,82%;;7,68%;;7,17%;;6,28%;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,03%;;15,55%;;18,79%;;13,45%;;16,98%;;15,47%;;15,66%;;16,19%;;;;;;;;;;;;;;;;;;;;;
