05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;917,55;;170,92;;104,01;;76,23;;171,25;;179,01;;216,13;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;157,34;;100,52;;345,76;;241,51;;183,73;;136,12;;78,60;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,4%;144.371;11,9%;17.181;24,9%;35.963;12,8%;18.410;21,8%;31.463;16,9%;24.366;11,8%;16.988;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;45,1%;65.080;45,2%;7.767;44,7%;16.070;44,4%;8.181;45,1%;14.188;45,2%;11.015;46,3%;7.859;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;54,9%;79.291;54,8%;9.414;55,3%;19.893;55,6%;10.229;54,9%;17.275;54,8%;13.351;53,7%;9.129;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;45,75;;44,85;;47,25;;46,16;;46,18;;43,75;;45,08;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;12,7%;18.266;12,9%;2.216;10,4%;3.730;11,5%;2.124;13,4%;4.226;15,7%;3.816;12,7%;2.154;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;15,2%;21.883;17,4%;2.981;14,2%;5.097;14,1%;2.598;14,6%;4.578;15,6%;3.804;16,6%;2.825;;;;;;;;;;;;;;;
