07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;467,92;;50,65;;57,82;;61,19;;93,79;;97,54;;106,92;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;293,40;;447,36;;414,60;;400,31;;206,40;;275,79;;186,14;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,2%;137.287;16,5%;22.659;17,5%;23.972;17,8%;24.495;14,1%;19.358;19,6%;26.901;14,5%;19.902;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;44,3%;60.867;44,4%;10.058;44,9%;10.770;45,2%;11.063;44,2%;8.557;43,9%;11.798;43,3%;8.621;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;55,7%;76.420;55,6%;12.601;55,1%;13.202;54,8%;13.432;55,8%;10.801;56,1%;15.103;56,7%;11.281;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;46,44;;47,09;;46,33;;45,33;;46,48;;45,98;;47,76;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;9,9%;13.631;9,0%;2.039;9,4%;2.265;9,4%;2.302;10,6%;2.053;10,7%;2.869;10,6%;2.103;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;16,8%;23.091;17,9%;4.067;17,5%;4.194;16,5%;4.048;16,5%;3.198;16,0%;4.310;16,5%;3.274;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;22,7%;31.220;21,6%;4.903;23,4%;5.616;26,3%;6.431;21,2%;4.099;23,7%;6.378;19,1%;3.793;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;26,1%;35.823;25,8%;5.841;25,3%;6.075;26,3%;6.438;27,3%;5.280;25,9%;6.979;26,2%;5.210;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;15,9%;21.824;16,7%;3.789;15,9%;3.800;14,6%;3.588;15,9%;3.071;15,2%;4.100;17,5%;3.476;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;8,5%;11.698;8,9%;2.020;8,4%;2.022;6,9%;1.688;8,6%;1.657;8,4%;2.265;10,3%;2.046;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;24,4%;33.522;25,6%;5.809;24,3%;5.822;21,5%;5.276;24,4%;4.728;23,7%;6.365;27,7%;5.522;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;10,8%;14.767;9,6%;2.177;10,3%;2.471;10,1%;2.477;11,6%;2.238;11,6%;3.120;11,5%;2.284;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;10,65%;;9,49%;;10,19%;;10,06%;;11,45%;;11,46%;;11,38%;;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;24,23%;;25,50%;;24,01%;;21,40%;;24,19%;;23,51%;;27,50%;;;;;;;;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;35,25%;;35,61%;;34,92%;;32,88%;;35,59%;;35,65%;;36,75%;;;;;;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;53,6%;;53,8%;;52,0%;;45,9%;;55,4%;;53,8%;;63,6%;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;85,8%;121.264;85,1%;19.952;85,5%;21.176;83,6%;21.003;83,9%;16.690;86,5%;23.933;90,4%;18.510;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;44,4%;53.889;44,6%;8.892;44,8%;9.487;44,8%;9.404;44,7%;7.456;44,1%;10.566;43,7%;8.084;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;55,6%;67.375;55,4%;11.060;55,2%;11.689;55,2%;11.599;55,3%;9.234;55,9%;13.367;56,3%;10.426;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;12,3%;17.403;12,8%;2.996;12,5%;3.084;14,4%;3.625;14,4%;2.856;11,9%;3.283;7,6%;1.559;;;;;;;;;;;;;;;;;;;;;
