15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.142,57;;319,80;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;187,21;;149,47;;267,05;;334,44;;230,73;;166,68;;121,56;;113,24;;64,56;;152,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;6,5%;213.905;22,3%;47.801;29,0%;61.935;11,3%;24.183;9,6%;20.440;8,2%;17.546;5,7%;12.287;3,0%;6.338;0,8%;1.607;10,2%;21.768;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;45,5%;97.357;45,0%;21.500;46,1%;28.582;44,4%;10.748;44,6%;9.122;45,1%;7.914;46,6%;5.731;45,2%;2.865;43,3%;696;46,9%;10.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;54,5%;116.548;55,0%;26.301;53,9%;33.353;55,6%;13.435;55,4%;11.318;54,9%;9.632;53,4%;6.556;54,8%;3.473;56,7%;911;53,1%;11.569;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;46,27;;46,72;;45,73;;46,25;;47,29;;48,31;;45,20;;45,73;;44,79;;45,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;11,2%;23.886;10,1%;4.848;11,0%;6.803;10,1%;2.442;10,6%;2.165;11,1%;1.945;13,7%;1.679;13,6%;859;14,7%;237;13,4%;2.908;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;15,8%;33.877;15,8%;7.543;16,2%;10.056;15,8%;3.813;14,6%;2.988;13,5%;2.368;15,9%;1.955;14,1%;894;15,7%;253;18,4%;4.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;20,6%;44.051;21,8%;10.405;21,5%;13.308;23,2%;5.607;21,2%;4.326;19,0%;3.342;17,9%;2.204;19,4%;1.231;17,5%;281;15,4%;3.347;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;29,4%;62.866;29,3%;14.001;29,5%;18.247;29,2%;7.058;29,4%;6.007;28,7%;5.033;30,0%;3.687;29,1%;1.845;29,2%;469;29,9%;6.519;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;14,4%;30.765;13,2%;6.289;13,9%;8.605;12,9%;3.130;14,4%;2.953;18,4%;3.226;14,8%;1.815;16,3%;1.034;16,3%;262;15,9%;3.451;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;8,6%;18.460;9,9%;4.715;7,9%;4.916;8,8%;2.133;9,8%;2.001;9,3%;1.632;7,7%;947;7,5%;475;6,5%;105;7,1%;1.536;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;23,0%;49.225;23,0%;11.004;21,8%;13.521;21,8%;5.263;24,2%;4.954;27,7%;4.858;22,5%;2.762;23,8%;1.509;22,8%;367;22,9%;4.987;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;12,4%;26.603;11,3%;5.403;12,1%;7.513;11,2%;2.710;12,0%;2.446;12,2%;2.143;15,4%;1.898;15,0%;953;15,4%;248;15,1%;3.289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;12,27%;;11,16%;;11,98%;;11,01%;;11,80%;;12,02%;;15,20%;;14,97%;;15,70%;;14,90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;22,71%;;23,00%;;21,53%;;21,57%;;24,00%;;27,07%;;21,82%;;22,99%;;21,77%;;22,45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;38,10%;;43,42%;;37,02%;;42,50%;;41,70%;;33,84%;;34,18%;;30,87%;;27,33%;;29,90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;53,8%;;51,9%;;50,4%;;48,3%;;55,8%;;64,2%;;58,8%;;61,2%;;59,9%;;59,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;82,8%;182.762;80,3%;39.474;79,5%;50.741;77,8%;19.655;83,2%;17.673;89,2%;16.194;87,4%;11.147;86,5%;5.666;88,9%;1.392;93,2%;20.820;;;;;;;;;;;;;;;;;;;;;;;;;;;;
