08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;23.783,84;;18.758,34;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;10,35;;0,18;;24,20;;152,00;;332,70;;150,11;;70,87;;50,39;;7,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;7,5%;246.281;1,4%;3.382;1,4%;3.346;17,8%;43.887;18,4%;45.354;13,1%;32.346;25,8%;63.651;14,3%;35.240;7,2%;19.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;47,1%;115.955;49,8%;1.683;45,2%;1.513;46,4%;20.379;45,5%;20.645;46,6%;15.059;47,6%;30.328;48,0%;16.920;49,4%;9.428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;52,9%;130.326;50,2%;1.699;54,8%;1.833;53,6%;23.508;54,5%;24.709;53,4%;17.287;52,4%;33.323;52,0%;18.320;50,6%;9.647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;43,58;;47,54;;45,17;;47,33;;48,83;;50,33;;38,54;;39,35;;34,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;16,5%;40.626;11,4%;385;16,7%;558;12,1%;5.315;10,1%;4.563;10,8%;3.484;21,3%;13.542;20,8%;7.344;28,5%;5.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;14,1%;34.737;13,7%;462;16,0%;536;13,9%;6.080;12,9%;5.868;11,6%;3.754;14,6%;9.307;17,7%;6.250;13,0%;2.480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;20,4%;50.300;20,0%;678;14,7%;491;19,0%;8.345;21,7%;9.854;18,4%;5.955;22,8%;14.519;17,6%;6.194;22,4%;4.264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;27,5%;67.693;30,2%;1.020;26,5%;888;27,9%;12.232;26,3%;11.916;23,7%;7.662;29,2%;18.596;28,4%;10.020;28,1%;5.359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;15,0%;36.850;13,7%;464;17,2%;576;19,6%;8.599;18,4%;8.353;27,5%;8.888;7,9%;5.020;11,6%;4.099;4,5%;851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;6,5%;16.075;11,0%;373;8,9%;297;7,6%;3.316;10,6%;4.800;8,0%;2.603;4,2%;2.667;3,8%;1.333;3,6%;686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;21,5%;52.925;24,7%;837;26,1%;873;27,1%;11.915;29,0%;13.153;35,5%;11.491;12,1%;7.687;15,4%;5.432;8,1%;1.537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;17,8%;43.940;12,2%;413;17,5%;584;13,2%;5.785;10,9%;4.962;11,6%;3.743;23,4%;14.902;21,5%;7.588;31,3%;5.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;17,74%;;12,00%;;17,40%;;13,03%;;10,79%;;11,34%;;23,27%;;21,95%;;31,50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;21,06%;;24,75%;;25,63%;;26,42%;;28,86%;;34,26%;;11,81%;;15,14%;;7,11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
