16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;2.762,61;;106,88;;313,96;;252,25;;266,48;;120,51;;1.702,53;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;70,59;;64,87;;47,61;;157,42;;194,55;;127,57;;38,89;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;5,9%;195.017;3,6%;6.933;7,7%;14.948;20,4%;39.708;26,6%;51.844;7,9%;15.374;34,0%;66.210;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;47,4%;92.532;48,9%;3.387;47,9%;7.160;46,4%;18.425;45,9%;23.784;47,8%;7.343;49,0%;32.433;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;52,6%;102.485;51,1%;3.546;52,1%;7.788;53,6%;21.283;54,1%;28.060;52,2%;8.031;51,0%;33.777;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;42,73;;41,24;;41,71;;48,24;;47,63;;45,94;;35,22;;;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;16,5%;32.108;17,0%;1.177;15,9%;2.380;11,1%;4.394;11,1%;5.752;11,1%;1.704;25,2%;16.701;;;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;14,6%;28.464;19,1%;1.321;19,5%;2.910;13,5%;5.367;14,3%;7.402;17,1%;2.635;13,3%;8.829;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;21,0%;40.962;15,1%;1.044;15,5%;2.317;19,0%;7.540;19,6%;10.158;18,3%;2.818;25,8%;17.085;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;29,2%;56.992;32,8%;2.271;33,5%;5.012;28,9%;11.486;28,6%;14.812;31,9%;4.907;27,9%;18.504;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;12,8%;25.003;12,6%;875;11,7%;1.748;18,6%;7.390;17,1%;8.855;13,8%;2.119;6,1%;4.016;;;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;5,9%;11.488;3,5%;245;3,9%;581;8,9%;3.531;9,4%;4.865;7,7%;1.191;1,6%;1.075;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;18,7%;36.491;16,2%;1.120;15,6%;2.329;27,5%;10.921;26,5%;13.720;21,5%;3.310;7,7%;5.091;;;;;;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;17,4%;33.962;19,4%;1.344;17,5%;2.618;12,1%;4.789;12,3%;6.388;12,1%;1.855;25,6%;16.968;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;17,58%;;19,50%;;17,65%;;11,89%;;12,17%;;11,99%;;26,83%;;;;;;;;;;;;;;;;;;;;;;;;;;;
