10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;2.542,72;;129,20;;137,53;;167,90;;284,98;;919,14;;543,01;;360,96;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;93,23;;135,78;;301,03;;214,78;;231,01;;21,04;;10,99;;141,03;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;7,2%;237.048;7,4%;17.543;17,5%;41.401;15,2%;36.062;27,8%;65.833;8,2%;19.337;2,5%;5.966;21,5%;50.906;;;;;;;;;;;;
Hombres;46,7%;1.534.824;46,4%;109.928;47,3%;8.302;46,2%;19.113;46,8%;16.887;45,7%;30.086;46,4%;8.970;50,2%;2.996;46,3%;23.574;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;53,6%;127.120;52,7%;9.241;53,8%;22.288;53,2%;19.175;54,3%;35.747;53,6%;10.367;49,8%;2.970;53,7%;27.332;;;;;;;;;;;;
Edad media de la población;;44,44;;46,78;;43,53;;45,28;;45,88;;48,82;;46,04;;37,28;;48,54;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;11,1%;26.294;12,3%;2.156;10,4%;4.301;11,1%;4.003;10,5%;6.918;11,7%;2.265;20,3%;1.213;10,7%;5.438;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;15,5%;36.775;19,1%;3.345;16,7%;6.911;17,2%;6.201;13,9%;9.123;15,6%;3.017;15,0%;895;14,3%;7.283;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;20,2%;47.900;19,6%;3.439;23,6%;9.751;19,9%;7.184;19,5%;12.856;21,3%;4.117;23,9%;1.424;17,9%;9.129;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;28,9%;68.442;32,1%;5.623;29,0%;12.012;29,8%;10.736;26,9%;17.696;28,0%;5.412;33,8%;2.017;29,4%;14.946;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;14,9%;35.246;11,0%;1.935;12,3%;5.102;12,9%;4.634;18,2%;11.980;13,7%;2.644;5,7%;340;16,9%;8.611;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;9,4%;22.391;6,0%;1.045;8,0%;3.324;9,2%;3.304;11,0%;7.260;9,7%;1.882;1,3%;77;10,8%;5.499;;;;;;;;;;;;
De 65 y +;20,3%;666.599;24,3%;57.637;17,0%;2.980;20,4%;8.426;22,0%;7.938;29,2%;19.240;23,4%;4.526;7,0%;417;27,7%;14.110;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;12,2%;28.946;13,5%;2.373;11,3%;4.699;12,4%;4.462;11,5%;7.539;12,8%;2.473;22,1%;1.321;11,9%;6.079;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;12,05%;;13,50%;;11,19%;;12,20%;;11,26%;;12,63%;;22,49%;;11,78%;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;24,16%;;16,84%;;20,25%;;21,87%;;29,05%;;23,23%;;6,74%;;27,46%;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;38,26%;;37,20%;;41,14%;;42,51%;;35,89%;;40,32%;;18,94%;;37,51%;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;56,8%;;43,6%;;45,9%;;51,7%;;67,5%;;55,9%;;41,3%;;64,6%;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;81,3%;197.563;81,9%;14.571;77,3%;32.876;80,2%;29.651;80,9%;54.838;76,8%;15.321;91,3%;5.394;86,1%;44.912;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;46,3%;91.541;47,2%;6.883;46,1%;15.141;46,6%;13.807;45,7%;25.047;46,6%;7.143;49,8%;2.685;46,4%;20.835;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;53,7%;106.022;52,8%;7.688;53,9%;17.735;53,4%;15.844;54,3%;29.791;53,4%;8.178;50,2%;2.709;53,6%;24.077;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;17,5%;42.591;16,9%;3.006;21,4%;9.106;18,7%;6.925;17,9%;12.129;21,3%;4.258;8,1%;480;12,8%;6.687;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;46,2%;19.667;48,4%;1.455;46,2%;4.203;46,9%;3.249;46,0%;5.578;44,3%;1.886;50,2%;241;45,7%;3.055;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;53,8%;22.924;51,6%;1.551;53,8%;4.903;53,1%;3.676;54,0%;6.551;55,7%;2.372;49,8%;239;54,3%;3.632;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;13,6%;;13,5%;;16,7%;;15,2%;;13,6%;;16,8%;;5,8%;;9,4%;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;10,7%;4.545;7,7%;230;6,1%;555;8,6%;598;14,2%;1.717;12,0%;509;13,5%;65;181,5%;871;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: PERÚ (% respecto total de población extranjera del distrito);5,5%;28.574;7,5%;3.197;5,4%;161;6,7%;606;7,9%;549;7,4%;901;5,8%;247;1,7%;8;150,8%;724;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;7,3%;95.756;;6.629;;17.566;;14.237;;26.839;;7.428;;2.213;;20.844;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,51;;2,65;;2,39;;2,57;;2,50;;2,64;;2,65;;2,48;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;12,0%;11.464;9,4%;626;11,6%;2.045;11,8%;1.676;13,6%;3.655;10,6%;786;;66;12,5%;2.610;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,4%;3.251;2,7%;178;3,2%;563;3,3%;476;3,7%;994;3,5%;261;;30;3,6%;749;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,7%;1.647;2,1%;137;1,7%;290;1,7%;236;1,5%;402;1,5%;114;;100;1,8%;368;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;283;0,3%;21;0,3%;52;0,3%;40;0,2%;65;0,4%;29;;26;0,2%;50;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;6,4;;6,8;;7,5;;5,6;;6,1;;6,2;;8,0;;6,3;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,8;;-0,9;;-0,9;;-0,6;;-0,7;;-1,4;;-0,1;;-1,0;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,7;;87,2;;87,3;;87,9;;87,9;;89,1;;90,0;;87,4;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,2;;80,9;;80,7;;82,7;;83,0;;82,7;;82,1;;82,5;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,7;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;78,9;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;23,0;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;75%;31.872,0 €;99%;31.467,3 €;93%;29.648,3 €;100%;31.918,2 €;102%;32.610,6 €;105%;33.453,7 €;117%;37.420,8 €;99%;31.644 €;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;15.672,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;97%;1.475,8 €;90%;1.327,2 €;94%;1.381,2 €;100%;1.471,6 €;104%;1.542,1 €;97%;1.431,6 €;93%;1.375,8 €;101%;1.487,6 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;92%;1.057,8 €;96%;1.017,4 €;100%;1.059,8 €;101%;1.072,5 €;104%;1.101,6 €;95%;1.008,7 €;100%;1.059,6 €;96%;1.011,4 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;8,1%;12.968;10,0%;1.297;19,2%;2.485;15,9%;2.060;23,9%;3.098;6,7%;871;2,7%;346;19,2%;2.494;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;8,53;;10,80;;8,92;;8,82;;8,05;;7,16;;8,25;;8,23;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;7,74;;9,58;;8,02;;8,34;;7,46;;6,41;;6,00;;7,39;;;;;;;;;;;;;
De 16 a 24 años;3,33;;4,17;;5,21;;3,58;;4,47;;4,35;;2,28;;6,35;;4,09;;;;;;;;;;;;;
De 25 a 44 años;5,45;;6,64;;8,27;;6,59;;7,23;;6,35;;5,77;;5,29;;6,51;;;;;;;;;;;;;
De 45 a 64 años;8,63;;9,91;;12,34;;10,98;;10,72;;9,50;;8,36;;6,49;;9,11;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;9,26;;11,96;;9,75;;9,28;;8,59;;7,84;;10,44;;9,01;;;;;;;;;;;;;
De 16 a 24 años;3,34;;4,22;;7,30;;3,97;;4,29;;3,64;;3,60;;5,01;;3,81;;;;;;;;;;;;;
De 25 a 44 años;7,30;;8,55;;11,52;;8,31;;9,39;;7,46;;7,06;;11,11;;8,80;;;;;;;;;;;;;
De 45 a 64 años;10,17;;11,29;;13,83;;12,87;;10,72;;10,90;;9,77;;11,24;;10,49;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;51,1%;6.630;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;39,7%;2.635;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;60,3%;3.995;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;42,9%;5.567;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;48,6%;2.706;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;51,4%;2.861;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;57,1%;7.401;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;39,9%;2.951;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;60,1%;4.450;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;28.946;100%;2.373;100%;4.699;100%;4.462;100%;7.539;100%;2.473;100%;1.321;100%;6.079;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,8%;4.871;16,1%;381;18,4%;864;16,3%;728;16,9%;1.272;17,8%;439;13,4%;177;16,6%;1.010;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;18,1%;5.233;16,1%;381;18,2%;856;18,7%;836;18,2%;1.369;18,7%;463;18,6%;246;17,8%;1.082;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;38,3%;11.077;38,5%;914;36,8%;1.729;37,7%;1.681;38,8%;2.926;38,3%;946;46,0%;608;37,4%;2.273;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;26,8%;7.765;29,4%;697;26,6%;1.250;27,3%;1.217;26,2%;1.972;25,3%;625;22,0%;290;28,2%;1.714;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,2%;14.814;50,1%;1.188;52,1%;2.448;51,6%;2.304;50,4%;3.802;50,9%;1.258;51,6%;681;51,5%;3.133;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,7%;2.479;15,6%;185;17,7%;434;17,3%;398;16,6%;633;17,0%;214;13,4%;91;8,6%;524;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;18,6%;2.759;16,2%;193;18,9%;462;18,8%;432;18,7%;711;20,9%;263;19,1%;130;9,3%;568;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;38,0%;5.626;38,4%;456;36,5%;893;36,7%;846;38,9%;1.479;38,1%;479;48,3%;329;18,8%;1.144;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;26,7%;3.950;29,8%;354;26,9%;659;27,3%;628;25,7%;979;24,0%;302;19,2%;131;14,8%;897;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,8%;14.132;49,9%;1.185;47,9%;2.251;48,4%;2.158;49,6%;3.737;49,1%;1.215;48,4%;640;48,5%;2.946;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,9%;2.392;16,5%;196;19,1%;430;15,3%;330;17,1%;639;18,5%;225;13,4%;86;16,5%;486;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;17,5%;2.474;15,9%;188;17,5%;394;18,7%;404;17,6%;658;16,5%;200;18,1%;116;17,4%;514;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;38,6%;5.451;38,6%;458;37,1%;836;38,7%;835;38,7%;1.447;38,4%;467;43,6%;279;38,3%;1.129;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;27,0%;3.815;28,9%;343;26,3%;591;27,3%;589;26,6%;993;26,6%;323;24,8%;159;27,7%;817;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;36.123;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;49,8%;17.987;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;11,1%;4.026;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;39,1%;14.110;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;16,2%;5.858;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;35,2%;2.060;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;3,7%;218;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;61,1%;3.580;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;4,8%;1.734;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;46,7%;809;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;0,9%;15;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;52,5%;910;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;5,4%;10.296;6,7%;894;4,9%;1.644;5,9%;1.677;4,9%;2.658;4,5%;697;2,3%;92;6,4%;2.634;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;15,0%;28.610;14,6%;1.933;13,4%;4.492;14,5%;4.143;15,9%;8.636;14,1%;2.174;6,7%;271;16,8%;6.961;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;32,5%;62.035;32,8%;4.352;31,0%;10.424;32,1%;9.167;33,0%;17.939;32,5%;5.033;26,9%;1.093;33,9%;14.027;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;20,9%;39.892;20,6%;2.736;20,7%;6.950;20,9%;5.971;21,0%;11.387;21,7%;3.351;23,7%;964;20,6%;8.533;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;8,3%;15.856;7,7%;1.018;8,2%;2.765;8,0%;2.295;8,6%;4.663;8,8%;1.354;14,6%;596;7,7%;3.165;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;17,7%;33.683;17,4%;2.313;21,7%;7.310;18,6%;5.302;16,4%;8.905;18,3%;2.837;25,9%;1.054;14,4%;5.962;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;249;0,2%;22;0,1%;43;0,1%;22;0,2%;96;0,1%;17;0,0%;0;0,1%;49;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;190.621;1;13.268;1;33.628;1;28.577;1;54.284;1;15.463;1;4.070;1;41.331;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;7,4%;393;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;50,4%;198;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;49,6%;195;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;71,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;44,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;23,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;9,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;36,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;43,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;23,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Riesgo de mala salud mental en personas de 18 años o más (GHQ-12) Ciudad de Madrid (ENS, 2017, Abril y Octubre de 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Abril 2020;57,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Abril 2020;55,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) MUJERES Abril 2020;59,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Octubre 2020;49,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Octubre 2020;39,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental(GHQ-12)  MUJERES Octubre 2020;58,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años (ENS, 2017);13,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años (ENS, 2017);15,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 45-64 años (ENS, 2017);19,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 65 y más años (ENS, 2017);22,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años (Abril, 2020);67,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años (Abril, 2020);66,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 45-64 años (Abril, 2020);59,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 65 y más años (Abril, 2020);37,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años  (Octubre, 2020);52,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años  (Octubre, 2020);57,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 45-64 años  (Octubre, 2020);50,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
