09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;4.653,11;;1.746,06;;75,75;;1.425,09;;139,75;;330,25;;352,82;;583,40;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;25,87;;7,33;;319,01;;11,38;;213,25;;21,34;;8,50;;46,83;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;3,7%;120.360;10,6%;12.804;20,1%;24.165;13,5%;16.220;24,8%;29.802;5,9%;7.048;2,5%;2.998;22,7%;27.323;;;;;;;;;;;;
Hombres;46,7%;1.534.824;46,1%;55.501;46,3%;5.929;45,7%;11.035;46,2%;7.489;45,6%;13.602;46,6%;3.283;46,2%;1.384;46,8%;12.779;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;53,9%;64.859;53,7%;6.875;54,3%;13.130;53,8%;8.731;54,4%;16.200;53,4%;3.765;53,8%;1.614;53,2%;14.544;;;;;;;;;;;;
Edad media de la población;;44,44;;44,85;;48,58;;46,87;;46,18;;46,60;;37,17;;42,11;;40,92;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;13,0%;15.654;9,2%;1.179;9,3%;2.252;11,9%;1.930;11,9%;3.559;23,2%;1.635;17,5%;524;16,7%;4.575;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,3%;20.779;14,9%;1.903;17,3%;4.171;17,9%;2.905;14,6%;4.364;18,7%;1.315;17,7%;530;20,5%;5.591;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;19,1%;22.984;19,5%;2.499;21,5%;5.192;18,4%;2.985;20,9%;6.221;16,8%;1.184;16,6%;498;16,1%;4.405;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;28,5%;34.258;30,9%;3.954;27,3%;6.602;26,1%;4.236;27,4%;8.154;29,9%;2.106;29,1%;872;30,5%;8.334;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;14,7%;17.642;15,1%;1.930;15,8%;3.828;17,1%;2.775;16,4%;4.880;7,8%;553;14,2%;426;11,9%;3.250;;;;;;;;;;;;
