13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;157,42;;58,09;;401,07;;231,65;;136,85;;226,84;;255,88;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;7,2%;235.638;14,7%;34.690;18,2%;42.910;16,9%;39.935;18,1%;42.540;12,0%;28.249;20,1%;47.314;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;47,4%;111.748;47,8%;16.591;47,9%;20.534;46,9%;18.722;47,5%;20.218;47,1%;13.310;47,3%;22.373;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;52,6%;123.890;52,2%;18.099;52,1%;22.376;53,1%;21.213;52,5%;22.322;52,9%;14.939;52,7%;24.941;;;;;;;;;;;;;;
Edad media de la población;;44,44;;43,54;;43,58;;40,82;;44,16;;44,27;;44,92;;43,95;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;12,5%;29.549;;4.632;13,7%;5.889;11,3%;4.527;12,4%;5.256;12,9%;3.646;11,8%;5.599;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,7%;41.715;;6.160;18,9%;8.131;19,1%;7.637;16,8%;7.149;15,7%;4.434;17,3%;8.204;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;21,8%;51.252;20,7%;7.183;25,2%;10.805;18,6%;7.413;20,8%;8.841;21,8%;6.160;22,9%;10.850;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;30,2%;71.262;29,5%;10.242;28,8%;12.358;33,6%;13.403;31,6%;13.433;28,2%;7.961;29,3%;13.865;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;11,3%;26.563;11,5%;3.988;8,4%;3.596;11,5%;4.581;11,7%;4.994;13,4%;3.790;11,9%;5.614;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;6,5%;15.297;7,2%;2.485;5,0%;2.131;5,9%;2.374;6,7%;2.867;8,0%;2.258;6,7%;3.182;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;17,8%;41.860;18,7%;6.473;13,3%;5.727;17,4%;6.955;18,5%;7.861;21,4%;6.048;18,6%;8.796;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;13,8%;32.422;14,4%;5.012;14,7%;6.320;12,8%;5.096;13,6%;5.778;14,1%;3.994;13,2%;6.222;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;13,56%;;14,22%;;14,50%;;12,59%;;13,46%;;13,90%;;12,93%;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;17,45%;;18,57%;;13,29%;;16,72%;;18,17%;;21,11%;;18,16%;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;37,91%;;39,88%;;38,87%;;35,95%;;37,70%;;38,35%;;37,22%;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;44,9%;;48,8%;;38,5%;;41,5%;;46,3%;;53,9%;;45,1%;;   ;;;;;;;;;;;;;
