04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;539,24;;87,31;;77,03;;85,26;;160,28;;52,02;;77,34;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;269,74;;179,21;;382,20;;244,52;;260,30;;399,56;;220,00;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,4%;145.457;10,8%;15.647;20,2%;29.441;14,3%;20.848;28,7%;41.721;14,3%;20.785;11,7%;17.015;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;44,2%;64.343;45,0%;7.044;43,6%;12.840;43,6%;9.087;45,4%;18.925;43,3%;8.997;43,8%;7.450;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;55,8%;81.114;55,0%;8.603;56,4%;16.601;56,4%;11.761;54,6%;22.796;56,7%;11.788;56,2%;9.565;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;46,27;;46,23;;46,28;;46,99;;46,49;;46,02;;45,15;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;10,2%;14.876;10,5%;1.643;9,7%;2.870;10,2%;2.126;10,8%;4.494;9,9%;2.054;9,9%;1.689;;;;;;;;;;;;;;;;;
