20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;2.229,24;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;55,39;;72,62;;126,52;;170,27;;241,43;;190,43;;34,32;;34,55;;182,58;;61,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,8%;158.783;17,7%;28.171;5,8%;9.274;5,5%;8.710;15,7%;24.960;19,5%;30.887;10,7%;16.971;18,0%;28.541;7,1%;11.269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;47,3%;75.082;47,2%;13.290;46,1%;4.271;46,6%;4.062;47,0%;11.724;48,0%;14.840;48,7%;8.270;46,7%;13.318;47,1%;5.307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;52,7%;83.701;52,8%;14.881;53,9%;5.003;53,4%;4.648;53,0%;13.236;52,0%;16.047;51,3%;8.701;53,3%;15.223;52,9%;5.962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;43,77;;42,92;;45,82;;43,43;;43,41;;43,30;;39,77;;46,01;;46,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;12,8%;20.397;13,1%;3.678;12,0%;1.112;13,4%;1.168;13,1%;3.267;12,0%;3.693;17,7%;3.010;11,8%;3.356;9,9%;1.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,6%;27.958;17,0%;4.802;16,0%;1.480;18,4%;1.606;18,1%;4.516;21,0%;6.473;15,0%;2.540;15,6%;4.449;18,6%;2.092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;19,3%;30.580;22,5%;6.340;21,4%;1.980;21,0%;1.832;18,5%;4.606;13,3%;4.095;24,3%;4.127;20,5%;5.852;15,5%;1.748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;32,6%;51.821;31,8%;8.947;30,0%;2.786;29,3%;2.548;33,4%;8.344;38,3%;11.838;31,4%;5.333;28,9%;8.244;33,6%;3.781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
