06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;537,47;;71,52;;118,5;;70,47;;99,94;;116,34;;60,71;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;292,91;;405,41;;290,89;;287,81;;226,08;;224,69;;410,99;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,8%;157.433;18,4%;28.995;21,9%;34.471;12,9%;20.282;14,4%;22.594;16,6%;26.140;15,8%;24.951;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;45,5%;71.636;45,6%;13.231;44,8%;15.436;44,9%;9.097;46,0%;10.391;47,0%;12.277;44,9%;11.204;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;54,5%;85.797;54,4%;15.764;55,2%;19.035;55,1%;11.185;54,0%;12.203;53,0%;13.863;55,1%;13.747;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;44,28;;43,66;;45,78;;46,71;;44,20;;42,30;;43,08;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;10,7%;16.901;11,1%;3.204;10,0%;3.435;9,4%;1.910;11,0%;2.492;11,6%;3.036;11,3%;2.824;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;16,8%;26.380;17,3%;5.020;16,2%;5.599;14,7%;2.988;17,5%;3.962;17,3%;4.529;17,2%;4.282;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;25,8%;40.567;26,1%;7.577;24,8%;8.558;25,7%;5.209;24,3%;5.480;27,2%;7.121;26,5%;6.622;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;27,5%;43.219;26,9%;7.795;26,2%;9.046;26,2%;5.313;28,2%;6.373;29,1%;7.616;28,4%;7.076;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;12,5%;19.626;12,6%;3.653;14,9%;5.122;15,6%;3.156;11,4%;2.568;9,5%;2.479;10,6%;2.648;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;6,8%;10.740;6,0%;1.746;7,9%;2.711;8,4%;1.706;7,6%;1.719;5,2%;1.359;6,0%;1.499;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;19,3%;30.366;18,6%;5.399;22,7%;7.833;24,0%;4.862;19,0%;4.287;14,7%;3.838;16,6%;4.147;;;;;;;;;;;;;;;;;;
