12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,40;;109,57;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;181,04;;169,54;;102,72;;159,01;;288,41;;287,62;;181,16;;159,19;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,3%;140.808;16,3%;22.996;10,1%;14.250;16,7%;23.460;16,0%;22.499;18,6%;26.139;10,0%;14.022;12,4%;17.442;;;;;;;;;;;;
Hombres;46,7%;1.534.824;47,3%;66.532;47,1%;10.827;48,5%;6.915;47,7%;11.185;46,8%;10.522;47,0%;12.293;46,9%;6.571;47,1%;8.219;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;52,7%;74.276;52,9%;12.169;51,5%;7.335;52,3%;12.275;53,2%;11.977;53,0%;13.846;53,1%;7.451;52,9%;9.223;;;;;;;;;;;;
Edad media de la población;;44,44;;42,66;;43,84;;41,00;;41,34;;41,88;;44,07;;43,47;;42,48;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;13,6%;19.120;14,7%;3.370;14,9%;2.123;14,6%;3.417;14,2%;3.202;11,7%;3.065;12,1%;1.699;12,9%;2.244;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,8%;25.089;16,2%;3.722;19,2%;2.729;19,2%;4.494;17,5%;3.931;16,9%;4.423;18,9%;2.652;18,0%;3.138;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;21,5%;30.328;17,9%;4.106;21,3%;3.037;19,6%;4.596;23,5%;5.279;23,4%;6.127;21,3%;2.981;24,1%;4.202;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;30,4%;42.768;32,3%;7.432;30,4%;4.334;32,1%;7.542;29,3%;6.583;29,3%;7.663;30,0%;4.208;28,7%;5.006;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;10,5%;14.725;11,5%;2.649;9,6%;1.361;9,9%;2.321;9,3%;2.103;11,5%;3.003;11,2%;1.572;9,8%;1.716;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;6,2%;8.778;7,5%;1.717;4,7%;666;4,6%;1.090;6,2%;1.401;7,1%;1.858;6,5%;910;6,5%;1.136;;;;;;;;;;;;
De 65 y +;20,3%;666.599;16,7%;23.503;19,0%;4.366;14,2%;2.027;14,5%;3.411;15,6%;3.504;18,6%;4.861;17,7%;2.482;16,4%;2.852;;;;;;;;;;;;
