19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;3.526,67;;2.149,42;;255,51;;64,32;;1.057,43;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;22,49;;16,32;;68,22;;277,78;;8,46;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;2,4%;79.328;44,2%;35.086;22,0%;17.431;22,5%;17.867;11,3%;8.944;;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;48,5%;38.437;48,2%;16.925;47,7%;8.321;48,5%;8.666;50,6%;4.525;;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;51,5%;40.891;51,8%;18.161;52,3%;9.110;51,5%;9.201;49,4%;4.419;;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;41,08;;44,23;;43,13;;37,25;;32,42;;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;15,7%;12.462;13,7%;4.799;10,0%;1.744;22,0%;3.929;22,2%;1.990;;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,5%;13.893;16,2%;5.694;24,4%;4.259;16,0%;2.851;12,2%;1.089;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;20,2%;15.988;21,0%;7.355;12,4%;2.163;15,1%;2.692;42,2%;3.778;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;33,0%;26.180;28,8%;10.110;40,0%;6.978;40,4%;7.210;21,0%;1.882;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;8,7%;6.927;11,9%;4.186;9,9%;1.726;4,7%;844;1,9%;171;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;4,9%;3.878;8,4%;2.942;3,2%;561;1,9%;341;0,4%;34;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;13,6%;10.805;20,3%;7.128;13,1%;2.287;6,6%;1.185;2,3%;205;;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;16,6%;13.130;15,0%;5.252;12,2%;2.122;26,4%;4.717;11,6%;1.039;;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;17,39%;;14,77%;;12,09%;;26,26%;;23,45%;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;14,08%;;20,44%;;12,14%;;6,22%;;2,62%;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;36,02%;;40,66%;;25,26%;;28,80%;;12,93%;;;;;;;;;;;;;;;;;;;;;;;
