18. VILLA DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLA DE VALLECAS;;Casco Histórico de Vallecas;;Santa Eugenia;;Ensanche de Vallecas;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;5.146,72;;4.304,59;;208,02;;634,11;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;22,31;;9,19;;115,90;;80,63;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;3,5%;114.817;34,5%;39.578;21,0%;24.110;44,5%;51.129;;;;;;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;48,4%;55.580;47,9%;18.971;47,8%;11.515;49,1%;25.094;;;;;;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;51,6%;59.237;52,1%;20.607;52,2%;12.595;50,9%;26.035;;;;;;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;39,73;;42,09;;46,58;;34,66;;;;;;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;17,7%;20.329;14,7%;5.829;10,8%;2.604;23,3%;11.896;;;;;;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;14,9%;17.151;17,7%;6.998;15,6%;3.763;12,5%;6.390;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;26,1%;30.005;21,4%;8.451;19,3%;4.645;33,1%;16.909;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;28,2%;32.342;29,4%;11.629;30,6%;7.384;26,1%;13.329;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;9,5%;10.926;11,4%;4.507;18,2%;4.390;4,0%;2.029;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;3,5%;4.064;5,5%;2.164;5,5%;1.324;1,1%;576;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;13,1%;14.990;16,9%;6.671;23,7%;5.714;5,1%;2.605;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;18,9%;21.691;16,4%;6.509;11,8%;2.844;24,1%;12.338;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;18,91%;;16,18%;;11,71%;;24,58%;;;;;;;;;;;;;;;;;;;;;;
