17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;2.018,76;;925,36;;108,25;;637,55;;154,07;;193,53;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;76,20;;49,88;;153,72;;32,65;;242,22;;170,00;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo de la población;100%;3.286.662;4,7%;153.829;30,0%;46.156;10,8%;16.640;13,5%;20.813;24,3%;37.319;21,4%;32.901;;;;;;;;;;;;;;;;
Hombres;46,7%;1.534.824;47,8%;73.598;47,7%;22.013;49,4%;8.223;48,5%;10.087;48,0%;17.918;46,7%;15.357;;;;;;;;;;;;;;;;
Mujeres;53,3%;1.751.838;52,2%;80.231;52,3%;24.143;50,6%;8.417;51,5%;10.726;52,0%;19.401;53,3%;17.544;;;;;;;;;;;;;;;;
Edad media de la población;;44,44;;42,32;;42,38;;38,40;;36,93;;43,25;;46,56;;;;;;;;;;;;;;;;
De 0 a 14 años;12,7%;416.413;14,6%;22.507;14,3%;6.623;17,7%;2.941;20,8%;4.331;12,8%;4.793;11,6%;3.819;;;;;;;;;;;;;;;;
De 15 a 29;16,2%;533.423;17,6%;27.050;17,8%;8.212;20,5%;3.406;15,7%;3.268;18,8%;7.016;15,6%;5.148;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;21,1%;32.435;21,0%;9.687;23,5%;3.910;24,6%;5.128;18,7%;6.961;20,5%;6.749;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;30,0%;46.175;30,5%;14.078;27,1%;4.510;30,0%;6.241;32,7%;12.186;27,8%;9.160;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;10,4%;16.047;10,2%;4.694;6,1%;1.020;6,7%;1.398;11,5%;4.298;14,1%;4.637;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;6,3%;9.615;6,2%;2.862;5,1%;853;2,1%;447;5,5%;2.065;10,3%;3.388;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;16,7%;25.662;16,4%;7.556;11,3%;1.873;8,9%;1.845;17,1%;6.363;24,4%;8.025;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;16,1%;24.755;15,8%;7.280;19,0%;3.160;23,3%;4.847;14,5%;5.408;12,3%;4.060;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;15,99%;;15,61%;;18,60%;;23,39%;;14,31%;;12,43%;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;16,64%;;16,25%;;11,45%;;8,66%;;16,81%;;24,75%;;;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;38,07%;;39,30%;;47,04%;;24,23%;;32,32%;;42,34%;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;48,4%;;46,8%;;43,0%;;47,2%;;45,2%;;59,2%;;;;;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;78,0%;121.023;76,8%;36.072;63,7%;10.814;87,5%;17.651;78,1%;29.901;81,1%;26.585;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;47,4%;57.376;47,3%;17.045;47,6%;5.150;48,7%;8.595;47,6%;14.242;46,4%;12.344;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;52,6%;63.647;52,7%;19.027;52,4%;5.664;51,3%;9.056;52,4%;15.659;53,6%;14.241;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;21,8%;33.784;22,5%;10.565;36,4%;6.172;15,2%;3.070;20,6%;7.889;18,6%;6.088;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;49,0%;16.571;48,6%;5.135;51,8%;3.195;47,3%;1.453;49,5%;3.903;47,4%;2.885;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;51,0%;17.213;51,4%;5.430;48,2%;2.977;52,7%;1.617;50,5%;3.986;52,6%;3.203;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;17,8%;;18,1%;;33,2%;;10,7%;;16,8%;;15,1%;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;10,9%;3685;13,3%;1.409;4,3%;268;15,3%;471;11,0%;871;10,9%;666;;;;;;;;;;;;;;;;
