fecha;cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres
1 de enero de 2023;28079;Madrid;1; Centro;1; Centro;139687;70770;68917
1 de enero de 2023;28079;Madrid;2; Arganzuela;2; Arganzuela;153304;71754;81550
1 de enero de 2023;28079;Madrid;3; Retiro;3; Retiro;117918;53458;64460
1 de enero de 2023;28079;Madrid;4; Salamanca;4; Salamanca;145702;64452;81250
1 de enero de 2023;28079;Madrid;5; Chamartín;5; Chamartín;144796;65245;79551
1 de enero de 2023;28079;Madrid;6; Tetuán;6; Tetuán;160002;72938;87064
1 de enero de 2023;28079;Madrid;7; Chamberí;7; Chamberí;138204;61149;77055
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;8; Fuencarral-El Pardo;248443;116944;131499
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;9; Moncloa-Aravaca;121757;56357;65400
1 de enero de 2023;28079;Madrid;10; Latina;10; Latina;241672;112093;129579
1 de enero de 2023;28079;Madrid;11; Carabanchel;11; Carabanchel;262339;122632;139707
1 de enero de 2023;28079;Madrid;12; Usera;12; Usera;142746;67538;75208
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;13; Puente de Vallecas;241603;114542;127061
1 de enero de 2023;28079;Madrid;14; Moratalaz;14; Moratalaz;92814;42212;50602
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;15; Ciudad Lineal;220345;100759;119586
1 de enero de 2023;28079;Madrid;16; Hortaleza;16; Hortaleza;198391;94100;104291
1 de enero de 2023;28079;Madrid;17; Villaverde;17; Villaverde;159038;76131;82907
1 de enero de 2023;28079;Madrid;18; Villa de Vallecas;18; Villa de Vallecas;117501;56726;60775
1 de enero de 2023;28079;Madrid;19; Vicálvaro;19; Vicálvaro;83804;40580;43224
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;20; San Blas-Canillejas;161219;76154;85065
1 de enero de 2023;28079;Madrid;21; Barajas;21; Barajas;48646;23332;25314
1 de enero de 2023;28079;Madrid;1; Centro;11;Palacio;23501;11557;11944
1 de enero de 2023;28079;Madrid;1; Centro;12;Embajadores;46204;24094;22110
1 de enero de 2023;28079;Madrid;1; Centro;13;Cortes;10816;5350;5466
1 de enero de 2023;28079;Madrid;1; Centro;14;Justicia;18219;9261;8958
1 de enero de 2023;28079;Madrid;1; Centro;15;Universidad;32783;16269;16514
1 de enero de 2023;28079;Madrid;1; Centro;16;Sol;8164;4239;3925
1 de enero de 2023;28079;Madrid;2; Arganzuela;21;Imperial;22385;10421;11964
1 de enero de 2023;28079;Madrid;2; Arganzuela;22;Acacias;36069;16616;19453
1 de enero de 2023;28079;Madrid;2; Arganzuela;23;Chopera;19761;8992;10769
1 de enero de 2023;28079;Madrid;2; Arganzuela;24;Legazpi;19468;9508;9960
1 de enero de 2023;28079;Madrid;2; Arganzuela;25;Delicias;28575;13463;15112
1 de enero de 2023;28079;Madrid;2; Arganzuela;26;PalosdeMoguer;25097;11797;13300
1 de enero de 2023;28079;Madrid;2; Arganzuela;27;Atocha;1949;957;992
1 de enero de 2023;28079;Madrid;3; Retiro;31;Pacífico;33027;14809;18218
1 de enero de 2023;28079;Madrid;3; Retiro;32;Adelfas;18832;8699;10133
1 de enero de 2023;28079;Madrid;3; Retiro;33;Estrella;22649;10393;12256
1 de enero de 2023;28079;Madrid;3; Retiro;34;Ibiza;21492;9568;11924
1 de enero de 2023;28079;Madrid;3; Retiro;35;LosJerónimos;6825;3177;3648
1 de enero de 2023;28079;Madrid;3; Retiro;36;NiñoJesús;15093;6812;8281
1 de enero de 2023;28079;Madrid;4; Salamanca;41;Recoletos;15444;6966;8478
1 de enero de 2023;28079;Madrid;4; Salamanca;42;Goya;29477;12872;16605
1 de enero de 2023;28079;Madrid;4; Salamanca;43;FuentedelBerro;20929;9129;11800
1 de enero de 2023;28079;Madrid;4; Salamanca;44;Guindalera;41964;19006;22958
1 de enero de 2023;28079;Madrid;4; Salamanca;45;Lista;20969;9056;11913
1 de enero de 2023;28079;Madrid;4; Salamanca;46;Castellana;16919;7423;9496
1 de enero de 2023;28079;Madrid;5; Chamartín;51;ElViso;17274;7810;9464
1 de enero de 2023;28079;Madrid;5; Chamartín;52;Prosperidad;36027;16072;19955
1 de enero de 2023;28079;Madrid;5; Chamartín;53;CiudadJardín;18513;8234;10279
1 de enero de 2023;28079;Madrid;5; Chamartín;54;Hispanoamérica;31470;14159;17311
1 de enero de 2023;28079;Madrid;5; Chamartín;55;NuevaEspaña;24466;11050;13416
1 de enero de 2023;28079;Madrid;5; Chamartín;56;Castilla;17046;7920;9126
1 de enero de 2023;28079;Madrid;6; Tetuán;61;BellasVistas;29355;13428;15927
1 de enero de 2023;28079;Madrid;6; Tetuán;62;CuatroCaminos;34753;15537;19216
1 de enero de 2023;28079;Madrid;6; Tetuán;63;Castillejos;20570;9239;11331
1 de enero de 2023;28079;Madrid;6; Tetuán;64;Almenara;23057;10688;12369
1 de enero de 2023;28079;Madrid;6; Tetuán;65;Valdeacederas;26573;12442;14131
1 de enero de 2023;28079;Madrid;6; Tetuán;66;Berruguete;25694;11604;14090
1 de enero de 2023;28079;Madrid;7; Chamberí;71;Gaztambide;22959;10157;12802
1 de enero de 2023;28079;Madrid;7; Chamberí;72;Arapiles;24190;10831;13359
1 de enero de 2023;28079;Madrid;7; Chamberí;73;Trafalgar;24621;11147;13474
1 de enero de 2023;28079;Madrid;7; Chamberí;74;Almagro;19418;8567;10851
1 de enero de 2023;28079;Madrid;7; Chamberí;75;RíosRosas;27163;11828;15335
1 de enero de 2023;28079;Madrid;7; Chamberí;76;Vallehermoso;19853;8619;11234
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;81;ElPardo;3421;1716;1705
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;82;Fuentelarreina;3410;1559;1851
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;83;Peñagrande;44341;20597;23744
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;84;Pilar;45610;20720;24890
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;85;LaPaz;32192;14964;17228
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;86;Valverde;64757;30851;33906
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;87;Mirasierra;35676;17160;18516
1 de enero de 2023;28079;Madrid;8; Fuencarral-El Pardo;88;ElGoloso;19036;9377;9659
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;91;CasadeCampo;12767;5958;6809
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;92;Argüelles;24497;11207;13290
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;93;CiudadUniversitaria;16364;7603;8761
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;94;Valdezarza;30484;14001;16483
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;95;Valdemarín;7156;3339;3817
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;96;ElPlantío;3044;1413;1631
1 de enero de 2023;28079;Madrid;9; Moncloa-Aravaca;97;Aravaca;27445;12836;14609
1 de enero de 2023;28079;Madrid;10; Latina;101;LosCármenes;17903;8484;9419
1 de enero de 2023;28079;Madrid;10; Latina;102;PuertadelÁngel;43292;20165;23127
1 de enero de 2023;28079;Madrid;10; Latina;103;Lucero;36749;17156;19593
1 de enero de 2023;28079;Madrid;10; Latina;104;Aluche;66588;30384;36204
1 de enero de 2023;28079;Madrid;10; Latina;105;Campamento;19750;9111;10639
1 de enero de 2023;28079;Madrid;10; Latina;106;CuatroVientos;6122;3068;3054
1 de enero de 2023;28079;Madrid;10; Latina;107;Águilas;51268;23725;27543
1 de enero de 2023;28079;Madrid;11; Carabanchel;111;Comillas;22721;10491;12230
1 de enero de 2023;28079;Madrid;11; Carabanchel;112;Opañel;33883;15556;18327
1 de enero de 2023;28079;Madrid;11; Carabanchel;113;SanIsidro;40368;18969;21399
1 de enero de 2023;28079;Madrid;11; Carabanchel;114;VistaAlegre;47727;21823;25904
1 de enero de 2023;28079;Madrid;11; Carabanchel;115;PuertaBonita;36798;17349;19449
1 de enero de 2023;28079;Madrid;11; Carabanchel;116;Buenavista;49151;23733;25418
1 de enero de 2023;28079;Madrid;11; Carabanchel;117;Abrantes;31691;14711;16980
1 de enero de 2023;28079;Madrid;12; Usera;121;Orcasitas;23085;10900;12185
1 de enero de 2023;28079;Madrid;12; Usera;122;Orcasur;14390;6987;7403
1 de enero de 2023;28079;Madrid;12; Usera;123;SanFermín;23598;11246;12352
1 de enero de 2023;28079;Madrid;12; Usera;124;Almendrales;22834;10755;12079
1 de enero de 2023;28079;Madrid;12; Usera;125;Moscardó;26579;12531;14048
1 de enero de 2023;28079;Madrid;12; Usera;126;Zofío;14382;6681;7701
1 de enero de 2023;28079;Madrid;12; Usera;127;Pradolongo;17878;8438;9440
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;131;Entrevías;35399;16976;18423
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;132;SanDiego;45104;21593;23511
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;133;PalomerasBajas;40477;18947;21530
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;134;PalomerasSureste;43162;20491;22671
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;135;Portazgo;28741;13471;15270
1 de enero de 2023;28079;Madrid;13; Puente de Vallecas;136;Numancia;48720;23064;25656
1 de enero de 2023;28079;Madrid;14; Moratalaz;141;Pavones;8814;4035;4779
1 de enero de 2023;28079;Madrid;14; Moratalaz;142;Horcajo;6339;3029;3310
1 de enero de 2023;28079;Madrid;14; Moratalaz;143;Marroquina;26120;11962;14158
1 de enero de 2023;28079;Madrid;14; Moratalaz;144;MediaLegua;17323;7828;9495
1 de enero de 2023;28079;Madrid;14; Moratalaz;145;Fontarrón;17333;7876;9457
1 de enero de 2023;28079;Madrid;14; Moratalaz;146;Vinateros;16885;7482;9403
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;151;Ventas;50218;22868;27350
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;152;PuebloNuevo;62840;28982;33858
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;153;Quintana;25469;11449;14020
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;154;Concepción;20941;9402;11539
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;155;SanPascual;18327;8349;9978
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;156;SanJuanBautista;12445;5813;6632
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;157;Colina;6569;2973;3596
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;158;Atalaya;1622;691;931
1 de enero de 2023;28079;Madrid;15; Ciudad Lineal;159;Costillares;21914;10232;11682
1 de enero de 2023;28079;Madrid;16; Hortaleza;161;Palomas;6922;3404;3518
1 de enero de 2023;28079;Madrid;16; Hortaleza;162;Piovera;15041;7211;7830
1 de enero de 2023;28079;Madrid;16; Hortaleza;163;Canillas;39786;18485;21301
1 de enero de 2023;28079;Madrid;16; Hortaleza;164;PinardelRey;52031;23825;28206
1 de enero de 2023;28079;Madrid;16; Hortaleza;165;ApóstolSantiago;15435;7344;8091
1 de enero de 2023;28079;Madrid;16; Hortaleza;166;Valdefuentes;69176;33831;35345
1 de enero de 2023;28079;Madrid;17; Villaverde;171;VillaverdeAlto,CascoHistóricodeVillaverde;47817;22826;24991
1 de enero de 2023;28079;Madrid;17; Villaverde;172;SanCristóbal;17270;8586;8684
1 de enero de 2023;28079;Madrid;17; Villaverde;173;Butarque;21316;10306;11010
1 de enero de 2023;28079;Madrid;17; Villaverde;174;LosRosales;37808;18121;19687
1 de enero de 2023;28079;Madrid;17; Villaverde;175;Ángeles;34827;16292;18535
1 de enero de 2023;28079;Madrid;18; Villa de Vallecas;181;CascoHistóricodeVallecas;40417;19413;21004
1 de enero de 2023;28079;Madrid;18; Villa de Vallecas;182;SantaEugenia;23876;11381;12495
1 de enero de 2023;28079;Madrid;18; Villa de Vallecas;183;EnsanchedeVallecas;53208;25932;27276
1 de enero de 2023;28079;Madrid;19; Vicálvaro;191;CascoHistóricodeVicálvaro;35519;17009;18510
1 de enero de 2023;28079;Madrid;19; Vicálvaro;192;Valdebernardo;17471;8330;9141
1 de enero de 2023;28079;Madrid;19; Vicálvaro;193;Valderrivas;17760;8589;9171
1 de enero de 2023;28079;Madrid;19; Vicálvaro;194;ElCañaveral;13054;6652;6402
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;201;Simancas;28765;13560;15205
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;202;Hellín;9555;4375;5180
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;203;Amposta;9126;4258;4868
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;204;Arcos;25354;11932;13422
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;205;Rosas;30751;14727;16024
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;206;Rejas;17399;8495;8904
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;207;Canillejas;29067;13528;15539
1 de enero de 2023;28079;Madrid;20; San Blas-Canillejas;208;ElSalvador;11202;5279;5923
1 de enero de 2023;28079;Madrid;21; Barajas;211;AlamedadeOsuna;19685;9397;10288
1 de enero de 2023;28079;Madrid;21; Barajas;212;Aeropuerto;1902;965;937
1 de enero de 2023;28079;Madrid;21; Barajas;213;CascoHistóricodeBarajas;7384;3519;3865
1 de enero de 2023;28079;Madrid;21; Barajas;214;Timón;12049;5702;6347
1 de enero de 2023;28079;Madrid;21; Barajas;215;Corralejos;7626;3749;3877
1 de enero de 2023;28079;Madrid;Todos;Todos;Todos;Todos;3339931;1559866;1780065
1 de enero de 2022;28079;Madrid;1; Centro;1; Centro;139682;70986;68696
1 de enero de 2022;28079;Madrid;2; Arganzuela;2; Arganzuela;152638;71466;81172
1 de enero de 2022;28079;Madrid;3; Retiro;3; Retiro;117672;53445;64227
1 de enero de 2022;28079;Madrid;4; Salamanca;4; Salamanca;145457;64343;81114
1 de enero de 2022;28079;Madrid;5; Chamartín;5; Chamartín;144371;65080;79291
1 de enero de 2022;28079;Madrid;6; Tetuán;6; Tetuán;157433;71636;85797
1 de enero de 2022;28079;Madrid;7; Chamberí;7; Chamberí;137287;60867;76420
1 de enero de 2022;28079;Madrid;8; Fuencarral-El Pardo;8; Fuencarral-El Pardo;246281;115955;130326
1 de enero de 2022;28079;Madrid;9; Moncloa-Aravaca;9; Moncloa-Aravaca;120360;55501;64859
1 de enero de 2022;28079;Madrid;10; Latina;10; Latina;237048;109928;127120
1 de enero de 2022;28079;Madrid;11; Carabanchel;11; Carabanchel;255514;119381;136133
1 de enero de 2022;28079;Madrid;12; Usera;12; Usera;140808;66532;74276
1 de enero de 2022;28079;Madrid;13; Puente de Vallecas;13; Puente de Vallecas;235638;111748;123890
1 de enero de 2022;28079;Madrid;14; Moratalaz;14; Moratalaz;92390;42095;50295
1 de enero de 2022;28079;Madrid;15; Ciudad Lineal;15; Ciudad Lineal;213905;97357;116548
1 de enero de 2022;28079;Madrid;16; Hortaleza;16; Hortaleza;195017;92532;102485
1 de enero de 2022;28079;Madrid;17; Villaverde;17; Villaverde;153829;73598;80231
1 de enero de 2022;28079;Madrid;18; Villa de Vallecas;18; Villa de Vallecas;114817;55580;59237
1 de enero de 2022;28079;Madrid;19; Vicálvaro;19; Vicálvaro;79328;38437;40891
1 de enero de 2022;28079;Madrid;20; San Blas-Canillejas;20; San Blas-Canillejas;158783;75082;83701
1 de enero de 2022;28079;Madrid;21; Barajas;21; Barajas;48404;23275;25129
1 de enero de 2022;28079;Madrid;1; Centro;11;Palacio;23417;11568;11849
1 de enero de 2022;28079;Madrid;1; Centro;12;Embajadores;46444;24271;22173
1 de enero de 2022;28079;Madrid;1; Centro;13;Cortes;10828;5345;5483
1 de enero de 2022;28079;Madrid;1; Centro;14;Justicia;18015;9221;8794
1 de enero de 2022;28079;Madrid;1; Centro;15;Universidad;32861;16349;16512
1 de enero de 2022;28079;Madrid;1; Centro;16;Sol;8117;4232;3885
1 de enero de 2022;28079;Madrid;2; Arganzuela;21;Imperial;22456;10436;12020
1 de enero de 2022;28079;Madrid;2; Arganzuela;22;Acacias;36038;16635;19403
1 de enero de 2022;28079;Madrid;2; Arganzuela;23;Chopera;19734;8994;10740
1 de enero de 2022;28079;Madrid;2; Arganzuela;24;Legazpi;19469;9543;9926
1 de enero de 2022;28079;Madrid;2; Arganzuela;25;Delicias;28243;13296;14947
